period,subset,n,share,target_rate,lift,benefit_bps
shock_2022_2023,control,668,0.2704453441295547,0.5029940119760479,1.5338212463960967,86.48280694397572
shock_2022_2023,challenger,661,0.2676113360323887,0.5355521936459909,1.633103602846417,109.36328885667562
shock_2022_2023,intersection,566,0.2291497975708502,0.5318021201413428,1.621668193517428,105.02673470552496
shock_2022_2023,union,763,0.3089068825910931,0.509829619921363,1.5546656311182305,92.54851524182335
shock_2022_2023,control_only,102,0.04129554655870445,0.3431372549019608,1.0463568143306705,-16.417811811287695
shock_2022_2023,challenger_only,95,0.038461538461538464,0.5578947368421052,1.7012345679012346,135.2000220098469
shock_2022_2023,neither,1707,0.6910931174089069,0.2466315172817809,0.7520738860320973,-31.083239708345243
lifecycle_2017_2026,control,3015,0.2536811106436685,0.4792703150912106,1.7446026630502411,61.177426040571554
lifecycle_2017_2026,challenger,3008,0.25309213294068156,0.48636968085106386,1.770445224169952,66.14646223670546
lifecycle_2017_2026,intersection,2913,0.24509886411442997,0.4840370751802266,1.7619542537571187,63.89445805598166
lifecycle_2017_2026,union,3110,0.26167437946992006,0.4816720257234727,1.7533451839888123,63.43856643191598
lifecycle_2017_2026,control_only,102,0.008582246529238537,0.3431372549019608,1.2490616460979491,-16.417811811287695
lifecycle_2017_2026,challenger_only,95,0.007993268826251577,0.5578947368421052,2.030805190618199,135.2000220098469
lifecycle_2017_2026,neither,8775,0.7383256205300799,0.20136752136752137,0.7330024476119422,-24.25100631416997
