rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,policy_selected_on,passed_2025
0.18,398,0.9396290050590219,120,0,0.3869346733668342,0.26782178217821784,1.4447468395582348,0.5732222776292619,31.147817624473884,1.3908138778622532,1.427111365891028,2,2,0.8853288364249579,0.9915682967959528,1.192443919716647,0.8854961832061069,1.427111365891028,0.9109859154929578,1.0391111111111109,quarterly_reset_hist_anchor50,2024 only,True
0.18,367,0.8664418212478922,120,0,0.3760217983651226,0.26782178217821784,1.4040000604390899,0.5415858994499706,32.40257123256198,1.3262294414590459,1.3404411137732786,2,2,0.7554806070826308,0.9915682967959528,1.199896694214876,0.8812154696132597,1.3404411137732786,0.7216901408450704,1.1448888888888886,quarterly_decay_hist_anchor25,2024 only,False
0.18,325,0.7672849915682969,120,0,0.3630769230769231,0.26782178217821784,1.3556661453149437,0.5597833626407411,24.85949385818246,1.1987498058704766,1.3290285293328983,2,2,0.6846543001686342,0.8381112984822935,1.2231143872581283,0.8375,1.3290285293328983,0.7414084507042253,0.8524444444444443,quarterly_reset_hist_anchor25,2024 only,False
0.18,388,0.9160202360876897,120,0,0.34536082474226804,0.26782178217821784,1.2895173123463612,0.5129539992426315,19.274849487094006,1.19150404100138,1.2445299457384693,2,2,0.8263069139966274,1.003372681281619,1.192443919716647,0.825065274151436,1.2445299457384693,0.7808450704225353,1.182222222222222,quarterly_decay1_hist,2024 only,False
0.2,429,1.012816188870152,120,0,0.2913752913752914,0.26782178217821784,1.0879447108652285,0.5281494840271502,-6.174584454997971,0.8268786430709447,1.1338550270691181,1,2,0.9089376053962901,1.1332209106239461,0.8694903581267218,0.8867924528301887,1.1338550270691181,0.9395555555555555,1.096338028169014,quarterly_reset_tree_consensus,2024 only,False
0.22,453,1.069477234401349,120,0,0.30242825607064017,0.26782178217821784,1.1292145605595068,0.5261048392841743,-2.961646360772997,1.0288400507775308,1.1290119549683164,2,2,1.003372681281619,1.1332209106239461,1.0244177310293012,0.8660714285714286,1.1290119549683164,1.0884507042253522,1.1013333333333333,quarterly_reset_hist,2024 only,False
0.18,395,0.9325463743676223,120,0,0.29620253164556964,0.26782178217821784,1.105968787290297,0.5127296632210153,-4.884113613291269,0.787861254524954,1.1240163422663731,1,2,0.8381112984822935,1.0623946037099494,0.9662503321817698,0.9025641025641026,1.1240163422663731,0.927111111111111,0.9701408450704225,quarterly_reset_extra,2024 only,False
0.25,275,0.6492411467116358,500,0,0.3527272727272727,0.26782178217821784,1.3170223491850108,0.5427219520608294,41.545049234897675,1.0669626676332005,1.1177608688260623,2,2,0.4603709949409781,0.8617200674536257,1.0709496335568376,0.8962962962962963,1.1177608688260623,0.10647887323943662,1.543111111111111,quarterly_reset_logit,2024 only,False
0.3,581,1.3716694772344016,250,0,0.32013769363166955,0.26782178217821784,1.1953385233566958,0.5619998525256237,16.079553569990942,0.8742606342813994,1.0310422967936408,1,2,1.026981450252951,1.9595278246205734,0.959437636553624,0.9461805555555556,1.0310422967936408,0.9149295774647886,2.1715555555555555,anchor_multiscale_locked,2024 only,False
0.22,341,0.8050590219224284,250,0,0.2844574780058651,0.26782178217821784,1.0621147977298475,0.4835434843195995,-12.678157745209846,0.8504338245420742,0.9663845461353002,1,2,0.7554806070826308,0.8735244519392918,0.8600050087653394,0.8720238095238095,0.9663845461353002,0.6270422535211267,1.1324444444444444,quarterly_window2_hist,2024 only,False
0.18,382,0.9018549747048905,120,0,0.21727748691099477,0.26782178217821784,0.8112763836602762,0.4672000739871447,-28.689268681494816,0.7137754107943106,0.7989912223181905,0,2,0.8617200674536257,0.9325463743676223,0.6776899113347711,0.883289124668435,0.7989912223181905,0.824225352112676,1.0764444444444443,quarterly_window3_hist,2024 only,False
