policy,n,frequency,lift,forward_benefit_bps,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,lift_diff_vs_anchor_ci_low,lift_diff_vs_anchor_ci_high,lift_diff_vs_anchor,finite_bootstrap_lift,finite_bootstrap_difference,period
anchor_multiscale_locked,71,0.27999999999999997,0.5078647064870978,-60.3296811484705,0.24916373085601354,0.9264870931537593,0.9847117794486215,-93.4465223582085,-13.975033165765206,0.0,0.0,0.0,3989,3989,2025
quarterly_reset_hist_anchor50,231,0.9109859154929578,1.4634088539198027,4.183587357131191,0.8433504362184238,1.9508630822306043,0.04998750312421894,-37.12579757872403,41.06126196599132,0.19572728372844528,1.501644997621945,0.9555441474327049,4000,3989,2025
quarterly_decay_hist_anchor25,183,0.7216901408450704,1.3546527860875115,-5.585190109619079,0.8689379497384634,1.944507650705712,0.053236690827293175,-45.03348253649049,39.28756033884727,0.329168911269544,1.3527484176934212,0.8467880796004137,4000,3989,2025
quarterly_decay1_hist,198,0.7808450704225353,1.2975558504755587,-19.08635763644802,0.8975124788559924,1.7808496755000294,0.0664833791552112,-71.49251060062775,24.86105074406984,0.34393732857238923,1.1964069447751557,0.7896911439884609,4000,3989,2025
quarterly_reset_hist_anchor25,188,0.7414084507042253,1.1987498058704766,-7.580450386974376,0.6355898061789566,1.6328615741987422,0.1987003249187703,-42.28991429600156,25.81126854089129,0.06064385183370348,1.1792604765771613,0.6908850993833788,4000,3989,2025
quarterly_reset_hist,276,1.0884507042253522,1.0288400507775308,-36.67875521706924,0.555551894462041,1.4177660675604398,0.47813046738315423,-101.64443813685463,22.20498712994817,-0.09399521873019837,0.9962894926435072,0.520975344290433,4000,3989,2025
anchor_multiscale_locked,286,1.7795555555555556,1.1719179696707787,54.99195505360394,0.7491449273188221,1.615232982900918,0.2509372656835791,-25.072210050327758,106.31867492949725,0.0,0.0,0.0,4000,4000,2026
quarterly_reset_hist_anchor50,167,1.0391111111111109,1.3908138778622532,68.44564512001976,0.6514287334939581,1.940350494331443,0.20644838790302425,-50.8532511221795,120.74310902027491,-0.34577590964943433,0.4486031428547923,0.21889590819147453,4000,4000,2026
quarterly_decay_hist_anchor25,184,1.1448888888888886,1.3262294414590459,70.18387735005727,0.49054187209459116,1.7453649748700266,0.1472131967008248,-41.357500872737184,115.64280850248188,-0.4357807126155828,0.4506356421048145,0.1543114717882672,4000,4000,2026
quarterly_decay1_hist,190,1.182222222222222,1.19150404100138,59.25126533162727,0.6883486519320796,1.5789621163045922,0.2416895776055986,-13.054644414233781,104.8042791052295,-0.38564032035252555,0.34056085927683116,0.019586071330601307,4000,4000,2026
quarterly_reset_hist_anchor25,137,0.8524444444444443,1.45930725279532,69.37562172744876,0.5867030949021287,1.9256301880337594,0.2224443889027743,-54.457056627950266,131.85915555191443,-0.42621779246038777,0.5512059969523375,0.28738928312454126,4000,4000,2026
quarterly_reset_hist,177,1.1013333333333333,1.229183859159102,49.61418439819741,0.6433262097829837,1.6251363698387218,0.28242939265183703,-26.639093430793867,120.31727614908941,-0.46152214989303203,0.4577525502279053,0.05726588948832334,4000,4000,2026
anchor_multiscale_locked,357,0.84283305227656,1.2759854403868756,32.056839730502304,0.6375977994029146,1.712176256842429,0.20444888777805548,-51.63290043317816,78.87317200870979,0.0,0.0,0.0,4000,4000,2025_2026
quarterly_reset_hist_anchor50,398,0.9396290050590219,1.4447468395582348,31.147817624473884,0.9683419140682172,1.9310152495209971,0.03199200199950013,-22.27573946557966,79.58508329640223,-0.20549679908985619,0.7306016769850533,0.16876139917135924,4000,4000,2025_2026
quarterly_decay_hist_anchor25,367,0.8664418212478922,1.4040000604390899,32.40257123256198,0.9610668068586218,1.870459577895259,0.03624093976505874,-24.068449408110233,83.66453894300938,-0.15838729992443812,0.6038165485894155,0.1280146200522143,4000,4000,2025_2026
quarterly_decay1_hist,388,0.9160202360876897,1.2895173123463612,19.274849487094006,0.957942320067529,1.6700284662896243,0.047488127968008,-27.258915166214614,65.43290703052627,-0.28330442306614284,0.5776729693507462,0.013531871959485686,4000,4000,2025_2026
quarterly_reset_hist_anchor25,325,0.7672849915682969,1.3556661453149437,24.85949385818246,0.8288629207338826,1.9247580029168845,0.13821544613846537,-29.46018948408203,84.09607299111103,-0.31561806156607664,0.5503292501098664,0.07968070492806811,4000,4000,2025_2026
quarterly_reset_hist,453,1.069477234401349,1.1292145605595068,-2.961646360772997,0.7398937995951673,1.5030878870609163,0.2944263934016496,-59.33948990674655,52.45977572168263,-0.5596090392041528,0.42674424616712414,-0.1467708798273688,4000,4000,2025_2026
