rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,period,ablation,rate,rolling,cooldown
0.18,222,0.8779661016949153,120,0,0.45495495495495497,0.3379032258064516,1.3464060719430648,0.5608039558254531,53.33386525072793,1.3464060719430648,1.3464060719430648,1,1,0.8502824858757062,0.9096045197740114,1.217391304347826,0.8110599078341014,1.3464060719430648,0.8779661016949153,0.8779661016949153,2024,reset_hist_component_same_policy,0.18,120,0
0.18,456,1.8033898305084748,120,0,0.3793859649122807,0.3379032258064516,1.1227651467571076,0.5386788915084055,28.07519688893534,1.1227651467571076,1.1227651467571076,1,1,1.6610169491525424,2.056497175141243,1.0058403634003894,0.9645232815964523,1.1227651467571076,1.8033898305084748,1.8033898305084748,2024,anchor_component_same_policy,0.18,120,0
0.18,295,1.1666666666666667,120,0,0.4135593220338983,0.3379032258064516,1.2238987095991263,0.5825743679487441,36.81281040156415,1.2238987095991263,1.2238987095991263,1,1,1.0677966101694916,1.265536723163842,1.1358024691358024,0.9241379310344827,1.2238987095991263,1.1666666666666667,1.1666666666666667,2024,rank_blend_50_50,0.18,120,0
0.2,343,1.356497175141243,250,0,0.4227405247813411,0.3379032258064516,1.2510698108087421,0.5386788915084055,37.98733021963308,1.2510698108087421,1.2510698108087421,1,1,0.9491525423728814,1.5621468926553672,1.0024875621890548,0.9881656804733728,1.2510698108087421,1.356497175141243,1.356497175141243,2024,locked_anchor_reference,0.2,250,0
0.18,235,0.9267605633802817,120,0,0.23829787234042554,0.22186234817813766,1.0740798260599471,0.5027761531859302,-30.629929329554155,1.0740798260599471,1.0740798260599471,1,1,0.8084507042253521,1.0056338028169014,0.7730829420970265,0.8608695652173913,1.0740798260599471,0.9267605633802817,0.9267605633802817,2025,reset_hist_component_same_policy,0.18,120,0
0.18,298,1.1752112676056339,120,0,0.32550335570469796,0.22186234817813766,1.4671410375740948,0.5162011894544157,1.275322573182111,1.4671410375740948,1.4671410375740948,1,1,0.9859154929577465,1.36056338028169,1.1337704918032787,0.9488054607508533,1.4671410375740948,1.1752112676056339,1.1752112676056339,2025,anchor_component_same_policy,0.18,120,0
0.18,231,0.9109859154929578,120,0,0.3246753246753247,0.22186234817813766,1.4634088539198027,0.5088354588058364,4.183587357131191,1.4634088539198027,1.4634088539198027,1,1,0.7492957746478873,1.123943661971831,1.0517523747133966,0.9424778761061947,1.4634088539198027,0.9109859154929578,0.9109859154929578,2025,rank_blend_50_50,0.18,120,0
0.2,71,0.27999999999999997,250,0,0.11267605633802817,0.22186234817813766,0.5078647064870978,0.5162011894544157,-60.3296811484705,0.5078647064870978,0.5078647064870978,0,1,0.07887323943661971,0.7690140845070422,0.0,0.8939393939393939,0.5078647064870978,0.27999999999999997,0.27999999999999997,2025,locked_anchor_reference,0.2,250,0
0.18,152,0.9457777777777776,120,0,0.4342105263157895,0.3401273885350318,1.2766114725014786,0.5625352479285064,52.21069158744927,1.2766114725014786,1.2766114725014786,1,1,0.7777777777777777,1.0266666666666666,1.1397459165154264,0.8503401360544217,1.2766114725014786,0.9457777777777776,0.9457777777777776,2026,reset_hist_component_same_policy,0.18,120,0
0.18,260,1.6177777777777775,120,0,0.41923076923076924,0.3401273885350318,1.2325698645923366,0.5777117406330889,58.51170504719204,1.2325698645923366,1.2325698645923366,1,1,1.3688888888888888,1.8044444444444443,1.1017543859649124,0.9568627450980393,1.2325698645923366,1.6177777777777775,1.6177777777777775,2026,anchor_component_same_policy,0.18,120,0
