candidate,quarter,n_train,first_train,last_resolved
quarterly_reset_hist,2023-01-01,1050,2022-02-25,2022-12-31
quarterly_reset_hist,2023-04-01,1330,2022-02-25,2023-03-31
quarterly_reset_hist,2023-07-01,1635,2022-02-25,2023-06-30
quarterly_reset_hist,2023-10-01,1965,2022-02-25,2023-09-30
quarterly_reset_hist,2024-01-01,2285,2022-02-25,2023-12-30
quarterly_reset_hist,2024-04-01,2570,2022-02-25,2024-03-30
quarterly_reset_hist,2024-07-01,2870,2022-02-25,2024-06-29
quarterly_reset_hist,2024-10-01,3195,2022-02-25,2024-09-28
quarterly_reset_hist,2025-01-01,3525,2022-02-25,2024-12-29
quarterly_reset_hist,2025-04-01,3810,2022-02-25,2025-03-29
quarterly_reset_hist,2025-07-01,4105,2022-02-25,2025-06-28
quarterly_reset_hist,2025-10-01,4435,2022-02-25,2025-09-30
quarterly_reset_hist,2026-01-01,4760,2022-02-25,2025-12-31
quarterly_reset_hist,2026-04-01,5030,2022-02-25,2026-03-31
quarterly_reset_hist,2026-07-01,5340,2022-02-25,2026-06-30
quarterly_reset_extra,2023-01-01,1050,2022-02-25,2022-12-31
quarterly_reset_extra,2023-04-01,1330,2022-02-25,2023-03-31
quarterly_reset_extra,2023-07-01,1635,2022-02-25,2023-06-30
quarterly_reset_extra,2023-10-01,1965,2022-02-25,2023-09-30
quarterly_reset_extra,2024-01-01,2285,2022-02-25,2023-12-30
quarterly_reset_extra,2024-04-01,2570,2022-02-25,2024-03-30
quarterly_reset_extra,2024-07-01,2870,2022-02-25,2024-06-29
quarterly_reset_extra,2024-10-01,3195,2022-02-25,2024-09-28
quarterly_reset_extra,2025-01-01,3525,2022-02-25,2024-12-29
quarterly_reset_extra,2025-04-01,3810,2022-02-25,2025-03-29
quarterly_reset_extra,2025-07-01,4105,2022-02-25,2025-06-28
quarterly_reset_extra,2025-10-01,4435,2022-02-25,2025-09-30
quarterly_reset_extra,2026-01-01,4760,2022-02-25,2025-12-31
quarterly_reset_extra,2026-04-01,5030,2022-02-25,2026-03-31
