rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,rate,rolling,cooldown,robustness
0.18,235,0.9293785310734464,120,0,0.5148936170212766,0.3379032258064516,1.5237901792515107,0.5517690458402496,83.8114794023558,1.5237901792515107,1.5237901792515107,1,1,0.8502824858757062,1.0282485875706215,1.3643410852713178,0.8869565217391304,1.5237901792515107,0.9293785310734464,0.9293785310734464,quarterly_reset_extra,0.18,120,0,1.3643410852713178
0.2,241,0.9531073446327685,120,0,0.48132780082987553,0.3379032258064516,1.4244545895681282,0.5655321672446723,52.66028275241465,1.4244545895681282,1.4244545895681282,1,1,0.8700564971751413,1.0677966101694916,1.3333333333333333,0.847457627118644,1.4244545895681282,0.9531073446327685,0.9531073446327685,quarterly_reset_tree_consensus,0.2,120,0,1.3333333333333333
0.22,489,1.9338983050847458,250,0,0.4437627811860941,0.3379032258064516,1.313283648378894,0.5995947662638554,42.035878285750925,1.313283648378894,1.313283648378894,1,1,1.8192090395480227,1.997175141242938,1.2371134020618557,0.9462809917355371,1.313283648378894,1.9338983050847458,1.9338983050847458,quarterly_window2_hist,0.22,250,0,1.2371134020618557
0.18,330,1.305084745762712,120,0,0.45454545454545453,0.3379032258064516,1.3451941852896507,0.6197314527077113,50.63794826464022,1.3451941852896507,1.3451941852896507,1,1,1.1864406779661016,1.384180790960452,1.2338308457711442,0.92,1.3451941852896507,1.305084745762712,1.305084745762712,quarterly_window3_hist,0.18,120,0,1.2338308457711442
0.18,254,1.0045197740112994,120,0,0.452755905511811,0.3379032258064516,1.339898145190085,0.5730757938249821,53.849646033379315,1.339898145190085,1.339898145190085,1,1,0.9096045197740114,1.0677966101694916,1.217391304347826,0.8714859437751004,1.339898145190085,1.0045197740112994,1.0045197740112994,quarterly_reset_hist_anchor25,0.18,120,0,1.217391304347826
0.22,259,1.0242937853107343,120,0,0.43243243243243246,0.3379032258064516,1.2797523060052893,0.5608039558254531,47.08082866886626,1.2797523060052893,1.2797523060052893,1,1,0.9491525423728814,1.1073446327683616,1.1904761904761905,0.8622047244094488,1.2797523060052893,1.0242937853107343,1.0242937853107343,quarterly_reset_hist,0.22,120,0,1.1904761904761905
0.18,346,1.368361581920904,120,0,0.407514450867052,0.3379032258064516,1.2060093534012997,0.589809854098413,23.143461607581568,1.2060093534012997,1.2060093534012997,1,1,1.2853107344632768,1.4830508474576272,1.1777476255088195,0.9002932551319648,1.2060093534012997,1.368361581920904,1.368361581920904,quarterly_decay1_hist,0.18,120,0,1.1777476255088195
0.3,432,1.7084745762711866,250,0,0.4166666666666667,0.3379032258064516,1.2330946698488465,0.5386788915084055,28.159250003631648,1.2330946698488465,1.2330946698488465,1,1,1.3248587570621468,2.036723163841808,1.13915857605178,0.9742388758782201,1.2330946698488465,1.7084745762711866,1.7084745762711866,anchor_multiscale_locked,0.3,250,0,1.13915857605178
0.18,295,1.1666666666666667,120,0,0.4135593220338983,0.3379032258064516,1.2238987095991263,0.5825743679487441,36.81281040156415,1.2238987095991263,1.2238987095991263,1,1,1.0677966101694916,1.265536723163842,1.1358024691358024,0.9241379310344827,1.2238987095991263,1.1666666666666667,1.1666666666666667,quarterly_reset_hist_anchor50,0.18,120,0,1.1358024691358024
0.18,390,1.5423728813559323,120,0,0.40512820512820513,0.3379032258064516,1.1989474328376477,0.5884900828200083,29.996440908799432,1.1989474328376477,1.1989474328376477,1,1,1.344632768361582,1.6412429378531075,1.0588235294117647,0.9454545454545454,1.1989474328376477,1.5423728813559323,1.5423728813559323,quarterly_decay_hist_anchor25,0.18,120,0,1.0588235294117647
0.25,530,2.096045197740113,500,0,0.3113207547169811,0.3379032258064516,0.9213311118115909,0.49234445448969333,8.284417366304519,0.9213311118115909,0.9213311118115909,0,1,1.8192090395480227,2.4915254237288136,0.8333333333333334,0.9523809523809523,0.9213311118115909,2.096045197740113,2.096045197740113,quarterly_reset_logit,0.25,500,0,0.8333333333333334
