rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,rate,rolling,cooldown
0.18,295,1.1666666666666667,0,0,0.4033898305084746,0.3379032258064516,1.193802839690951,0.5608039558254531,34.18175389677806,1.193802839690951,1.193802839690951,1,1,1.1468926553672316,1.2062146892655368,1.103448275862069,0.8793103448275862,1.193802839690951,1.1666666666666667,1.1666666666666667,quarterly_reset_hist,0.18,0,0
0.18,222,0.8779661016949153,120,0,0.45495495495495497,0.3379032258064516,1.3464060719430648,0.5608039558254531,53.33386525072793,1.3464060719430648,1.3464060719430648,1,1,0.8502824858757062,0.9096045197740114,1.217391304347826,0.8110599078341014,1.3464060719430648,0.8779661016949153,0.8779661016949153,quarterly_reset_hist,0.18,120,0
0.18,228,0.9016949152542374,250,0,0.43859649122807015,0.3379032258064516,1.2979943893145751,0.5608039558254531,44.10773943990086,1.2979943893145751,1.2979943893145751,1,1,0.8700564971751413,0.9293785310734464,1.1594202898550725,0.8699551569506726,1.2979943893145751,0.9016949152542374,0.9016949152542374,quarterly_reset_hist,0.18,250,0
0.18,271,1.0717514124293785,500,0,0.42066420664206644,0.3379032258064516,1.2449250984156621,0.5608039558254531,37.36145248136278,1.2449250984156621,1.2449250984156621,1,1,1.0282485875706215,1.1073446327683616,1.115151515151515,0.8909774436090225,1.2449250984156621,1.0717514124293785,1.0717514124293785,quarterly_reset_hist,0.18,500,0
0.18,128,0.5062146892655368,250,3,0.40625,0.3379032258064516,1.2022673031026254,0.5608039558254531,27.332139539021803,1.2022673031026254,1.2022673031026254,1,1,0.4745762711864407,0.5338983050847458,1.0756626506024096,0.6910569105691057,1.2022673031026254,0.5062146892655368,0.5062146892655368,quarterly_reset_hist,0.18,250,3
0.2,314,1.2418079096045198,0,0,0.3980891719745223,0.3379032258064516,1.1781159266071783,0.5608039558254531,30.333630886221435,1.1781159266071783,1.1781159266071783,1,1,1.1864406779661016,1.3248587570621468,1.0803030303030303,0.8737864077669902,1.1781159266071783,1.2418079096045198,1.2418079096045198,quarterly_reset_hist,0.2,0,0
0.2,238,0.9412429378531074,120,0,0.44537815126050423,0.3379032258064516,1.3180642185275067,0.5608039558254531,51.12982413444281,1.3180642185275067,1.3180642185275067,1,1,0.8700564971751413,0.9887005649717514,1.1733333333333333,0.8326180257510729,1.3180642185275067,0.9412429378531074,0.9412429378531074,quarterly_reset_hist,0.2,120,0
0.2,248,0.9807909604519774,250,0,0.4153225806451613,0.3379032258064516,1.2291169451073987,0.5608039558254531,38.49859300961047,1.2291169451073987,1.2291169451073987,1,1,0.9491525423728814,1.0084745762711864,1.0980392156862744,0.8806584362139918,1.2291169451073987,0.9807909604519774,0.9807909604519774,quarterly_reset_hist,0.2,250,0
0.2,293,1.1587570621468928,500,0,0.40273037542662116,0.3379032258064516,1.1918512303794995,0.5608039558254531,34.07106863380917,1.1918512303794995,1.1918512303794995,1,1,1.1271186440677967,1.2062146892655368,1.103448275862069,0.8854166666666666,1.1918512303794995,1.1587570621468928,1.1587570621468928,quarterly_reset_hist,0.2,500,0
0.2,136,0.5378531073446328,250,3,0.375,0.3379032258064516,1.1097852028639619,0.5608039558254531,22.684917662564832,1.1097852028639619,1.1097852028639619,1,1,0.5141242937853108,0.5734463276836158,0.9965556831228474,0.7175572519083969,1.1097852028639619,0.5378531073446328,0.5378531073446328,quarterly_reset_hist,0.2,250,3
