period,candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
2024,quarterly_reset_hist_anchor50,overall,all,1240,295,1.1666666666666667,0.3379032258064516,0.4135593220338983,1.2238987095991263,36.81281040156415
2024,quarterly_reset_hist_anchor50,year,2024,1240,295,1.1666666666666667,0.3379032258064516,0.4135593220338983,1.2238987095991263,36.81281040156415
2024,quarterly_reset_hist_anchor50,currency,TJS,248,58,1.1468926553672316,0.3548387096774194,0.43103448275862066,1.2147335423197492,43.660134491521774
2024,quarterly_reset_hist_anchor50,currency,UZS,248,62,1.225988700564972,0.3346774193548387,0.45161290322580644,1.349397590361446,41.41867440007278
2024,quarterly_reset_hist_anchor50,currency,KGS,248,54,1.0677966101694916,0.375,0.42592592592592593,1.1358024691358024,29.941932947698245
2024,quarterly_reset_hist_anchor50,currency,AMD,248,57,1.1271186440677967,0.3548387096774194,0.45614035087719296,1.2854864433811801,43.7259782010264
2024,quarterly_reset_hist_anchor50,currency,KZT,248,64,1.265536723163842,0.2701612903225806,0.3125,1.1567164179104479,25.78575497678809
2024,quarterly_reset_hist_anchor50,quarter,2024Q1,285,41,0.7174999999999999,0.3719298245614035,0.17073170731707318,0.45904279797514963,3.6123147378649887
2024,quarterly_reset_hist_anchor50,quarter,2024Q2,300,11,0.17500000000000002,0.17333333333333334,0.18181818181818182,1.048951048951049,-83.81976646287985
2024,quarterly_reset_hist_anchor50,quarter,2024Q3,325,146,2.3227272727272728,0.40307692307692305,0.5,1.2404580152671756,50.602666818268844
2024,quarterly_reset_hist_anchor50,quarter,2024Q4,330,97,1.5258426966292136,0.3939393939393939,0.41237113402061853,1.0467882632831087,43.77012618384935
2025,quarterly_reset_hist_anchor50,overall,all,1235,231,0.9109859154929578,0.22186234817813766,0.3246753246753247,1.4634088539198027,4.183587357131191
2025,quarterly_reset_hist_anchor50,year,2025,1235,231,0.9109859154929578,0.22186234817813766,0.3246753246753247,1.4634088539198027,4.183587357131191
2025,quarterly_reset_hist_anchor50,currency,TJS,247,43,0.847887323943662,0.2874493927125506,0.3023255813953488,1.0517523747133966,6.484484931576195
2025,quarterly_reset_hist_anchor50,currency,UZS,247,50,0.9859154929577465,0.19838056680161945,0.34,1.7138775510204083,30.170658552855716
2025,quarterly_reset_hist_anchor50,currency,KGS,247,38,0.7492957746478873,0.20242914979757085,0.3684210526315789,1.8199999999999998,-6.704245720954273
2025,quarterly_reset_hist_anchor50,currency,AMD,247,43,0.847887323943662,0.21862348178137653,0.3953488372093023,1.8083548664944011,10.92303998479984
2025,quarterly_reset_hist_anchor50,currency,KZT,247,57,1.123943661971831,0.20242914979757085,0.24561403508771928,1.2133333333333334,-18.173447055322583
2025,quarterly_reset_hist_anchor50,quarter,2025Q1,285,0,0.0,0.15087719298245614,,,
2025,quarterly_reset_hist_anchor50,quarter,2025Q2,295,0,0.0,0.16610169491525423,,,
2025,quarterly_reset_hist_anchor50,quarter,2025Q3,330,178,2.7384615384615385,0.34545454545454546,0.37640449438202245,1.089591957421644,13.93366160202862
2025,quarterly_reset_hist_anchor50,quarter,2025Q4,325,53,0.8153846153846154,0.20923076923076922,0.1509433962264151,0.7214206437291898,-28.56194501252432
2026,quarterly_reset_hist_anchor50,overall,all,785,167,1.0391111111111109,0.3401273885350318,0.47305389221556887,1.3908138778622532,68.44564512001976
2026,quarterly_reset_hist_anchor50,year,2026,785,167,1.0391111111111109,0.3401273885350318,0.47305389221556887,1.3908138778622532,68.44564512001976
2026,quarterly_reset_hist_anchor50,currency,TJS,157,41,1.2755555555555553,0.3184713375796178,0.4146341463414634,1.3019512195121952,51.8916458697686
2026,quarterly_reset_hist_anchor50,currency,UZS,157,27,0.84,0.3821656050955414,0.5925925925925926,1.5506172839506172,77.90094408780416
2026,quarterly_reset_hist_anchor50,currency,KGS,157,37,1.151111111111111,0.3057324840764331,0.43243243243243246,1.4144144144144146,75.28053912364959
2026,quarterly_reset_hist_anchor50,currency,AMD,157,35,1.0888888888888888,0.33121019108280253,0.4857142857142857,1.4664835164835166,75.53814782559819
2026,quarterly_reset_hist_anchor50,currency,KZT,157,27,0.84,0.3630573248407643,0.48148148148148145,1.3261858349577649,65.56757935337426
2026,quarterly_reset_hist_anchor50,quarter,2026Q1,270,26,0.4727272727272727,0.2851851851851852,0.34615384615384615,1.2137862137862137,36.123821669398424
2026,quarterly_reset_hist_anchor50,quarter,2026Q2,310,26,0.40444444444444444,0.3032258064516129,0.3076923076923077,1.0147299509001637,-20.189260999869173
2026,quarterly_reset_hist_anchor50,quarter,2026Q3,205,115,2.875,0.4682926829268293,0.5391304347826087,1.1512681159420288,95.79238397943948
2026,quarterly_reset_hist_anchor50,quarter,2026Q4,0,0,,,,,
2025_2026,quarterly_reset_hist_anchor50,overall,all,2020,398,0.9396290050590219,0.26782178217821784,0.3869346733668342,1.4447468395582348,31.147817624473884
2025_2026,quarterly_reset_hist_anchor50,year,2025,1235,231,0.9109859154929578,0.22186234817813766,0.3246753246753247,1.4634088539198027,4.183587357131191
2025_2026,quarterly_reset_hist_anchor50,year,2026,785,167,1.0391111111111109,0.3401273885350318,0.47305389221556887,1.3908138778622532,68.44564512001976
2025_2026,quarterly_reset_hist_anchor50,currency,TJS,404,84,0.9915682967959528,0.2995049504950495,0.35714285714285715,1.192443919716647,28.64750396093201
2025_2026,quarterly_reset_hist_anchor50,currency,UZS,404,77,0.9089376053962901,0.2698019801980198,0.42857142857142855,1.5884665792922672,46.90725218199349
2025_2026,quarterly_reset_hist_anchor50,currency,KGS,404,75,0.8853288364249579,0.24257425742574257,0.4,1.648979591836735,33.7415814690503
2025_2026,quarterly_reset_hist_anchor50,currency,AMD,404,78,0.9207419898819562,0.2623762376237624,0.4358974358974359,1.6613449443638122,39.91699863131193
2025_2026,quarterly_reset_hist_anchor50,currency,KZT,404,84,0.9915682967959528,0.26485148514851486,0.32142857142857145,1.2136181575433913,8.743311433187113
2025_2026,quarterly_reset_hist_anchor50,quarter,2025Q1,285,0,0.0,0.15087719298245614,,,
2025_2026,quarterly_reset_hist_anchor50,quarter,2025Q2,295,0,0.0,0.16610169491525423,,,
2025_2026,quarterly_reset_hist_anchor50,quarter,2025Q3,330,178,2.7384615384615385,0.34545454545454546,0.37640449438202245,1.089591957421644,13.93366160202862
2025_2026,quarterly_reset_hist_anchor50,quarter,2025Q4,325,53,0.8153846153846154,0.20923076923076922,0.1509433962264151,0.7214206437291898,-28.56194501252432
2025_2026,quarterly_reset_hist_anchor50,quarter,2026Q1,270,26,0.4727272727272727,0.2851851851851852,0.34615384615384615,1.2137862137862137,36.123821669398424
2025_2026,quarterly_reset_hist_anchor50,quarter,2026Q2,310,26,0.40444444444444444,0.3032258064516129,0.3076923076923077,1.0147299509001637,-20.189260999869173
2025_2026,quarterly_reset_hist_anchor50,quarter,2026Q3,205,115,2.875,0.4682926829268293,0.5391304347826087,1.1512681159420288,95.79238397943948
2025_2026,quarterly_reset_hist_anchor50,quarter,2026Q4,0,0,,,,,
