scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
calendar_assumed_replay,currency,AMD,brier,20,500,-0.004313362437159464,-0.0067995817879927456,-0.0021741918993378553
calendar_assumed_replay,currency,AMD,logloss,20,500,-0.01480471044266582,-0.023716608514130426,-0.007426354137335915
calendar_assumed_replay,currency,AMD,auc,20,500,0.09805068085044445,0.06342960490817694,0.13372836919278658
calendar_assumed_replay,currency,AMD,brier,50,500,-0.004452942572094793,-0.007633233212169313,-0.0016288370282544881
calendar_assumed_replay,currency,AMD,logloss,50,500,-0.015265502547056145,-0.026961358762289802,-0.005810993678324122
calendar_assumed_replay,currency,AMD,auc,50,500,0.09854997771913963,0.05608401114334469,0.14052653152622208
calendar_assumed_replay,currency,KGS,brier,20,500,-0.004807475976834683,-0.006918056678801485,-0.003029959019313669
calendar_assumed_replay,currency,KGS,logloss,20,500,-0.016314760998938537,-0.024083816367423908,-0.010000397140166827
calendar_assumed_replay,currency,KGS,auc,20,500,0.10477097659130477,0.06312480365872608,0.14769403776831375
calendar_assumed_replay,currency,KGS,brier,50,500,-0.004785030450472473,-0.007247687791830579,-0.0027200401470659215
calendar_assumed_replay,currency,KGS,logloss,50,500,-0.016245553231104708,-0.02496510340397763,-0.00939731287179181
calendar_assumed_replay,currency,KGS,auc,50,500,0.10391684179106439,0.06435023307439836,0.14926284951229127
calendar_assumed_replay,currency,KZT,brier,20,500,-0.002804657899158088,-0.004787833147209732,-0.0010594786065998105
calendar_assumed_replay,currency,KZT,logloss,20,500,-0.011839931404944744,-0.01957719226139393,-0.005179874982182416
calendar_assumed_replay,currency,KZT,auc,20,500,0.10562549722027655,0.07290162103074702,0.13966970039431054
calendar_assumed_replay,currency,KZT,brier,50,500,-0.002639554110666039,-0.004897015988820229,-0.000589947033088666
calendar_assumed_replay,currency,KZT,logloss,50,500,-0.011185538210283832,-0.019904149168709553,-0.0032180774956965257
calendar_assumed_replay,currency,KZT,auc,50,500,0.10152344734807246,0.0707092148843852,0.13089194741184207
calendar_assumed_replay,currency,TJS,brier,20,500,-0.004263540281800707,-0.006506206271606416,-0.0025360074848265195
calendar_assumed_replay,currency,TJS,logloss,20,500,-0.01448696789152238,-0.022236756435049167,-0.008648641869850766
calendar_assumed_replay,currency,TJS,auc,20,500,0.08553669832779429,0.05117644812894888,0.1263983309983605
calendar_assumed_replay,currency,TJS,brier,50,500,-0.004259528638630885,-0.0062363637692604505,-0.0026101421549441454
calendar_assumed_replay,currency,TJS,logloss,50,500,-0.014494415736577821,-0.021630014034906445,-0.008605850361809402
calendar_assumed_replay,currency,TJS,auc,50,500,0.08526469878784229,0.04895118440453158,0.12256478684617599
calendar_assumed_replay,currency,UZS,brier,20,500,-0.0035163214856607262,-0.00556691809752625,-0.0018087430854995526
