scenario,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,dates
calendar_assumed_replay,currency,AMD,11640,0.13402061855670103,0.18854011627760306,0.11584597073407324,0.3898780668110497,0.05568876740154083,0.12015930151477353,0.4046649431793099,0.05519458443053082,-0.004313330780700286,-0.014786876368260204,0.6376292862230362,0.20612884929381084,0.09981882122507113,0.0004941829710100112,582
calendar_assumed_replay,currency,KGS,11640,0.1254295532646048,0.17821587979118175,0.1100367165008451,0.3750777157982402,0.0527863265265769,0.11483856752686064,0.3913793250725352,0.057810437498612914,-0.004801851026015547,-0.016301609274295026,0.6412378892267944,0.19242564378749638,0.10692985171031022,-0.0050241109720360125,582
calendar_assumed_replay,currency,KZT,11640,0.12027491408934708,0.1441096329640242,0.10171180630030754,0.35090045378032353,0.03508773313130684,0.10445121020726333,0.362480378360019,0.030776608210355574,-0.0027394039069557896,-0.011579924579695478,0.6662308872767857,0.22961755916335047,0.10445835658482139,0.00431112492095127,582
calendar_assumed_replay,currency,TJS,11640,0.15807560137457044,0.18172174586818013,0.12762678949273212,0.41610488338991314,0.027836675786595242,0.13187742180289475,0.4305467084419113,0.025714419398368715,-0.004250632310162622,-0.014441825051998147,0.666511174578527,0.26130291394544497,0.08595435891748004,0.0021222563882265268,582
calendar_assumed_replay,currency,UZS,11640,0.14776632302405499,0.1607326850560656,0.12031427105233468,0.39734806822353164,0.014588024669750848,0.12379920468573725,0.4105554604323312,0.019265939549843594,-0.003484933633402576,-0.013207392208799573,0.6720144586927982,0.256335755406222,0.09401619936234062,-0.004677914880092745,582
calendar_assumed_replay,year,2025,36500,0.08712328767123288,0.17611738114048467,0.0860360110080415,0.3169650821286482,0.08900023183458378,0.08924630277013235,0.3280116036585454,0.09413068131758498,-0.0032102917620908528,-0.011046521529897213,0.6518516416000362,0.1467939152750723,0.07714680211707314,-0.005130449483001204,365
calendar_assumed_replay,year,2026,21700,0.22119815668202766,0.1614912942982685,0.1640055045023545,0.501748085283868,0.06462798376515287,0.16911397067626785,0.5208862948719526,0.06637070263133919,-0.005108466173913362,-0.019138209588084543,0.7089130300788955,0.4045151034013075,0.09150204635108483,-0.0017427188661863213,217
calendar_assumed_replay,currency_year,AMD:2025,7300,0.0821917808219178,0.19596242529232732,0.08886992246875204,0.32852343808426654,0.11377064447040956,0.09256550716557027,0.3404474402068323,0.11975298680056254,-0.00369558469681823,-0.01192400212256578,0.6167582089552239,0.11977165631780187,0.086063184079602,-0.005982342330152976,365
calendar_assumed_replay,currency_year,AMD:2026,4340,0.22119815668202766,0.17605558728970275,0.16122042979786239,0.493078248770846,0.055423193477050436,0.16657282657218914,0.5126805587781775,0.06170076841651138,-0.005352396774326751,-0.019602310007331536,0.718294810157791,0.41790593745236904,0.10731909516765292,-0.006277574939460941,217
calendar_assumed_replay,currency_year,KGS:2025,7300,0.0821917808219178,0.18582980472993896,0.08787603782789515,0.3247931373256574,0.10363802390802113,0.09271140331428733,0.34055969235007383,0.11381565183612846,-0.004835365486392185,-0.01576655502441643,0.5938139303482587,0.10776528019862958,0.10472288557213927,-0.010177627928107336,365
calendar_assumed_replay,currency_year,KGS:2026,4340,0.19815668202764977,0.16540904752092184,0.14731159076640604,0.45965776714613277,0.04309484388669066,0.15205706954340104,0.47685935246285044,0.04271237113286294,-0.0047454787769949935,-0.01720158531671767,0.7348645081529002,0.4115666416318487,0.10795008019246177,0.0003824727538277173,217
calendar_assumed_replay,currency_year,KZT:2025,7300,0.049315068493150684,0.1491199320949677,0.05508219111138859,0.2357769329066312,0.10003986936217736,0.05580953196706294,0.2395462666855373,0.10004287784821829,-0.0007273408556743508,-0.003769333778906092,0.6826546990073648,0.16639306935054968,0.07231348062760168,-3.0084860409285152e-06,365
calendar_assumed_replay,currency_year,KZT:2026,4340,0.23963133640552994,0.13568217129216073,0.18014410834618508,0.5445413990286999,0.10421205253189658,0.186267857938476,0.5692589532963592,0.11146491939038579,-0.006123749592290922,-0.024717554267659314,0.748129224941725,0.47153124154514625,0.11507663170163174,-0.007252866858489207,217
