weekday,n,take_rate,mean_future_opportunities,mean_wait_gain
1,310,0.9161290322580645,0.8064516129032258,-0.055645161290322584
2,270,0.9629629629629629,0.3,-0.007407407407407408
3,239,0.9874476987447699,0.32217573221757323,-0.028242677824267783
4,159,1.0,0.1949685534591195,-0.04874213836477988
5,185,1.0,0.021621621621621623,-0.005405405405405406
6,4,1.0,0.0,0.0
