feature,importance
annual_sin,0.07126371697081783
market_cny_basis_post_z,0.051969763829694704
known_change_z,0.048688966100463124
market_cny_basis_last_z,0.0389993126621864
announced_ret1,0.03503562587554892
market_cny_basis_mean_z,0.03493041271770138
TJS_ret1,0.030329063896123297
known_change,0.03013702151149782
effective_vol20,0.025416299849570074
USD_ret1,0.022219212438949865
KGS_ret1,0.02158607898311066
annual_cos,0.02105957816743629
EUR_ret1,0.020095938705271762
AMD_ret1,0.02000765245345367
announced_vol20,0.01900686457009066
peer_change_mean,0.01799287652606629
dow_cos,0.015993779222550374
month_end,0.015763087203649297
announced_range60,0.015581906501802323
KZT_ret5,0.014846613529060528
AMD_ret5,0.012265213603258813
EUR_ret5,0.011919896923839426
UZS_ret5,0.011398641959384852
KGS_ret5,0.010709024845417603
effective_range5,0.01041342495281181
effective_ret3,0.01004619865184736
CNY_ret20,0.009378835638253489
market_cny_range,0.00921078391206289
effective_ret5,0.00919368920151923
effective_vol60,0.009031750162810524
market_cny_late_z,0.008995856203342457
dow_sin,0.008995734069509253
announced_range90,0.00898781570523724
KZT_ret20,0.008951033205365024
KGS_ret20,0.008528846621508459
TJS_ret20,0.008431107182042567
TJS_ret5,0.008363942676119224
announced_mean_gap60,0.008160415545449034
effective_mean_gap5,0.008079843416088233
UZS_ret1,0.007866607346534615
AMD_ret20,0.007751636123644535
UZS_ret20,0.007709562367737692
announced_up_share60,0.007566787880154577
USD_ret5,0.0072466975027652095
effective_vol5,0.007223901874018595
announced_vol90,0.007104743101526918
USD_ret20,0.006798291490483004
peer_change_std,0.006710783741724601
CNY_ret1,0.006658442290981017
KZT_ret1,0.006573782198456792
effective_range60,0.006533233591765378
effective_vol90,0.006187857575811155
announced_ret5,0.005678891724218089
effective_up_share60,0.005664353629224722
announced_range5,0.0055004886962788345
EUR_ret20,0.005496158239128162
announced_mean_gap90,0.005423578561344068
effective_mean_gap60,0.005367331787436071
announced_vol60,0.005319033354927655
announced_vol5,0.00510438323312119
announced_mean_gap20,0.004967708953354932
announced_range20,0.00482721151044118
announced_ret60,0.004683513824211424
effective_range90,0.004665011074483115
CNY_ret5,0.004467036699959772
announced_vol250,0.004370437056372446
announced_mean_gap5,0.0043042113136731895
effective_vol250,0.004237407644158988
effective_range20,0.004209558942514982
effective_mean_gap20,0.004131151260301218
effective_ret60,0.0038666804829953637
effective_mean_gap90,0.003796706463844896
announced_ret3,0.0037344482347122336
effective_ret1,0.003626484030516619
effective_ret20,0.003551876100850494
announced_ret20,0.0034629013077027994
effective_up_share20,0.0034377776804077396
effective_range250,0.0033884944510926816
announced_ret10,0.0033694378182567357
announced_up_share5,0.0030677648833564884
announced_range250,0.002694195806481184
effective_up_share250,0.0024971844807923542
announced_up_share250,0.002473443445013299
effective_ret10,0.0022755653244857137
announced_up_share90,0.002259010938157623
effective_up_share5,0.0022410194731481634
effective_age_days,0.0022122148413370618
announced_mean_gap250,0.0018924526631744736
effective_up_share90,0.001817910750241056
local_minus_common,0.0016127603861576668
currency_KZT,0.0015574389723511763
effective_mean_gap250,0.001446833049682052
market_local_post_missing,0.0013058152443498517
market_local_quality,0.0012313533552733113
announced_up_share20,0.001219336616553197
currency_TJS,0.0006706113397560982
market_local_age,0.0005791783017496024
market_local_n,0.00043413159094045145
market_local_mean_missing,0.0003655595928592747
market_local_last_missing,0.0003578095340228023
currency_UZS,0.0003069187691065501
currency_KGS,0.00028008894782763117
market_local_basis_post_z,0.00020145425615802418
pre_new_year14,0.00018766964485937432
market_local_basis_last_z,0.00010015806963469027
market_local_range,6.0210975132160215e-05
market_local_basis_mean_z,4.6884239790111473e-05
market_local_late_z,3.400004460202282e-05
currency_AMD,5.971109600557276e-07
next_effective_gap,0.0
TJS_source_age_days,0.0
AMD_source_age_days,0.0
CNY_missing,0.0
CNY_source_age_days,0.0
EUR_missing,0.0
EUR_source_age_days,0.0
KGS_missing,0.0
KGS_source_age_days,0.0
KZT_missing,0.0
KZT_source_age_days,0.0
TJS_missing,0.0
USD_missing,0.0
market_cny_quality,0.0
market_cny_age,0.0
market_cny_n,0.0
market_cny_post_missing,0.0
USD_source_age_days,0.0
market_cny_mean_missing,0.0
UZS_missing,0.0
market_cny_last_missing,0.0
UZS_source_age_days,0.0
after2022,0.0
AMD_missing,0.0
