candidate,h,mean_bps,ci_lo,ci_hi
extra_roll2_primary_cap2,1,19.94253752844356,14.320640984770431,26.903945042423594
extra_roll2_primary_cap2,3,39.9724544388838,27.623543997690426,53.401979552292914
extra_roll2_primary_cap2,5,54.61340937474654,37.312777780476374,71.95155492651402
extra_roll2_primary_cap2,10,86.35877037276755,60.48261396016112,114.52454762678633
extra_roll2_primary_cap2,20,128.3208769081021,73.71270952013096,177.44208396475483
extra_roll2_reserve7_cap2,1,21.215140894366673,15.540880139083967,27.829523124527363
extra_roll2_reserve7_cap2,3,39.06352314739521,27.66775869158176,51.86234991466625
extra_roll2_reserve7_cap2,5,49.91443466237849,31.565847815658188,68.14435286808059
extra_roll2_reserve7_cap2,10,74.70807743487423,46.459215066855045,102.20555426197633
extra_roll2_reserve7_cap2,20,107.98508990830891,50.746636711664294,161.7423846482779
extra_roll2_month24_cap2,1,20.04222762814078,14.452913811738442,26.940640712217586
extra_roll2_month24_cap2,3,40.17032905863605,27.85413175090656,53.40418853975942
extra_roll2_month24_cap2,5,54.66860514629137,37.44261770011305,72.0385631661643
extra_roll2_month24_cap2,10,86.69713792437514,60.66833861106838,114.6310283736646
extra_roll2_month24_cap2,20,129.17579450682004,74.25145914955931,178.7106539452378
extra_roll3_primary_cap2,1,19.94253752844356,14.320640984770431,26.903945042423594
extra_roll3_primary_cap2,3,39.9724544388838,27.623543997690426,53.401979552292914
extra_roll3_primary_cap2,5,54.61340937474654,37.312777780476374,71.95155492651402
extra_roll3_primary_cap2,10,86.35877037276755,60.48261396016112,114.52454762678633
extra_roll3_primary_cap2,20,128.3208769081021,73.71270952013096,177.44208396475483
extra_roll3_reserve7_cap2,1,21.215140894366673,15.540880139083967,27.829523124527363
extra_roll3_reserve7_cap2,3,39.06352314739521,27.66775869158176,51.86234991466625
extra_roll3_reserve7_cap2,5,49.91443466237849,31.565847815658188,68.14435286808059
extra_roll3_reserve7_cap2,10,74.70807743487423,46.459215066855045,102.20555426197633
extra_roll3_reserve7_cap2,20,107.98508990830891,50.746636711664294,161.7423846482779
extra_roll3_month24_cap2,1,20.04222762814078,14.452913811738442,26.940640712217586
extra_roll3_month24_cap2,3,40.17032905863605,27.85413175090656,53.40418853975942
