candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,empty_complete_months,calendar_gap_max,joint_early_pass
extra_roll2_primary_cap2,1.9079393891563412,2.029505366237478,0.9847094801223242,1.1131498470948011,108.20462867289824,39.9724544388838,27.623543997690426,2,1.152338078878747,0,40,False
extra_roll2_reserve7_cap2,1.8942747260721284,2.0048123831314966,1.1131498470948011,1.198776758409786,107.74427178560164,39.06352314739521,27.66775869158176,2,1.147435453384697,0,38,True
extra_roll2_month24_cap2,1.9099630415978612,2.0338798718162208,1.0061162079510704,1.1131498470948011,108.22710135658328,40.17032905863605,27.85413175090656,2,1.1525774043998682,0,40,True
extra_roll3_primary_cap2,1.9079393891563412,2.029505366237478,0.9847094801223242,1.1131498470948011,108.20462867289824,39.9724544388838,27.623543997690426,2,1.152338078878747,0,40,False
extra_roll3_reserve7_cap2,1.8942747260721284,2.0048123831314966,1.1131498470948011,1.198776758409786,107.74427178560164,39.06352314739521,27.66775869158176,2,1.147435453384697,0,38,True
extra_roll3_month24_cap2,1.9099630415978612,2.0338798718162208,1.0061162079510704,1.1131498470948011,108.22710135658328,40.17032905863605,27.85413175090656,2,1.1525774043998682,0,40,True
extra_decay730_primary_cap2,1.9290513833992096,2.023341318844878,1.0061162079510704,1.091743119266055,110.42820568929807,40.645114388022094,27.58702190014862,2,1.1760183271152893,0,40,True
extra_decay730_reserve7_cap2,1.933874239350913,2.018098756299262,1.091743119266055,1.1773700305810397,110.91269655864942,40.7123010781188,29.013826175487075,2,1.1811779703252887,0,38,True
extra_decay730_month24_cap2,1.9290513833992096,2.023341318844878,1.0061162079510704,1.091743119266055,110.58664389821621,40.96519530450824,28.06101207996152,2,1.177705633689185,0,40,True
local_extra_primary_cap2,1.8763215562646571,1.9680105930350735,0.9204892966360856,1.198776758409786,102.87086027534002,38.517746394875076,27.618503842200223,2,1.0955354771434123,0,40,False
local_extra_reserve7_cap2,1.882720406578669,1.9610812729170943,1.0489296636085628,1.3058103975535167,104.29680837824036,39.62943890283285,29.869527983324407,2,1.1107212812779497,0,38,True
local_extra_month24_cap2,1.8796840418224834,1.9763328112742,0.9418960244648318,1.198776758409786,102.57941791930438,38.491995150983556,27.732869184342263,2,1.0924317270656476,0,40,False
router_extra_local_primary_cap2,1.9621287038054427,2.063371517429628,1.0275229357798166,1.2201834862385321,114.6523357703981,41.88053909833959,30.77782145528816,2,1.2210037034553674,0,30,True
router_extra_local_reserve7_cap2,1.9537849982716904,2.0503644141021953,1.091743119266055,1.2844036697247707,113.77015804221772,42.73488001197585,30.999770844150106,2,1.211608846682705,0,23,True
router_extra_local_month24_cap2,1.9638255156050375,2.0673126593906166,1.0489296636085628,1.2201834862385321,114.45867099741588,41.82270031019519,30.768914167367864,2,1.2189412473924253,0,30,True
brier365_extra_local_primary_cap2,1.9519823453314058,2.0370171430942614,0.9847094801223242,1.1773700305810397,113.30661037867087,41.04504792176796,31.54579023917524,2,1.2066722406369963,0,31,False
brier365_extra_local_reserve7_cap2,1.9500756962292716,2.039503066505153,1.091743119266055,1.2629969418960245,113.2620065560027,42.518447078684254,31.863391245319026,2,1.2061972269157306,0,27,True
brier365_extra_local_month24_cap2,1.9537802381132936,2.041206381657177,1.0061162079510704,1.1773700305810397,113.11066405225974,40.98820181043871,31.48572734109337,2,1.2045854868991082,0,31,True
extra_h5_r30_nogap_cap2,1.9109240407204386,2.0298302070062504,1.0061162079510704,1.1131498470948011,108.88877923825257,39.69086458041126,27.450304768035778,2,1.159624021798319,0,40,True
local_hist_h5_r30_nogap_cap2,1.954689027600211,2.0575767007291392,1.0061162079510704,1.2415902140672783,114.70505780298156,44.35307988201688,31.603568003199452,2,1.221565173019904,1,43,False
known70_hazard30_r275_nogap_cap2,2.1385290654105558,2.3811067053167108,0.7706422018348623,0.8134556574923547,160.5607864817701,50.10230178564675,17.98443811238161,2,1.6743192902864399,0,51,False
hazard_hist_h5_urgent_cap2,1.8430101657910896,1.9116716507443394,1.1345565749235473,1.2844036697247707,100.04855811682131,47.9671905286277,39.476262979292535,2,1.0654790342051503,0,17,True
known_change_z_urgent_cap2,1.8038329697725148,1.8734933489224685,1.1773700305810397,1.3272171253822629,110.92766220087972,45.47189344658228,2.8837958986028593,2,1.1362578373456118,0,17,True
ap1_change_z_r25_exact,1.9873845305390874,2.1450326538817017,1.1773700305810397,1.3058103975535167,150.34864539501754,35.693499034784296,-29.29981508732111,5,1.4355975113418817,0,35,False
ap1_change_z_r25_exact_cap2,1.987300976477945,2.131775386401204,0.8348623853211009,0.9418960244648318,141.28243711456196,43.40387988303234,-10.812639088119141,2,1.411644902431625,0,37,False
known_next_not_lower_cd3,1.7533151059466847,1.7591109063345092,1.348623853211009,1.4770642201834863,93.90007208490756,40.69317390950933,-10.206092906394302,2,1.0,0,17,False
