model,period,n,brier_h5,mean_probability,event_rate
extra_roll2,early,647,0.20751418856090612,0.6503764126559222,0.6754250386398764
extra_roll2,later,1683,0.21313368330401825,0.5805458337326243,0.5704099821746881
extra_roll3,early,647,0.2075141885609061,0.6503764126559222,0.6754250386398764
extra_roll3,later,1683,0.21267866851272121,0.589736727123063,0.5704099821746881
extra_decay730,early,647,0.20819120111914557,0.6526608480539857,0.6754250386398764
extra_decay730,later,1683,0.21089126869604927,0.5816496296110831,0.5704099821746881
local_extra,early,647,0.21088139293257016,0.6617734421899425,0.6754250386398764
local_extra,later,1683,0.2157207097971245,0.5943091759371918,0.5704099821746881
router_extra_local,early,647,0.21048036028521777,0.6581351681964883,0.6754250386398764
router_extra_local,later,1683,0.22591575324747265,0.5981836963997991,0.5704099821746881
brier365_extra_local,early,647,0.2068066068711822,0.6535164886962226,0.6754250386398764
brier365_extra_local,later,1683,0.2182527979692593,0.592151221475689,0.5704099821746881
