origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,n_model_train,weight_sum,local_counts,meta_n,meta_prefer_extra,brier_count_min,brier_count_max,extra_weight_min,extra_weight_max
2023-07-01,extra_decay730,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,896,698.9584603292079,,,,,,,
2023-07-01,local_extra,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,896,,"{""AMD"": 183, ""KGS"": 177, ""KZT"": 174, ""TJS"": 186, ""UZS"": 176}",,,,,,
2023-07-01,router_extra_local,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,896,,,655.0,276.0,,,,
2023-10-01,extra_roll2,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,1105,,,,,,,,
2023-10-01,extra_roll3,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,1105,,,,,,,,
2023-10-01,extra_decay730,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,1105,834.9596271853293,,,,,,,
2023-10-01,local_extra,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,1105,,"{""AMD"": 228, ""KGS"": 221, ""KZT"": 211, ""TJS"": 228, ""UZS"": 217}",,,,,,
2023-10-01,router_extra_local,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,1105,,,864.0,358.0,,,,
2024-01-01,extra_roll2,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,1265,,,,,,,,
2024-01-01,extra_roll3,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,1265,,,,,,,,
2024-01-01,extra_decay730,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,1265,913.2080918317129,,,,,,,
2024-01-01,local_extra,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,1265,,"{""AMD"": 256, ""KGS"": 255, ""KZT"": 242, ""TJS"": 263, ""UZS"": 249}",,,,,,
2024-01-01,router_extra_local,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,1265,,,1024.0,444.0,,,,
