candidate,quarter,n_train,n_test,last_resolved,n_features
joint_logit,2024-01-01,1210,285,2023-12-30,32
joint_logit,2024-04-01,1495,300,2024-03-30,32
joint_logit,2024-07-01,1795,325,2024-06-29,32
joint_logit,2024-10-01,2120,330,2024-09-28,32
joint_logit,2025-01-01,2450,285,2024-12-29,32
joint_logit,2025-04-01,2735,295,2025-03-29,32
joint_logit,2025-07-01,3030,330,2025-06-28,32
joint_logit,2025-10-01,3360,325,2025-09-30,32
joint_logit,2026-01-01,3685,270,2025-12-31,32
joint_logit,2026-04-01,3955,310,2026-03-31,32
joint_logit,2026-07-01,4265,205,2026-06-30,32
joint_logit_stale20,2024-01-01,1210,285,2023-12-30,32
joint_logit_stale20,2024-04-01,1495,300,2024-03-30,32
joint_logit_stale20,2024-07-01,1795,325,2024-06-29,32
joint_logit_stale20,2024-10-01,2120,330,2024-09-28,32
joint_logit_stale20,2025-01-01,2450,285,2024-12-29,32
joint_logit_stale20,2025-04-01,2735,295,2025-03-29,32
joint_logit_stale20,2025-07-01,3030,330,2025-06-28,32
joint_logit_stale20,2025-10-01,3360,325,2025-09-30,32
joint_logit_stale20,2026-01-01,3685,270,2025-12-31,32
joint_logit_stale20,2026-04-01,3955,310,2026-03-31,32
joint_logit_stale20,2026-07-01,4265,205,2026-06-30,32
joint_hist,2024-01-01,1210,285,2023-12-30,32
joint_hist,2024-04-01,1495,300,2024-03-30,32
joint_hist,2024-07-01,1795,325,2024-06-29,32
joint_hist,2024-10-01,2120,330,2024-09-28,32
joint_hist,2025-01-01,2450,285,2024-12-29,32
joint_hist,2025-04-01,2735,295,2025-03-29,32
joint_hist,2025-07-01,3030,330,2025-06-28,32
joint_hist,2025-10-01,3360,325,2025-09-30,32
joint_hist,2026-01-01,3685,270,2025-12-31,32
joint_hist,2026-04-01,3955,310,2026-03-31,32
joint_hist,2026-07-01,4265,205,2026-06-30,32
joint_hist_stale20,2024-01-01,1210,285,2023-12-30,32
joint_hist_stale20,2024-04-01,1495,300,2024-03-30,32
joint_hist_stale20,2024-07-01,1795,325,2024-06-29,32
joint_hist_stale20,2024-10-01,2120,330,2024-09-28,32
joint_hist_stale20,2025-01-01,2450,285,2024-12-29,32
joint_hist_stale20,2025-04-01,2735,295,2025-03-29,32
joint_hist_stale20,2025-07-01,3030,330,2025-06-28,32
joint_hist_stale20,2025-10-01,3360,325,2025-09-30,32
joint_hist_stale20,2026-01-01,3685,270,2025-12-31,32
joint_hist_stale20,2026-04-01,3955,310,2026-03-31,32
joint_hist_stale20,2026-07-01,4265,205,2026-06-30,32
joint_extra,2024-01-01,1210,285,2023-12-30,32
joint_extra,2024-04-01,1495,300,2024-03-30,32
joint_extra,2024-07-01,1795,325,2024-06-29,32
joint_extra,2024-10-01,2120,330,2024-09-28,32
joint_extra,2025-01-01,2450,285,2024-12-29,32
joint_extra,2025-04-01,2735,295,2025-03-29,32
joint_extra,2025-07-01,3030,330,2025-06-28,32
joint_extra,2025-10-01,3360,325,2025-09-30,32
joint_extra,2026-01-01,3685,270,2025-12-31,32
joint_extra,2026-04-01,3955,310,2026-03-31,32
joint_extra,2026-07-01,4265,205,2026-06-30,32
