candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps,cny_weight
cny050_anchor050,overall,all,2470,664,1.294707520891365,0.32793522267206476,0.5496987951807228,1.676242005057266,115.02276883068946,0.5
cny050_anchor050,year,2022,1235,316,1.249717514124294,0.2777327935222672,0.5,1.8002915451895043,143.47133609304294,0.5
cny050_anchor050,quarter,2022Q1,280,57,1.010126582278481,0.30357142857142855,0.7719298245614035,2.542827657378741,415.8419409870227,0.5
cny050_anchor050,quarter,2022Q2,300,58,0.9022222222222221,0.09666666666666666,0.1724137931034483,1.7835909631391202,-38.85709193638029,0.5
cny050_anchor050,quarter,2022Q3,330,102,1.5692307692307692,0.296969696969697,0.4117647058823529,1.3865546218487392,56.31854948115957,0.5
cny050_anchor050,quarter,2022Q4,325,99,1.5230769230769232,0.40307692307692305,0.6262626262626263,1.5537049888194927,183.2643520643742,0.5
cny050_anchor050,year,2023,1235,348,1.3762711864406778,0.3781376518218624,0.5948275862068966,1.5730451155578526,89.19016177636851,0.5
cny050_anchor050,quarter,2023Q1,280,92,1.6099999999999999,0.4857142857142857,0.6086956521739131,1.2531969309462916,80.60983673206744,0.5
cny050_anchor050,quarter,2023Q2,305,90,1.4,0.4,0.7777777777777778,1.9444444444444444,174.24123014261326,0.5
cny050_anchor050,quarter,2023Q3,330,72,1.1076923076923078,0.42424242424242425,0.5555555555555556,1.3095238095238095,84.5202678435734,0.5
cny050_anchor050,quarter,2023Q4,320,94,1.4954545454545456,0.215625,0.43617021276595747,2.02281837804502,19.73299277929317,0.5
cny050_anchor050,currency,TJS,494,137,1.3356545961002786,0.34615384615384615,0.583941605839416,1.686942416869424,129.56937048002467,0.5
cny050_anchor050,currency,UZS,494,129,1.2576601671309193,0.32388663967611336,0.5503875968992248,1.6993217054263565,126.91871565670522,0.5
cny050_anchor050,currency,KGS,494,131,1.277158774373259,0.32186234817813764,0.5038167938931297,1.5653175860579,89.2425931702273,0.5
cny050_anchor050,currency,AMD,494,125,1.2186629526462396,0.33805668016194335,0.568,1.6801916167664668,138.4731638991452,0.5
cny050_anchor050,currency,KZT,494,142,1.384401114206128,0.3097165991902834,0.5422535211267606,1.7508054865138547,93.32165658736992,0.5
cny060_anchor040,overall,all,2470,666,1.2986072423398327,0.32793522267206476,0.5525525525525525,1.684944203462722,112.99458820964205,0.6
cny060_anchor040,year,2022,1235,322,1.2734463276836159,0.2777327935222672,0.48757763975155277,1.755563804936349,130.48491037670289,0.6
cny060_anchor040,quarter,2022Q1,280,56,0.9924050632911391,0.30357142857142855,0.7857142857142857,2.588235294117647,429.747804523156,0.6
cny060_anchor040,quarter,2022Q2,300,71,1.1044444444444443,0.09666666666666666,0.14084507042253522,1.4570179698882955,-106.56811425975528,0.6
cny060_anchor040,quarter,2022Q3,330,101,1.5538461538461539,0.296969696969697,0.39603960396039606,1.333602748029905,55.93420559099023,0.6
cny060_anchor040,quarter,2022Q4,325,94,1.4461538461538461,0.40307692307692305,0.6702127659574468,1.6627415949325972,211.35367484844892,0.6
cny060_anchor040,year,2023,1235,344,1.3604519774011299,0.3781376518218624,0.6133720930232558,1.6220867984662117,96.62283315791649,0.6
cny060_anchor040,quarter,2023Q1,280,87,1.5224999999999997,0.4857142857142857,0.632183908045977,1.301555104800541,83.14264369948626,0.6
cny060_anchor040,quarter,2023Q2,305,91,1.4155555555555555,0.4,0.7472527472527473,1.8681318681318682,165.21446805827648,0.6
cny060_anchor040,quarter,2023Q3,330,81,1.2461538461538462,0.42424242424242425,0.5925925925925926,1.3968253968253967,100.43873283911358,0.6
