rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.3,281,1.1112994350282488,250.0,0.0,0.501779359430605,0.3379032258064516,1.4849794885297143,0.5709754970217936,67.49574100158019,1.4849794885297143,1.4849794885297143,1.0,1.0,1.0282485875706215,1.1666666666666667,1.3673677761895038,0.8333333333333334,1.4849794885297143,1.1112994350282488,1.1112994350282488,0.7000000000000001,1.5431818181818182,4.0,screen_2024,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0
0.3,298,1.1752112676056339,250.0,0.0,0.32550335570469796,0.22186234817813766,1.4671410375740948,0.6174301404406907,14.5787876436076,1.4671410375740948,1.4671410375740948,1.0,1.0,1.123943661971831,1.2422535211267605,1.3173333333333332,0.8600682593856656,1.4671410375740948,1.1752112676056339,1.1752112676056339,0.26153846153846155,1.7977272727272728,4.0,retrospective_2025,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0
0.3,112,0.6968888888888888,250.0,0.0,0.5803571428571429,0.3401273885350318,1.7062934724451582,0.6060474599800443,120.07290870222228,1.7062934724451582,1.7062934724451582,1.0,1.0,0.591111111111111,0.7777777777777777,1.4322807017543862,0.9158878504672897,1.7062934724451582,0.6968888888888888,0.6968888888888888,0.03111111111111111,2.15,3.0,retrospective_2026,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0
0.3,410,0.9679595278246207,250.0,0.0,0.3951219512195122,0.26782178217821784,1.4753167125016906,0.5768685190948073,43.39669388400966,1.4671410375740948,1.5867172550096265,2.0,2.0,0.9089376053962901,1.003372681281619,1.2881803188565146,0.8641975308641975,1.5867172550096265,0.6968888888888888,1.1752112676056339,0.03111111111111111,2.15,7.0,combined_2025_2026,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0
0.35,349,1.380225988700565,250.0,0.0,0.4785100286532951,0.3379032258064516,1.416115597923833,0.5784115651498987,58.52049522718923,1.416115597923833,1.416115597923833,1.0,1.0,1.265536723163842,1.4435028248587571,1.352112676056338,0.8604651162790697,1.416115597923833,1.380225988700565,1.380225988700565,0.7795454545454547,1.9090909090909092,4.0,screen_2024,broad75_baseload25,rolling,0.35,250,0,0,0.0,0.0,0,0
0.35,328,1.2935211267605633,250.0,0.0,0.3170731707317073,0.22186234817813766,1.4291436709987537,0.6000212673841877,10.900246734203133,1.4291436709987537,1.4291436709987537,1.0,1.0,1.1633802816901408,1.4788732394366197,1.1227272727272728,0.8885448916408669,1.4291436709987537,1.2935211267605633,1.2935211267605633,0.6461538461538462,1.6871794871794874,4.0,retrospective_2025,broad75_baseload25,rolling,0.35,250,0,0,0.0,0.0,0,0
0.35,176,1.0951111111111111,250.0,0.0,0.5681818181818182,0.3401273885350318,1.6704971058903646,0.6103314389831243,111.06786784927849,1.6704971058903646,1.6704971058903646,1.0,1.0,0.7777777777777777,1.3688888888888888,1.3771929824561404,0.9005847953216374,1.6704971058903646,1.0951111111111111,1.0951111111111111,0.07777777777777778,2.8,3.0,retrospective_2026,broad75_baseload25,rolling,0.35,250,0,0,0.0,0.0,0,0
0.35,504,1.1898819561551435,250.0,0.0,0.40476190476190477,0.26782178217821784,1.511310624064783,0.6005594028037629,45.87941601248342,1.4291436709987537,1.5498203884445592,2.0,2.0,1.12141652613828,1.2984822934232716,1.2700084961767204,0.8837675350701403,1.5498203884445592,1.0951111111111111,1.2935211267605633,0.07777777777777778,2.8,7.0,combined_2025_2026,broad75_baseload25,rolling,0.35,250,0,0,0.0,0.0,0,0
,301,1.1903954802259888,,,0.3953488372093023,0.3379032258064516,1.170006105344952,0.5896034581495877,43.2123709108227,1.170006105344952,,,,1.1073446327683616,1.2457627118644068,1.0457831325301206,0.7398648648648649,1.170006105344952,1.1903954802259888,1.1903954802259888,0.9910112359550562,1.7022727272727272,,screen_2024,broad50_baseload50,weekly,0.0,0,0,10,0.9,0.5,4,2
,286,1.127887323943662,,,0.23776223776223776,0.22186234817813766,1.0716655607166556,0.5678543488002916,-22.132072142319217,1.0716655607166556,,,,1.064788732394366,1.1830985915492958,0.9368965517241379,0.6548042704626335,1.0716655607166556,1.127887323943662,1.127887323943662,1.0461538461538462,1.2727272727272727,,retrospective_2025,broad50_baseload50,weekly,0.0,0,0,10,0.9,0.5,4,2
,189,1.1759999999999997,,,0.37037037037037035,0.3401273885350318,1.088916631987793,0.6107254927479647,31.832402404952393,1.088916631987793,,,,1.0888888888888888,1.2444444444444442,0.8263157894736842,0.7282608695652174,1.088916631987793,1.1759999999999997,1.1759999999999997,1.0422222222222222,1.35,,retrospective_2026,broad50_baseload50,weekly,0.0,0,0,10,0.9,0.5,4,2
,475,1.12141652613828,,,0.2905263157894737,0.26782178217821784,1.0847747835392547,0.5970925051772255,-0.6598917435100913,1.0716655607166556,,,,1.0978077571669478,1.1804384485666106,1.0543714658547194,0.676595744680851,1.0802910963522243,1.127887323943662,1.1759999999999997,1.0422222222222222,1.35,,combined_2025_2026,broad50_baseload50,weekly,0.0,0,0,10,0.9,0.5,4,2
0.35,372,1.4711864406779662,40.0,0.0,0.3817204301075269,0.3379032258064516,1.1296738265712012,0.5745743446928625,28.462208819547236,1.1296738265712012,1.1296738265712012,1.0,1.0,1.384180790960452,1.6016949152542375,0.9959839357429718,0.9019073569482289,1.1296738265712012,1.4711864406779662,1.4711864406779662,0.8808988764044944,2.8636363636363638,4.0,screen_2024,broad25_baseload75,rolling,0.35,40,0,0,0.0,0.0,0,0
0.35,495,1.952112676056338,40.0,0.0,0.2606060606060606,0.22186234817813766,1.174629506746295,0.5255854227272382,-17.100942166979422,1.174629506746295,1.174629506746295,1.0,1.0,1.8140845070422535,2.0507042253521126,0.9975,0.9163265306122449,1.174629506746295,1.952112676056338,1.952112676056338,1.169230769230769,3.0461538461538464,4.0,retrospective_2025,broad25_baseload75,rolling,0.35,40,0,0,0.0,0.0,0,0
0.35,328,2.0408888888888885,40.0,0.0,0.46646341463414637,0.3401273885350318,1.3714373801041382,0.6095830983471433,75.09753445143514,1.3714373801041382,1.3714373801041382,1.0,1.0,1.8355555555555554,2.2399999999999998,1.3071662206363368,0.9442724458204335,1.3714373801041382,2.0408888888888885,2.0408888888888885,0.9022222222222221,4.025,3.0,retrospective_2026,broad25_baseload75,rolling,0.35,40,0,0,0.0,0.0,0,0
0.35,823,1.943001686340641,40.0,0.0,0.34264884568651277,0.26782178217821784,1.279391253764798,0.5799761041519036,19.644015707674253,1.174629506746295,1.2730334434252166,2.0,2.0,1.8296795952782463,2.042158516020236,1.1350266613152915,0.921760391198044,1.2730334434252166,1.952112676056338,2.0408888888888885,0.9022222222222221,4.025,7.0,combined_2025_2026,broad25_baseload75,rolling,0.35,40,0,0,0.0,0.0,0,0
0.35,479,1.8943502824858758,120.0,0.0,0.37995824634655534,0.3379032258064516,1.1244587720041257,0.5565030712298582,31.487569012523725,1.1244587720041257,1.1244587720041257,1.0,1.0,1.8389830508474576,1.957627118644068,0.979591836734694,0.9219409282700421,1.1244587720041257,1.8943502824858758,1.8943502824858758,0.7795454545454547,3.0359550561797755,4.0,screen_2024,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0
0.35,370,1.4591549295774648,120.0,0.0,0.3,0.22186234817813766,1.3521897810218977,0.48891247711857333,1.1679360469672908,1.3521897810218977,1.3521897810218977,1.0,1.0,1.2225352112676056,1.676056338028169,1.1042352941176472,0.9561643835616438,1.3521897810218977,1.4591549295774648,1.4591549295774648,0.0,3.769230769230769,4.0,retrospective_2025,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0
0.35,307,1.910222222222222,120.0,0.0,0.4495114006514658,0.3401273885350318,1.3215971891812759,0.6035529911934405,74.30333582418017,1.3215971891812759,1.3215971891812759,1.0,1.0,1.7733333333333332,2.0533333333333332,1.1671126969967291,0.9437086092715232,1.3215971891812759,1.910222222222222,1.910222222222222,0.7933333333333332,4.425,3.0,retrospective_2026,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0
0.35,677,1.5983136593591907,120.0,0.0,0.36779911373707536,0.26782178217821784,1.3732979847484144,0.5647574983846557,34.33273328715097,1.3215971891812759,1.3368934851015868,2.0,2.0,1.4991568296795954,1.6998313659359192,1.153686396677051,0.9434523809523809,1.3368934851015868,1.4591549295774648,1.910222222222222,0.0,4.425,7.0,combined_2025_2026,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0
