scenario,clock,h,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision
calendar_assumed_replay,00:15,1,ALL,ALL,4830,0.517184265010352,0.523481940649263,0.24546079943299418,0.6841273480006878,0.028699122253625156,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.004484830531656853,-0.00891109228537812,0.5800031105501897,0.5858359664386926
calendar_assumed_replay,00:15,1,currency,AMD,966,0.5403726708074534,0.5315043124423626,0.2426020643201766,0.6782030085323901,0.029920119879056038,0.24985154100356277,0.6928502607230275,0.03820509935218386,-0.007249476683386158,-0.014647252190637339,0.5909832246039142,0.6179518176263722
calendar_assumed_replay,00:15,1,currency,KGS,966,0.5062111801242236,0.521037863574545,0.2427785009363086,0.6785547565184591,0.020138893539898475,0.2499902335880978,0.6931276482864199,0.004043608668954035,-0.007211732651789204,-0.014572891767960838,0.5990533883808569,0.6044020611812259
calendar_assumed_replay,00:15,1,currency,KZT,966,0.49585921325051757,0.5150156522978724,0.2518669816049825,0.6974917799683104,0.08187775787491783,0.25002662831238437,0.6932004390785129,0.006308358204752007,0.0018403532925981292,0.004291340889797435,0.5380734161261698,0.5295540180300261
calendar_assumed_replay,00:15,1,currency,TJS,966,0.5248447204968945,0.5334253500391749,0.24756042286333785,0.6884615593221239,0.030278879762736674,0.2499087569780431,0.6929646927092374,0.022677149041624878,-0.0023483341147052528,-0.0045031333871135,0.5648201862379841,0.5804929874949583
calendar_assumed_replay,00:15,1,currency,UZS,966,0.5186335403726708,0.5164265248923595,0.24249602744016524,0.6779256356621555,0.025704084848645222,0.24995098994116705,0.6930491606331319,0.016465968917401264,-0.007454962501001805,-0.015123524970976465,0.5952310432897645,0.5989021256440009
calendar_assumed_replay,00:15,1,year,2024,1785,0.5372549019607843,0.5568820816113805,0.24673924621727047,0.6867990109501284,0.05748261914209111,0.24985072225693264,0.6928486247240484,0.03480966777646077,-0.0031114760396621644,-0.006049613773919993,0.5620652566358723,0.588895201646982
calendar_assumed_replay,00:15,1,year,2025,1825,0.473972602739726,0.5087728143486095,0.23851431965641084,0.6695547046203382,0.045958411201365235,0.2501551647145159,0.6934575135141366,0.02836913241176514,-0.011640845058105032,-0.023902808893798477,0.6238680154142582,0.6075600183835996
calendar_assumed_replay,00:15,1,year,2026,1220,0.5524590163934426,0.4966171077650926,0.25398153556605263,0.7020176396436275,0.09304834789769457,0.24977104745626894,0.6926892699065348,0.05095822913240711,0.004210488109783694,0.009328369737092723,0.5425620373691591,0.5677915791770312
calendar_assumed_replay,00:15,1,currency_year,AMD:2024,357,0.5574229691876751,0.5661120074920492,0.24510429170913847,0.683450718226063,0.0516958496005708,0.2497349109768499,0.6926169990717058,0.05497773500335157,-0.004630619267711439,-0.00916628084564286,0.5568030023535399,0.6076499982126196
calendar_assumed_replay,00:15,1,currency_year,AMD:2025,365,0.4876712328767123,0.5160751657130762,0.23391134795976193,0.6598151614962099,0.04280714655435324,0.2501031702621059,0.6933535237554894,0.01467050227477884,-0.01619182230234395,-0.03353836225927953,0.6533677822507962,0.664748425514814
calendar_assumed_replay,00:15,1,currency_year,AMD:2026,244,0.5942622950819673,0.5039497690958523,0.25194147535989786,0.6980314175797864,0.13874441323634273,0.2496457714960556,0.6924387172913606,0.09276150782093173,0.0022957038638422578,0.005592700288425734,0.5650992685475444,0.6303208065982379
calendar_assumed_replay,00:15,1,currency_year,KGS:2024,357,0.5490196078431373,0.5612199087827927,0.24467339180906938,0.6824073070207889,0.028680689452668218,0.24981962433315325,0.6927864295263982,0.046574373658813784,-0.00514623252408386,-0.01037912250560935,0.5652807706933706,0.6185813522640937
calendar_assumed_replay,00:15,1,currency_year,KGS:2025,365,0.4547945205479452,0.5082884426092796,0.23454559067438893,0.6611343948864763,0.07693437539170608,0.2502251735048619,0.6935975313687384,0.04754721460354594,-0.015679582830472966,-0.03246313648226207,0.64536538112248,0.6478954284375131
calendar_assumed_replay,00:15,1,currency_year,KGS:2026,244,0.5204918032786885,0.4813188001031406,0.2523216821003457,0.6989771805608437,0.09444015584482959,0.24988840749955804,0.692923991615442,0.018991016017652962,0.0024332746007876827,0.006053188945401633,0.5681405208964264,0.5735734283333846
calendar_assumed_replay,00:15,1,currency_year,KZT:2024,357,0.5098039215686274,0.5484361802361577,0.24945683785060957,0.6926556485340657,0.08534098643431969,0.24997100961001503,0.6930892019590484,0.007358687384303897,-0.0005141717594054629,-0.0004335534249827466,0.5626687598116169,0.5503968452310782
calendar_assumed_replay,00:15,1,currency_year,KZT:2025,365,0.4273972602739726,0.4978941794907775,0.25186899730639095,0.6976332877541279,0.0771864529140515,0.25033816417910254,0.693823516866991,0.07494447487751854,0.0015308331272884113,0.003809770887136965,0.5246902220586431,0.4459971504901865
calendar_assumed_replay,00:15,1,currency_year,KZT:2026,244,0.5778688524590164,0.4917296240217319,0.25539028320046214,0.7043559134937284,0.1467276593955398,0.24964197784268644,0.6924311286639809,0.0763680651979809,0.005748305357775707,0.011924784829747459,0.5042346622598637,0.6482551926868152
calendar_assumed_replay,00:15,1,currency_year,TJS:2024,357,0.5434173669467787,0.557311972581409,0.24590113072879172,0.6850664312012389,0.05974033002675431,0.24980339498366536,0.6927539672991294,0.04097213276245515,-0.0039022642548736386,-0.007687536097890524,0.5617924229966479,0.6038910094447316
calendar_assumed_replay,00:15,1,currency_year,TJS:2025,365,0.5205479452054794,0.5231392063118887,0.24091131694733978,0.6745964072404388,0.04516648690685147,0.24998781992672503,0.6931228214265248,0.01820621005398826,-0.009076502979385254,-0.018526414186086027,0.6117593984962406,0.636957729288551
calendar_assumed_replay,00:15,1,currency_year,TJS:2026,244,0.5040983606557377,0.5138635394362318,0.2599345661066667,0.7141699250965955,0.11017946265813233,0.24994464327199367,0.6930364631584123,0.002597573394702124,0.009989922834673037,0.021133461938183218,0.4896190284216891,0.47398552917759207
calendar_assumed_replay,00:15,1,currency_year,UZS:2024,357,0.5266106442577031,0.551330338964494,0.2485605789887432,0.690414949768486,0.0706976017832421,0.2499246713809796,0.69299652576396,0.02416541007337958,-0.0013640923922363934,-0.002581575995473928,0.5540098199672668,0.5826240527811755
calendar_assumed_replay,00:15,1,currency_year,UZS:2025,365,0.4794520547945205,0.4984670776180258,0.23133434539417252,0.6545942717244377,0.04448808799691126,0.2501214956997841,0.6933901741529397,0.022889680356970643,-0.018787150305611566,-0.03879590242850195,0.6654135338345866,0.6564483286730578
calendar_assumed_replay,00:15,1,currency_year,UZS:2026,244,0.5655737704918032,0.49222380616850675,0.2503196710628907,0.6945537614871842,0.11280011833306766,0.24973443717105098,0.6926160488034779,0.06407298323076771,0.0005852338918397315,0.0019377126837062386,0.5827180749248017,0.6167492496653951
calendar_assumed_replay,06:00,1,ALL,ALL,4830,0.517184265010352,0.523481940649263,0.24546079943299418,0.6841273480006878,0.028699122253625156,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.004484830531656853,-0.00891109228537812,0.5800031105501897,0.5858359664386926
calendar_assumed_replay,06:00,1,currency,AMD,966,0.5403726708074534,0.5315043124423626,0.2426020643201766,0.6782030085323901,0.029920119879056038,0.24985154100356277,0.6928502607230275,0.03820509935218386,-0.007249476683386158,-0.014647252190637339,0.5909832246039142,0.6179518176263722
calendar_assumed_replay,06:00,1,currency,KGS,966,0.5062111801242236,0.521037863574545,0.2427785009363086,0.6785547565184591,0.020138893539898475,0.2499902335880978,0.6931276482864199,0.004043608668954035,-0.007211732651789204,-0.014572891767960838,0.5990533883808569,0.6044020611812259
calendar_assumed_replay,06:00,1,currency,KZT,966,0.49585921325051757,0.5150156522978724,0.2518669816049825,0.6974917799683104,0.08187775787491783,0.25002662831238437,0.6932004390785129,0.006308358204752007,0.0018403532925981292,0.004291340889797435,0.5380734161261698,0.5295540180300261
