scenario,clock,h,slice,group,n,mean_actual_bps,mean_predicted_bps,mae,rmse,bias,spearman,baseline_mae,baseline_rmse,mae_delta,rmse_delta
calendar_assumed_replay,00:15,1,ALL,ALL,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155
calendar_assumed_replay,00:15,1,currency,AMD,966,3.1614037362208594,-0.24921335595916788,63.72121940630338,87.61658882268532,-3.410617092180025,-0.02537249478888654,63.65548781910959,87.57740297856114,0.06573158719379535,0.03918584412417658
calendar_assumed_replay,00:15,1,currency,KGS,966,1.390252447938324,-0.2565738814614667,62.20525791837945,87.31744248466197,-1.64682632939979,-0.025397455360708945,62.072637171225566,87.25277812259229,0.1326207471538865,0.06466436206967785
calendar_assumed_replay,00:15,1,currency,KZT,966,-2.614662822379235,-0.25897952027226767,73.67189353665232,102.85204521832094,2.3556833021069665,-0.02324237001765352,73.5177152795762,102.75051740088381,0.15417825707612565,0.10152781743713035
calendar_assumed_replay,00:15,1,currency,TJS,966,2.5095568064815117,-0.21940923528380124,65.77540394544357,92.62861081119715,-2.728966041765313,-0.04546497968376671,65.63158877901223,92.54680582671799,0.14381516643133807,0.08180498447916307
calendar_assumed_replay,00:15,1,currency,UZS,966,0.1473113175241652,-0.26067641325939955,66.99095966695738,91.602847762464,-0.4079877307835637,-0.043596673674811875,67.04188469045272,91.57095062033713,-0.05092502349533845,0.031897142126865674
calendar_assumed_replay,00:15,1,year,2024,1785,4.133688599833583,0.7621764586222354,58.26615535092823,88.91345564880595,-3.371512141211348,-0.09533386297324262,58.28085320984869,88.91218072750628,-0.014697858920463602,0.001274921299668108
calendar_assumed_replay,00:15,1,year,2025,1825,-6.3881866189393905,-0.49588845485039124,72.59219035839878,98.75979348588777,5.892298164088999,-0.06410763526266763,72.39699490030988,98.64113095398585,0.1951954580889037,0.11866253190191856
calendar_assumed_replay,00:15,1,year,2026,1220,7.145472642729799,-1.359029486035083,69.3266383574954,88.16030109278665,-8.504502128764878,-0.05181330784967609,69.24444131114103,88.09135780905957,0.08219704635436642,0.06894328372708003
calendar_assumed_replay,00:15,1,currency_year,AMD:2024,357,6.328505183891619,0.7621764586222353,58.39709883236619,87.34659565877426,-5.566328725269384,-0.1085864848703162,58.441644721985334,87.37981120255748,-0.044545889619143964,-0.03321554378321423
calendar_assumed_replay,00:15,1,currency_year,AMD:2025,365,-5.334597369414439,-0.4965312410743392,66.57708371926847,90.553102286098,4.838066128340102,-0.06189024190906682,66.44099471447886,90.46914267890794,0.1360890047896106,0.08395960719005302
calendar_assumed_replay,00:15,1,currency_year,AMD:2026,244,11.236752862198001,-1.3590294860350833,67.23892666312025,83.44537268910196,-12.595782348233081,-0.03796557855151312,67.11709424887833,83.36783101508554,0.12183241424192204,0.0775416740164161
calendar_assumed_replay,00:15,1,currency_year,KGS:2024,357,5.94336962257064,0.7621764586222353,55.186799193467685,84.72437238578843,-5.181193163948406,-0.11471760734115645,55.179792495273276,84.74794440646596,0.007006698194409466,-0.023572020677534056
calendar_assumed_replay,00:15,1,currency_year,KGS:2025,365,-7.582183655541129,-0.5160114263763139,66.21175277308026,92.10193750663397,7.066172229164814,-0.07793934182800673,65.88486946887456,91.96050666914081,0.3268833042057082,0.14143083749316077
calendar_assumed_replay,00:15,1,currency_year,KGS:2026,244,8.150401408701693,-1.3590294860350833,66.48074620865697,83.6237217503143,-9.509430894736777,-0.05845800333136443,66.45493537070543,83.55436676366882,0.025810837951539156,0.06935498664547879
calendar_assumed_replay,00:15,1,currency_year,KZT:2024,357,-0.24678426218931582,0.7621764586222353,65.64865200460561,98.92108573117473,1.0089607208115503,-0.07684833279570868,65.66314036816703,98.85334420216687,-0.014488363561426354,0.06774152900786135
calendar_assumed_replay,00:15,1,currency_year,KZT:2025,365,-11.268112650852288,-0.522378130735858,75.86735595998312,105.34796660509795,10.745734520116427,-0.0055448650632573555,75.53487368467525,105.19551651337368,0.3324822753078678,0.15245009172427615
calendar_assumed_replay,00:15,1,currency_year,KZT:2026,244,6.865568904689872,-1.3590294860350833,82.12662075970529,104.69805947765275,-8.224598390724951,-0.06552737773324485,81.992389154625,104.62627921851912,0.13423160508028786,0.07178025913363228
calendar_assumed_replay,00:15,1,currency_year,TJS:2024,357,5.056596289661997,0.7621764586222353,56.19462537795883,86.95657880632808,-4.294419831039762,-0.0929649204313487,56.24603001404074,86.97940756632126,-0.05140463608191226,-0.022828759993174685
calendar_assumed_replay,00:15,1,currency_year,TJS:2025,365,-1.8975865332517137,-0.41765239019104017,76.7586415373256,104.50985486322097,1.4799341430606765,-0.10517598731250252,76.33705786888034,104.3345464027015,0.4215836684452654,0.17530846051946014
calendar_assumed_replay,00:15,1,currency_year,TJS:2026,244,5.375598706101161,-1.3590294860350833,63.363339304276,81.0347531536524,-6.734628192136247,-0.05658071154093968,63.34940952201617,80.96676814846829,0.013929782259836543,0.06798500518411288
calendar_assumed_replay,00:15,1,currency_year,UZS:2024,357,3.5867561652329703,0.7621764586222353,55.90360134624282,85.869308415651,-2.824579706610736,-0.0970425275775224,55.87365844977703,85.86054344777564,0.029942896465790625,0.00876496787536496
calendar_assumed_replay,00:15,1,currency_year,UZS:2025,365,-5.858452885637382,-0.5268690858744044,77.54611780233654,100.32122900664261,5.331583799762977,-0.0782405371604309,77.7871787646404,100.28543637005471,-0.24106096230386242,0.03579263658789955
calendar_assumed_replay,00:15,1,currency_year,UZS:2026,244,4.099041331958264,-1.3590294860350833,67.42355885171848,85.88842473929418,-5.458070817993345,-0.05600755415114591,67.30837825948024,85.82909356542173,0.1151805922382465,0.059331173872450904
calendar_assumed_replay,06:00,1,ALL,ALL,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155
calendar_assumed_replay,06:00,1,currency,AMD,966,3.1614037362208594,-0.24921335595916788,63.72121940630338,87.61658882268532,-3.410617092180025,-0.02537249478888654,63.65548781910959,87.57740297856114,0.06573158719379535,0.03918584412417658
calendar_assumed_replay,06:00,1,currency,KGS,966,1.390252447938324,-0.2565738814614667,62.20525791837945,87.31744248466197,-1.64682632939979,-0.025397455360708945,62.072637171225566,87.25277812259229,0.1326207471538865,0.06466436206967785
calendar_assumed_replay,06:00,1,currency,KZT,966,-2.614662822379235,-0.25897952027226767,73.67189353665232,102.85204521832094,2.3556833021069665,-0.02324237001765352,73.5177152795762,102.75051740088381,0.15417825707612565,0.10152781743713035
calendar_assumed_replay,06:00,1,currency,TJS,966,2.5095568064815117,-0.21940923528380124,65.77540394544357,92.62861081119715,-2.728966041765313,-0.04546497968376671,65.63158877901223,92.54680582671799,0.14381516643133807,0.08180498447916307
calendar_assumed_replay,06:00,1,currency,UZS,966,0.1473113175241652,-0.26067641325939955,66.99095966695738,91.602847762464,-0.4079877307835637,-0.043596673674811875,67.04188469045272,91.57095062033713,-0.05092502349533845,0.031897142126865674
calendar_assumed_replay,06:00,1,year,2024,1785,4.133688599833583,0.7621764586222354,58.26615535092823,88.91345564880595,-3.371512141211348,-0.09533386297324262,58.28085320984869,88.91218072750628,-0.014697858920463602,0.001274921299668108
calendar_assumed_replay,06:00,1,year,2025,1825,-6.3881866189393905,-0.49588845485039124,72.59219035839878,98.75979348588777,5.892298164088999,-0.06410763526266763,72.39699490030988,98.64113095398585,0.1951954580889037,0.11866253190191856
calendar_assumed_replay,06:00,1,year,2026,1220,7.145472642729799,-1.359029486035083,69.3266383574954,88.16030109278665,-8.504502128764878,-0.05181330784967609,69.24444131114103,88.09135780905957,0.08219704635436642,0.06894328372708003
calendar_assumed_replay,06:00,1,currency_year,AMD:2024,357,6.328505183891619,0.7621764586222353,58.39709883236619,87.34659565877426,-5.566328725269384,-0.1085864848703162,58.441644721985334,87.37981120255748,-0.044545889619143964,-0.03321554378321423
calendar_assumed_replay,06:00,1,currency_year,AMD:2025,365,-5.334597369414439,-0.4965312410743392,66.57708371926847,90.553102286098,4.838066128340102,-0.06189024190906682,66.44099471447886,90.46914267890794,0.1360890047896106,0.08395960719005302
calendar_assumed_replay,06:00,1,currency_year,AMD:2026,244,11.236752862198001,-1.3590294860350833,67.23892666312025,83.44537268910196,-12.595782348233081,-0.03796557855151312,67.11709424887833,83.36783101508554,0.12183241424192204,0.0775416740164161
calendar_assumed_replay,06:00,1,currency_year,KGS:2024,357,5.94336962257064,0.7621764586222353,55.186799193467685,84.72437238578843,-5.181193163948406,-0.11471760734115645,55.179792495273276,84.74794440646596,0.007006698194409466,-0.023572020677534056
calendar_assumed_replay,06:00,1,currency_year,KGS:2025,365,-7.582183655541129,-0.5160114263763139,66.21175277308026,92.10193750663397,7.066172229164814,-0.07793934182800673,65.88486946887456,91.96050666914081,0.3268833042057082,0.14143083749316077
calendar_assumed_replay,06:00,1,currency_year,KGS:2026,244,8.150401408701693,-1.3590294860350833,66.48074620865697,83.6237217503143,-9.509430894736777,-0.05845800333136443,66.45493537070543,83.55436676366882,0.025810837951539156,0.06935498664547879
calendar_assumed_replay,06:00,1,currency_year,KZT:2024,357,-0.24678426218931582,0.7621764586222353,65.64865200460561,98.92108573117473,1.0089607208115503,-0.07684833279570868,65.66314036816703,98.85334420216687,-0.014488363561426354,0.06774152900786135
calendar_assumed_replay,06:00,1,currency_year,KZT:2025,365,-11.268112650852288,-0.522378130735858,75.86735595998312,105.34796660509795,10.745734520116427,-0.0055448650632573555,75.53487368467525,105.19551651337368,0.3324822753078678,0.15245009172427615
calendar_assumed_replay,06:00,1,currency_year,KZT:2026,244,6.865568904689872,-1.3590294860350833,82.12662075970529,104.69805947765275,-8.224598390724951,-0.06552737773324485,81.992389154625,104.62627921851912,0.13423160508028786,0.07178025913363228
calendar_assumed_replay,06:00,1,currency_year,TJS:2024,357,5.056596289661997,0.7621764586222353,56.19462537795883,86.95657880632808,-4.294419831039762,-0.0929649204313487,56.24603001404074,86.97940756632126,-0.05140463608191226,-0.022828759993174685
calendar_assumed_replay,06:00,1,currency_year,TJS:2025,365,-1.8975865332517137,-0.41765239019104017,76.7586415373256,104.50985486322097,1.4799341430606765,-0.10517598731250252,76.33705786888034,104.3345464027015,0.4215836684452654,0.17530846051946014
calendar_assumed_replay,06:00,1,currency_year,TJS:2026,244,5.375598706101161,-1.3590294860350833,63.363339304276,81.0347531536524,-6.734628192136247,-0.05658071154093968,63.34940952201617,80.96676814846829,0.013929782259836543,0.06798500518411288
calendar_assumed_replay,06:00,1,currency_year,UZS:2024,357,3.5867561652329703,0.7621764586222353,55.90360134624282,85.869308415651,-2.824579706610736,-0.0970425275775224,55.87365844977703,85.86054344777564,0.029942896465790625,0.00876496787536496
calendar_assumed_replay,06:00,1,currency_year,UZS:2025,365,-5.858452885637382,-0.5268690858744044,77.54611780233654,100.32122900664261,5.331583799762977,-0.0782405371604309,77.7871787646404,100.28543637005471,-0.24106096230386242,0.03579263658789955
calendar_assumed_replay,06:00,1,currency_year,UZS:2026,244,4.099041331958264,-1.3590294860350833,67.42355885171848,85.88842473929418,-5.458070817993345,-0.05600755415114591,67.30837825948024,85.82909356542173,0.1151805922382465,0.059331173872450904
calendar_assumed_replay,09:15,1,ALL,ALL,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155
calendar_assumed_replay,09:15,1,currency,AMD,966,3.1614037362208594,-0.24921335595916788,63.72121940630338,87.61658882268532,-3.410617092180025,-0.02537249478888654,63.65548781910959,87.57740297856114,0.06573158719379535,0.03918584412417658
calendar_assumed_replay,09:15,1,currency,KGS,966,1.390252447938324,-0.2565738814614667,62.20525791837945,87.31744248466197,-1.64682632939979,-0.025397455360708945,62.072637171225566,87.25277812259229,0.1326207471538865,0.06466436206967785
calendar_assumed_replay,09:15,1,currency,KZT,966,-2.614662822379235,-0.25897952027226767,73.67189353665232,102.85204521832094,2.3556833021069665,-0.02324237001765352,73.5177152795762,102.75051740088381,0.15417825707612565,0.10152781743713035
calendar_assumed_replay,09:15,1,currency,TJS,966,2.5095568064815117,-0.21940923528380124,65.77540394544357,92.62861081119715,-2.728966041765313,-0.04546497968376671,65.63158877901223,92.54680582671799,0.14381516643133807,0.08180498447916307
calendar_assumed_replay,09:15,1,currency,UZS,966,0.1473113175241652,-0.26067641325939955,66.99095966695738,91.602847762464,-0.4079877307835637,-0.043596673674811875,67.04188469045272,91.57095062033713,-0.05092502349533845,0.031897142126865674
calendar_assumed_replay,09:15,1,year,2024,1785,4.133688599833583,0.7621764586222354,58.26615535092823,88.91345564880595,-3.371512141211348,-0.09533386297324262,58.28085320984869,88.91218072750628,-0.014697858920463602,0.001274921299668108
calendar_assumed_replay,09:15,1,year,2025,1825,-6.3881866189393905,-0.49588845485039124,72.59219035839878,98.75979348588777,5.892298164088999,-0.06410763526266763,72.39699490030988,98.64113095398585,0.1951954580889037,0.11866253190191856
calendar_assumed_replay,09:15,1,year,2026,1220,7.145472642729799,-1.359029486035083,69.3266383574954,88.16030109278665,-8.504502128764878,-0.05181330784967609,69.24444131114103,88.09135780905957,0.08219704635436642,0.06894328372708003
calendar_assumed_replay,09:15,1,currency_year,AMD:2024,357,6.328505183891619,0.7621764586222353,58.39709883236619,87.34659565877426,-5.566328725269384,-0.1085864848703162,58.441644721985334,87.37981120255748,-0.044545889619143964,-0.03321554378321423
calendar_assumed_replay,09:15,1,currency_year,AMD:2025,365,-5.334597369414439,-0.4965312410743392,66.57708371926847,90.553102286098,4.838066128340102,-0.06189024190906682,66.44099471447886,90.46914267890794,0.1360890047896106,0.08395960719005302
