scenario,clock,h,metric,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_router_better
calendar_assumed_replay,00:15,1,brier,20,966,-0.004484830531656848,-0.012539800312195768,0.003795196602341572,0.843
calendar_assumed_replay,00:15,1,brier,50,966,-0.004484830531656848,-0.013119345551973367,0.004170035342883377,0.848
calendar_assumed_replay,00:15,1,benefit_mae,20,966,0.08908414687196402,-0.041846779115448506,0.23054255141517446,0.096
calendar_assumed_replay,00:15,1,benefit_mae,50,966,0.08908414687196402,-0.0327984886933793,0.21459569348079166,0.078
calendar_assumed_replay,06:00,1,brier,20,966,-0.004484830531656848,-0.012539800312195768,0.003795196602341572,0.843
calendar_assumed_replay,06:00,1,brier,50,966,-0.004484830531656848,-0.013119345551973367,0.004170035342883377,0.848
calendar_assumed_replay,06:00,1,benefit_mae,20,966,0.08908414687196402,-0.041846779115448506,0.23054255141517446,0.096
calendar_assumed_replay,06:00,1,benefit_mae,50,966,0.08908414687196402,-0.0327984886933793,0.21459569348079166,0.078
calendar_assumed_replay,09:15,1,brier,20,966,-0.02717249418793319,-0.0379408419575978,-0.01653979924518208,1.0
calendar_assumed_replay,09:15,1,brier,50,966,-0.02717249418793319,-0.03909929901706201,-0.015918614597405494,1.0
calendar_assumed_replay,09:15,1,benefit_mae,20,966,0.08908414687196402,-0.041846779115448506,0.23054255141517446,0.096
calendar_assumed_replay,09:15,1,benefit_mae,50,966,0.08908414687196402,-0.0327984886933793,0.21459569348079166,0.078
calendar_assumed_replay,10:15,1,brier,20,966,-0.04005170305818466,-0.05110694952435494,-0.029264617676805958,1.0
calendar_assumed_replay,10:15,1,brier,50,966,-0.04005170305818466,-0.05239416574225793,-0.027670092990917355,1.0
calendar_assumed_replay,10:15,1,benefit_mae,20,966,0.08908414687196402,-0.041846779115448506,0.23054255141517446,0.096
calendar_assumed_replay,10:15,1,benefit_mae,50,966,0.08908414687196402,-0.0327984886933793,0.21459569348079166,0.078
calendar_assumed_replay,10:45,1,brier,20,966,-0.047215890348358824,-0.05662817609382525,-0.03682835897078817,1.0
calendar_assumed_replay,10:45,1,brier,50,966,-0.047215890348358824,-0.057899458048869805,-0.036982615421578345,1.0
calendar_assumed_replay,10:45,1,benefit_mae,20,966,-7.060813575713611,-8.523916177516943,-5.714995571250915,1.0
calendar_assumed_replay,10:45,1,benefit_mae,50,966,-7.060813575713611,-8.674505752827356,-5.436426390976119,1.0
calendar_assumed_replay,11:45,1,brier,20,966,-0.05197418167177146,-0.062253302997660374,-0.04090244110976459,1.0
calendar_assumed_replay,11:45,1,brier,50,966,-0.05197418167177146,-0.06392725202986445,-0.04056649716814526,1.0
calendar_assumed_replay,11:45,1,benefit_mae,20,966,-7.662105126098696,-9.207104905638662,-6.204535793124366,1.0
calendar_assumed_replay,11:45,1,benefit_mae,50,966,-7.662105126098696,-9.372425868803568,-5.9282421545703095,1.0
calendar_assumed_replay,12:45,1,brier,20,966,-0.05414392431357719,-0.06456714149088695,-0.042809107140886676,1.0
calendar_assumed_replay,12:45,1,brier,50,966,-0.05414392431357719,-0.06669508402142922,-0.04197977517531138,1.0
calendar_assumed_replay,12:45,1,benefit_mae,20,966,-7.798691433026311,-9.343100462484276,-6.364694635754589,1.0
calendar_assumed_replay,12:45,1,benefit_mae,50,966,-7.798691433026311,-9.532842219861195,-6.069813628147662,1.0
calendar_assumed_replay,13:45,1,brier,20,966,-0.055805691426792245,-0.06659976853089905,-0.04449055410676372,1.0
calendar_assumed_replay,13:45,1,brier,50,966,-0.055805691426792245,-0.06849037811051098,-0.04335822195494468,1.0
calendar_assumed_replay,13:45,1,benefit_mae,20,966,-7.945973753342239,-9.48163396750962,-6.547238557574088,1.0
calendar_assumed_replay,13:45,1,benefit_mae,50,966,-7.945973753342239,-9.64454849635065,-6.233628619947471,1.0
calendar_assumed_replay,14:45,1,brier,20,966,-0.057009071986049174,-0.06776237987093936,-0.04606824406477794,1.0
calendar_assumed_replay,14:45,1,brier,50,966,-0.057009071986049174,-0.06918859613996096,-0.04483659515282873,1.0
calendar_assumed_replay,14:45,1,benefit_mae,20,966,-8.06507147560992,-9.62694793755778,-6.636361882545841,1.0
calendar_assumed_replay,14:45,1,benefit_mae,50,966,-8.06507147560992,-9.831967196747962,-6.322695777796888,1.0
calendar_assumed_replay,15:10,1,brier,20,966,-0.057139902563889636,-0.0678183566021135,-0.046387345265454044,1.0
calendar_assumed_replay,15:10,1,brier,50,966,-0.057139902563889636,-0.06937355580946614,-0.044844483156548154,1.0
calendar_assumed_replay,15:10,1,benefit_mae,20,966,-8.074181101604184,-9.648148169588898,-6.671497987902132,1.0
calendar_assumed_replay,15:10,1,benefit_mae,50,966,-8.074181101604184,-9.837759834303712,-6.328874633089,1.0
calendar_assumed_replay,15:25,1,brier,20,966,-0.05711229296309902,-0.0676112839587795,-0.0463580717067425,1.0
calendar_assumed_replay,15:25,1,brier,50,966,-0.05711229296309902,-0.06938183997887223,-0.04473976204064766,1.0
calendar_assumed_replay,15:25,1,benefit_mae,20,966,-8.081568528111346,-9.660138624617439,-6.667428179982142,1.0
calendar_assumed_replay,15:25,1,benefit_mae,50,966,-8.081568528111346,-9.833375144014232,-6.325519107691276,1.0
calendar_assumed_replay,15:45,1,brier,20,966,-0.0570698545594187,-0.06756684915562253,-0.046259294669055664,1.0
calendar_assumed_replay,15:45,1,brier,50,966,-0.0570698545594187,-0.06927943224649623,-0.04468779454397645,1.0
calendar_assumed_replay,15:45,1,benefit_mae,20,966,-8.103974026847036,-9.684023162004483,-6.698252706125661,1.0
calendar_assumed_replay,15:45,1,benefit_mae,50,966,-8.103974026847036,-9.866530168446427,-6.333618190200636,1.0
calendar_assumed_replay,16:45,1,brier,20,966,-0.05090187162180278,-0.061072441385286454,-0.040438837169625604,1.0
calendar_assumed_replay,16:45,1,brier,50,966,-0.05090187162180278,-0.061700621656404,-0.04107103662680265,1.0
calendar_assumed_replay,16:45,1,benefit_mae,20,966,-7.460317025120667,-9.032239929287277,-6.068835441558019,1.0
calendar_assumed_replay,16:45,1,benefit_mae,50,966,-7.460317025120667,-9.136639616575113,-5.776038847490041,1.0
calendar_assumed_replay,17:45,1,brier,20,966,-0.04640098808953196,-0.05664992080998652,-0.03590387021882148,1.0
calendar_assumed_replay,17:45,1,brier,50,966,-0.04640098808953196,-0.057109668825905,-0.03638112142243762,1.0
calendar_assumed_replay,17:45,1,benefit_mae,20,966,-6.749014111890996,-8.198211381383556,-5.46149447551989,1.0
calendar_assumed_replay,17:45,1,benefit_mae,50,966,-6.749014111890996,-8.275823123461377,-5.296927270316074,1.0
calendar_assumed_replay,18:45,1,brier,20,966,-0.17049720180905717,-0.17732832158260228,-0.16276516849093253,1.0
calendar_assumed_replay,18:45,1,brier,50,966,-0.17049720180905717,-0.17698737507255463,-0.1637026656261787,1.0
calendar_assumed_replay,18:45,1,benefit_mae,20,966,-45.5469503401057,-51.49738758849949,-39.639235418723835,1.0
calendar_assumed_replay,18:45,1,benefit_mae,50,966,-45.5469503401057,-51.582729608336585,-39.63730066424347,1.0
calendar_assumed_replay,19:15,1,brier,20,966,-0.17049720180905717,-0.17732832158260228,-0.16276516849093253,1.0
calendar_assumed_replay,19:15,1,brier,50,966,-0.17049720180905717,-0.17698737507255463,-0.1637026656261787,1.0
calendar_assumed_replay,19:15,1,benefit_mae,20,966,-45.5469503401057,-51.49738758849949,-39.639235418723835,1.0
calendar_assumed_replay,19:15,1,benefit_mae,50,966,-45.5469503401057,-51.582729608336585,-39.63730066424347,1.0
calendar_assumed_replay,20:15,1,brier,20,966,-0.17049720180905717,-0.17732832158260228,-0.16276516849093253,1.0
calendar_assumed_replay,20:15,1,brier,50,966,-0.17049720180905717,-0.17698737507255463,-0.1637026656261787,1.0
calendar_assumed_replay,20:15,1,benefit_mae,20,966,-45.5469503401057,-51.49738758849949,-39.639235418723835,1.0
calendar_assumed_replay,20:15,1,benefit_mae,50,966,-45.5469503401057,-51.582729608336585,-39.63730066424347,1.0
calendar_assumed_replay,21:15,1,brier,20,966,-0.17049720180905717,-0.17732832158260228,-0.16276516849093253,1.0
calendar_assumed_replay,21:15,1,brier,50,966,-0.17049720180905717,-0.17698737507255463,-0.1637026656261787,1.0
calendar_assumed_replay,21:15,1,benefit_mae,20,966,-45.5469503401057,-51.49738758849949,-39.639235418723835,1.0
calendar_assumed_replay,21:15,1,benefit_mae,50,966,-45.5469503401057,-51.582729608336585,-39.63730066424347,1.0
calendar_assumed_replay,22:15,1,brier,20,966,-0.17049720180905717,-0.17732832158260228,-0.16276516849093253,1.0
calendar_assumed_replay,22:15,1,brier,50,966,-0.17049720180905717,-0.17698737507255463,-0.1637026656261787,1.0
calendar_assumed_replay,22:15,1,benefit_mae,20,966,-45.5469503401057,-51.49738758849949,-39.639235418723835,1.0
calendar_assumed_replay,22:15,1,benefit_mae,50,966,-45.5469503401057,-51.582729608336585,-39.63730066424347,1.0
