scenario,clock,h,slice,group,n_probability,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,n_benefit,mean_actual_bps,mean_predicted_bps,mae,rmse,bias,spearman,baseline_mae,baseline_rmse,mae_delta,rmse_delta,brier_ci_high,benefit_mae_ci_high,probability_supported,benefit_supported,flag_high_ece,flag_low_auc,flag_small_n,flag_probability_not_supported,flag_benefit_not_supported
calendar_assumed_replay,00:15,1,ALL,ALL,4830,0.517184265010352,0.523481940649263,0.24546079943299418,0.6841273480006878,0.028699122253625156,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.004484830531656853,-0.00891109228537812,0.5800031105501897,0.5858359664386926,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155,0.004170035342883377,0.23054255141517446,False,False,False,False,False,True,True
calendar_assumed_replay,06:00,1,ALL,ALL,4830,0.517184265010352,0.523481940649263,0.24546079943299418,0.6841273480006878,0.028699122253625156,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.004484830531656853,-0.00891109228537812,0.5800031105501897,0.5858359664386926,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155,0.004170035342883377,0.23054255141517446,False,False,False,False,False,True,True
calendar_assumed_replay,09:15,1,ALL,ALL,4830,0.517184265010352,0.517806391745205,0.2227731357767199,0.6322339697563512,0.04998398837860406,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.027172494187931134,-0.060804470529714716,0.6765613176647665,0.7008718253917046,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155,-0.015918614597405494,0.23054255141517446,True,False,False,False,False,False,True
calendar_assumed_replay,10:15,1,ALL,ALL,4830,0.517184265010352,0.5212249848805083,0.20989392690646633,0.6024097485070256,0.04266784484544178,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.0400517030581847,-0.09062869177904032,0.7183590783432922,0.7376667520462229,4830,0.9187722971571249,-0.24897048124722068,66.47294689474722,92.57503644458659,-1.1677427784043457,-0.03259030841829753,66.38386274787526,92.51018094779558,0.08908414687196853,0.06485549679101155,-0.027670092990917355,0.23054255141517446,True,False,False,False,False,False,True
calendar_assumed_replay,10:45,1,ALL,ALL,4830,0.517184265010352,0.5226161918086705,0.20272973961629215,0.5870538103747115,0.03785214688709607,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.04721589034835888,-0.10598462991135438,0.7440152808353029,0.7613120930518681,4830,0.9187722971571249,-0.024886383524872012,59.32304917216165,84.77326748142947,-0.9436586806819964,0.44691965098795156,66.38386274787526,92.51018094779558,-7.060813575713603,-7.736913466366104,-0.03682835897078817,-5.436426390976119,True,True,False,False,False,False,False
calendar_assumed_replay,11:45,1,ALL,ALL,4830,0.517184265010352,0.5214936450047942,0.19797144829287955,0.5745669980237981,0.044225656967965585,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05197418167177148,-0.1184714422622678,0.755563455910526,0.7732450341347672,4830,0.9187722971571249,0.06931272177500854,58.721757621776554,84.3241252124568,-0.8494595753821165,0.468779323331601,66.38386274787526,92.51018094779558,-7.662105126098702,-8.186055735338769,-0.04056649716814526,-5.9282421545703095,True,True,False,False,False,False,False
calendar_assumed_replay,12:45,1,ALL,ALL,4830,0.517184265010352,0.5198854975934888,0.19580170565107383,0.569058450222845,0.04478185077121671,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.0541439243135772,-0.12397999006322091,0.7611231352148614,0.7781519541355998,4830,0.9187722971571249,0.0834396440751938,58.58517131484894,84.2039927198303,-0.8353326530819306,0.47386914722053736,66.38386274787526,92.51018094779558,-7.798691433026313,-8.30618822796528,-0.04197977517531138,-6.069813628147662,True,True,False,False,False,False,False
calendar_assumed_replay,13:45,1,ALL,ALL,4830,0.517184265010352,0.5204883180827655,0.19413993853785877,0.5650753317444546,0.0383943808300914,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05580569142679226,-0.1279631085416113,0.7654373069639244,0.7810778745377857,4830,0.9187722971571249,0.2071933468378932,58.43788899453301,84.08227681348235,-0.7115789503192317,0.47787058856691494,66.38386274787526,92.51018094779558,-7.945973753342244,-8.427904134313223,-0.04335822195494468,-6.233628619947471,True,True,False,False,False,False,False
calendar_assumed_replay,14:45,1,ALL,ALL,4830,0.517184265010352,0.5211019927179925,0.19293655797860182,0.5618541157665631,0.03593753328941923,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05700907198604921,-0.1311843245195028,0.7684483779133083,0.7834230163859525,4830,0.9187722971571249,0.1731419035553249,58.31879127226533,83.96238658429125,-0.7456303936017996,0.4834263016995691,66.38386274787526,92.51018094779558,-8.065071475609926,-8.547794363504323,-0.04483659515282873,-6.322695777796888,True,True,False,False,False,False,False
calendar_assumed_replay,15:10,1,ALL,ALL,4830,0.517184265010352,0.5212424622349414,0.19280572740076138,0.5616529977822775,0.032900640150928244,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05713990256388965,-0.13138544250378836,0.7687303358982213,0.7833221317678454,4830,0.9187722971571249,0.19282431249737078,58.30968164627107,83.94018866051158,-0.7259479846597534,0.4842907800262421,66.38386274787526,92.51018094779558,-8.074181101604182,-8.569992287283995,-0.044844483156548154,-6.328874633089,True,True,False,False,False,False,False
calendar_assumed_replay,15:25,1,ALL,ALL,4830,0.517184265010352,0.521000071355353,0.192833337001552,0.5617345541568789,0.03593961101178109,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.057112292963099026,-0.13130388612918698,0.7683906130049838,0.7824334582494468,4830,0.9187722971571249,0.18711782571797206,58.3022942197639,83.93968840623972,-0.7316544714391519,0.4826458403792018,66.38386274787526,92.51018094779558,-8.081568528111355,-8.57049254155585,-0.04473976204064766,-6.325519107691276,True,True,False,False,False,False,False
calendar_assumed_replay,15:45,1,ALL,ALL,4830,0.517184265010352,0.5214181108584707,0.19287577540523232,0.5618460839267979,0.03647762721252642,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05706985455941871,-0.13119235635926796,0.7681734581490235,0.7820549714171088,4830,0.9187722971571249,0.24528063330496794,58.279888721028215,83.90284396896466,-0.6734916638521571,0.48285154978188755,66.38386274787526,92.51018094779558,-8.103974026847041,-8.607336978830915,-0.04468779454397645,-6.333618190200636,True,True,False,False,False,False,False
calendar_assumed_replay,16:45,1,ALL,ALL,4830,0.517184265010352,0.5208732773860049,0.1990437583428482,0.5777854549224146,0.0265623043239833,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.05090187162180282,-0.11525298536365125,0.7550105264314366,0.7648706551502779,4830,0.9187722971571249,-0.1645576567942701,58.9235457227546,84.21132032012243,-1.0833299539513945,0.47058403488355915,66.38386274787526,92.51018094779558,-7.460317025120659,-8.29886062767315,-0.040438837169625604,-5.776038847490041,True,True,False,False,False,False,False
calendar_assumed_replay,17:45,1,ALL,ALL,4830,0.517184265010352,0.5205622308741855,0.203544641875119,0.5886599530926113,0.03453168258444393,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.046400988089532025,-0.10437848719345455,0.7416427138280093,0.7505425243420202,4830,0.9187722971571249,0.10512434997142706,59.63484863598426,84.66738396735965,-0.8136479471856976,0.4584500689097449,66.38386274787526,92.51018094779558,-6.749014111890993,-7.842796980435921,-0.03590387021882148,-5.296927270316074,True,True,False,False,False,False,False
calendar_assumed_replay,18:45,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,19:15,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,20:15,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,21:15,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,22:15,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,23:15,1,ALL,ALL,4830,0.517184265010352,0.523720516255061,0.07944842815627294,0.2209552656979589,0.015630437942678998,0.24994562996465103,0.6930384402860659,0.015016693555082283,-0.17049720180837807,-0.472083174588107,0.9551900525566251,0.9604097141025068,4830,0.9187722971571249,-0.03378314803642773,20.836912407769553,49.15156524111029,-0.9525554451935516,0.7868761672528716,66.38386274787526,92.51018094779558,-45.5469503401057,-43.358615706685285,-0.16276516849093253,-39.63730066424347,True,True,False,False,False,False,False
calendar_assumed_replay,00:15,3,ALL,ALL,4810,0.35550935550935553,0.3737690766697662,0.23250161618075074,0.6574314090552682,0.0359410604180096,0.23001210631202484,0.6527863996016203,0.029879630343090824,0.0024895098687258976,0.004645009453647875,0.5511024335031126,0.3772825263370176,4810,-0.6783417112467323,0.3563213307707431,92.32636409891799,124.7531613651086,1.034663042017475,-0.10423060248593347,91.97199345411623,124.41646813437511,0.3543706448017616,0.3366932307334878,0.013767790047337336,0.8317053630570079,False,False,False,False,False,True,True
calendar_assumed_replay,06:00,3,ALL,ALL,4810,0.35550935550935553,0.3737690766697662,0.23250161618075074,0.6574314090552682,0.0359410604180096,0.23001210631202484,0.6527863996016203,0.029879630343090824,0.0024895098687258976,0.004645009453647875,0.5511024335031126,0.3772825263370176,4810,-0.6783417112467323,0.3563213307707431,92.32636409891799,124.7531613651086,1.034663042017475,-0.10423060248593347,91.97199345411623,124.41646813437511,0.3543706448017616,0.3366932307334878,0.013767790047337336,0.8317053630570079,False,False,False,False,False,True,True
calendar_assumed_replay,09:15,3,ALL,ALL,4810,0.35550935550935553,0.3676459949665957,0.21731752828317535,0.6338762124714487,0.041736965616479514,0.23001210631202484,0.6527863996016203,0.029879630343090824,-0.01269457802884949,-0.018910187130171674,0.6431544048292774,0.474881673833292,4810,-0.6783417112467323,0.3563213307707431,92.32636409891799,124.7531613651086,1.034663042017475,-0.10423060248593347,91.97199345411623,124.41646813437511,0.3543706448017616,0.3366932307334878,-0.0014340665807746897,0.8317053630570079,True,False,False,False,False,False,True
