scenario,clock,h,slice,group,bin,n,predicted_mean_bps,actual_mean_bps,calibration_gap_bps
calendar_assumed_replay,00:15,1,ALL,ALL,0,483,-2.5899625463878295,2.237120077924896,-4.827082624312725
calendar_assumed_replay,00:15,1,ALL,ALL,1,483,-1.9245657720407434,-0.29656582002498566,-1.6279999520157578
calendar_assumed_replay,00:15,1,ALL,ALL,2,483,-1.7419874809421425,-0.7521061992017876,-0.989881281740355
calendar_assumed_replay,00:15,1,ALL,ALL,3,483,-1.1187942500435417,7.7081920602113305,-8.826986310254872
calendar_assumed_replay,00:15,1,ALL,ALL,4,483,-0.9151047554199552,-19.013008780899284,18.09790402547933
calendar_assumed_replay,00:15,1,ALL,ALL,5,483,-0.7390134246616912,19.975443294862732,-20.714456719524424
calendar_assumed_replay,00:15,1,ALL,ALL,6,483,0.5331131360283002,9.739438141735345,-9.206325005707045
calendar_assumed_replay,00:15,1,ALL,ALL,7,483,1.236920843776594,9.46241623315496,-8.225495389378366
calendar_assumed_replay,00:15,1,ALL,ALL,8,483,1.4381169176808548,-11.217154354863963,12.655271272544818
calendar_assumed_replay,00:15,1,ALL,ALL,9,483,3.3315725195379486,-8.656051681327988,11.987624200865936
calendar_assumed_replay,00:15,1,currency,AMD,0,97,-2.5872437595940974,2.931124566289333,-5.51836832588343
calendar_assumed_replay,00:15,1,currency,AMD,1,97,-1.9243817219043426,0.22267110698812156,-2.1470528288924644
calendar_assumed_replay,00:15,1,currency,AMD,2,96,-1.7399648055358778,0.8930596134097648,-2.6330244189456424
calendar_assumed_replay,00:15,1,currency,AMD,3,97,-1.1173046911519484,4.905057566462132,-6.0223622576140805
calendar_assumed_replay,00:15,1,currency,AMD,4,96,-0.9147002298797192,-9.865861902564259,8.95116167268454
calendar_assumed_replay,00:15,1,currency,AMD,5,97,-0.7387379792543758,22.69630660139501,-23.435044580649382
calendar_assumed_replay,00:15,1,currency,AMD,6,96,0.5371910010459113,10.361148624715865,-9.823957623669953
calendar_assumed_replay,00:15,1,currency,AMD,7,97,1.2364832043790779,14.215619872258355,-12.979136667879278
calendar_assumed_replay,00:15,1,currency,AMD,8,96,1.438309294527907,-11.205049074907954,12.64335836943586
calendar_assumed_replay,00:15,1,currency,AMD,9,97,3.3214912688478977,-3.7716098972421994,7.093101166090097
calendar_assumed_replay,00:15,1,currency,KGS,0,97,-2.5872437595940974,2.102664068745559,-4.689907828339656
calendar_assumed_replay,00:15,1,currency,KGS,1,97,-1.9243817219043426,-0.7013447152769646,-1.223037006627378
calendar_assumed_replay,00:15,1,currency,KGS,2,96,-1.7399648055358778,-2.0010574315189245,0.2610926259830466
calendar_assumed_replay,00:15,1,currency,KGS,3,97,-1.1173046911519484,3.3942061912925454,-4.511510882444494
calendar_assumed_replay,00:15,1,currency,KGS,4,96,-0.9147002298797192,-15.388341743839339,14.47364151395962
calendar_assumed_replay,00:15,1,currency,KGS,5,97,-0.7387379792543758,23.8860454259673,-24.624783405221677
calendar_assumed_replay,00:15,1,currency,KGS,6,96,0.5371910010459113,8.447160969741136,-7.909969968695224
calendar_assumed_replay,00:15,1,currency,KGS,7,97,1.2364832043790779,7.116153088075212,-5.879669883696134
calendar_assumed_replay,00:15,1,currency,KGS,8,96,1.438309294527907,-5.316311760691312,6.75462105521922
calendar_assumed_replay,00:15,1,currency,KGS,9,97,3.2481895406497463,-7.840974971442503,11.08916451209225
calendar_assumed_replay,00:15,1,currency,KZT,0,97,-2.5872437595940974,-9.780513585238204,7.193269825644107
calendar_assumed_replay,00:15,1,currency,KZT,1,97,-1.9243817219043426,-0.593516855222011,-1.3308648666823317
