year,weekday,currency,source_kind,phase,confidence,freshness,benefit_source_kind,benefit_freshness,rows,scenario,clock,h
2024,Tuesday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,00:15,1
2024,Tuesday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,00:15,1
2024,Tuesday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,00:15,1
2024,Wednesday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2024,Wednesday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2024,Wednesday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2024,Wednesday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2024,Wednesday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2024,Wednesday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2024,Wednesday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2024,Wednesday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2024,Wednesday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2024,Wednesday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2025,Friday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2025,Friday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2025,Friday,AMD,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,00:15,1
2025,Friday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,00:15,1
2025,Friday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,00:15,1
2025,Friday,KGS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,00:15,1
