scenario,clock,h,slice,group,bin_left,bin_right,n,predicted,actual
calendar_assumed_replay,00:15,1,ALL,ALL,0.2,0.30000000000000004,14,0.28811404232553534,0.5
calendar_assumed_replay,00:15,1,ALL,ALL,0.30000000000000004,0.4,378,0.36514947923979446,0.42063492063492064
calendar_assumed_replay,00:15,1,ALL,ALL,0.4,0.5,1487,0.4585342344857199,0.47881640887693344
calendar_assumed_replay,00:15,1,ALL,ALL,0.5,0.6000000000000001,2028,0.5450111162346551,0.5231755424063116
calendar_assumed_replay,00:15,1,ALL,ALL,0.6000000000000001,0.7000000000000001,848,0.6408818551923434,0.6014150943396226
calendar_assumed_replay,00:15,1,ALL,ALL,0.7000000000000001,0.8,75,0.7435587997798236,0.6533333333333333
calendar_assumed_replay,00:15,1,currency,AMD,0.30000000000000004,0.4,67,0.3656326211069134,0.4626865671641791
calendar_assumed_replay,00:15,1,currency,AMD,0.4,0.5,269,0.45811423107824756,0.4721189591078067
calendar_assumed_replay,00:15,1,currency,AMD,0.5,0.6000000000000001,430,0.5471832551676112,0.5651162790697675
calendar_assumed_replay,00:15,1,currency,AMD,0.6000000000000001,0.7000000000000001,185,0.6441513557364608,0.5891891891891892
calendar_assumed_replay,00:15,1,currency,AMD,0.7000000000000001,0.8,15,0.7497501007861673,0.8
calendar_assumed_replay,00:15,1,currency,KGS,0.2,0.30000000000000004,4,0.2890728407148105,0.75
calendar_assumed_replay,00:15,1,currency,KGS,0.30000000000000004,0.4,70,0.36111301662678585,0.37142857142857144
calendar_assumed_replay,00:15,1,currency,KGS,0.4,0.5,320,0.4559797475798235,0.446875
calendar_assumed_replay,00:15,1,currency,KGS,0.5,0.6000000000000001,383,0.5439351451744101,0.5143603133159269
calendar_assumed_replay,00:15,1,currency,KGS,0.6000000000000001,0.7000000000000001,177,0.6416972201277718,0.6271186440677966
calendar_assumed_replay,00:15,1,currency,KGS,0.7000000000000001,0.8,12,0.7556071580264997,0.75
calendar_assumed_replay,00:15,1,currency,KZT,0.2,0.30000000000000004,1,0.2740923834224877,1.0
calendar_assumed_replay,00:15,1,currency,KZT,0.30000000000000004,0.4,102,0.3687056364609424,0.4019607843137255
calendar_assumed_replay,00:15,1,currency,KZT,0.4,0.5,291,0.46099488057208826,0.5429553264604811
calendar_assumed_replay,00:15,1,currency,KZT,0.5,0.6000000000000001,430,0.5422594403073984,0.4441860465116279
calendar_assumed_replay,00:15,1,currency,KZT,0.6000000000000001,0.7000000000000001,126,0.6402700433124658,0.6587301587301587
calendar_assumed_replay,00:15,1,currency,KZT,0.7000000000000001,0.8,16,0.7267473613297699,0.3125
calendar_assumed_replay,00:15,1,currency,TJS,0.2,0.30000000000000004,5,0.2870213181374014,0.6
calendar_assumed_replay,00:15,1,currency,TJS,0.30000000000000004,0.4,58,0.36692297369589594,0.4827586206896552
calendar_assumed_replay,00:15,1,currency,TJS,0.4,0.5,266,0.4579064138288371,0.46616541353383456
calendar_assumed_replay,00:15,1,currency,TJS,0.5,0.6000000000000001,411,0.5461189222293408,0.5352798053527981
calendar_assumed_replay,00:15,1,currency,TJS,0.6000000000000001,0.7000000000000001,208,0.6387711573199955,0.5769230769230769
calendar_assumed_replay,00:15,1,currency,TJS,0.7000000000000001,0.8,18,0.7472147353058421,0.6666666666666666
calendar_assumed_replay,00:15,1,currency,UZS,0.2,0.30000000000000004,4,0.29202656389718934,0.0
calendar_assumed_replay,00:15,1,currency,UZS,0.30000000000000004,0.4,81,0.3624901108793333,0.4074074074074074
calendar_assumed_replay,00:15,1,currency,UZS,0.4,0.5,341,0.45965261867954516,0.46920821114369504
calendar_assumed_replay,00:15,1,currency,UZS,0.5,0.6000000000000001,374,0.545561890458739,0.5614973262032086
calendar_assumed_replay,00:15,1,currency,UZS,0.6000000000000001,0.7000000000000001,152,0.6393485411139249,0.5723684210526315
calendar_assumed_replay,00:15,1,currency,UZS,0.7000000000000001,0.8,14,0.7411106827567705,0.7857142857142857
calendar_assumed_replay,06:00,1,ALL,ALL,0.2,0.30000000000000004,14,0.28811404232553534,0.5
calendar_assumed_replay,06:00,1,ALL,ALL,0.30000000000000004,0.4,378,0.36514947923979446,0.42063492063492064
calendar_assumed_replay,06:00,1,ALL,ALL,0.4,0.5,1487,0.4585342344857199,0.47881640887693344
calendar_assumed_replay,06:00,1,ALL,ALL,0.5,0.6000000000000001,2028,0.5450111162346551,0.5231755424063116
calendar_assumed_replay,06:00,1,ALL,ALL,0.6000000000000001,0.7000000000000001,848,0.6408818551923434,0.6014150943396226
calendar_assumed_replay,06:00,1,ALL,ALL,0.7000000000000001,0.8,75,0.7435587997798236,0.6533333333333333
calendar_assumed_replay,06:00,1,currency,AMD,0.30000000000000004,0.4,67,0.3656326211069134,0.4626865671641791
calendar_assumed_replay,06:00,1,currency,AMD,0.4,0.5,269,0.45811423107824756,0.4721189591078067
calendar_assumed_replay,06:00,1,currency,AMD,0.5,0.6000000000000001,430,0.5471832551676112,0.5651162790697675
calendar_assumed_replay,06:00,1,currency,AMD,0.6000000000000001,0.7000000000000001,185,0.6441513557364608,0.5891891891891892
calendar_assumed_replay,06:00,1,currency,AMD,0.7000000000000001,0.8,15,0.7497501007861673,0.8
calendar_assumed_replay,06:00,1,currency,KGS,0.2,0.30000000000000004,4,0.2890728407148105,0.75
calendar_assumed_replay,06:00,1,currency,KGS,0.30000000000000004,0.4,70,0.36111301662678585,0.37142857142857144
calendar_assumed_replay,06:00,1,currency,KGS,0.4,0.5,320,0.4559797475798235,0.446875
calendar_assumed_replay,06:00,1,currency,KGS,0.5,0.6000000000000001,383,0.5439351451744101,0.5143603133159269
calendar_assumed_replay,06:00,1,currency,KGS,0.6000000000000001,0.7000000000000001,177,0.6416972201277718,0.6271186440677966
calendar_assumed_replay,06:00,1,currency,KGS,0.7000000000000001,0.8,12,0.7556071580264997,0.75
calendar_assumed_replay,06:00,1,currency,KZT,0.2,0.30000000000000004,1,0.2740923834224877,1.0
calendar_assumed_replay,06:00,1,currency,KZT,0.30000000000000004,0.4,102,0.3687056364609424,0.4019607843137255
calendar_assumed_replay,06:00,1,currency,KZT,0.4,0.5,291,0.46099488057208826,0.5429553264604811
calendar_assumed_replay,06:00,1,currency,KZT,0.5,0.6000000000000001,430,0.5422594403073984,0.4441860465116279
calendar_assumed_replay,06:00,1,currency,KZT,0.6000000000000001,0.7000000000000001,126,0.6402700433124658,0.6587301587301587
calendar_assumed_replay,06:00,1,currency,KZT,0.7000000000000001,0.8,16,0.7267473613297699,0.3125
calendar_assumed_replay,06:00,1,currency,TJS,0.2,0.30000000000000004,5,0.2870213181374014,0.6
calendar_assumed_replay,06:00,1,currency,TJS,0.30000000000000004,0.4,58,0.36692297369589594,0.4827586206896552
calendar_assumed_replay,06:00,1,currency,TJS,0.4,0.5,266,0.4579064138288371,0.46616541353383456
calendar_assumed_replay,06:00,1,currency,TJS,0.5,0.6000000000000001,411,0.5461189222293408,0.5352798053527981
