clock,year,rows,physical_cny_share,physical_cny_rows
perp_0900,2022,1235,0.0,0
perp_0900,2023,1235,0.25101214574898784,310
perp_0900,2024,1240,0.29838709677419356,370
perp_0900,2025,1235,0.7489878542510121,925
perp_0900,2026,810,0.7839506172839507,635
perp_1000,2022,1235,0.2550607287449393,315
perp_1000,2023,1235,0.7854251012145749,970
perp_1000,2024,1240,0.7741935483870968,960
perp_1000,2025,1235,0.7935222672064778,980
perp_1000,2026,810,0.8209876543209876,665
