clock,candidate,period,h,currency,year,bin_left,bin_right,n,predicted,actual
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.0,0.1,41,0.050245076482559284,0.024390243902439025
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.1,0.2,54,0.1514555963250474,0.2222222222222222
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.2,0.30000000000000004,56,0.2434478641146758,0.3392857142857143
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.30000000000000004,0.4,88,0.3596607390753382,0.5
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.4,0.5,211,0.4613741545024807,0.6113744075829384
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.5,0.6000000000000001,422,0.5498781867497599,0.5071090047393365
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.6000000000000001,0.7000000000000001,269,0.6425972900110993,0.6245353159851301
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.7000000000000001,0.8,36,0.7434030103260629,0.6944444444444444
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.8,0.9,36,0.852187906401355,1.0
perp_0900,perp_basis_rank,screen_2024,1,ALL,ALL,0.9,1.0,27,0.9503691914650858,0.9629629629629629
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.0,0.1,180,0.04040922791696079,0.08888888888888889
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.1,0.2,140,0.14807891506149515,0.2642857142857143
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.2,0.30000000000000004,162,0.24840842646700018,0.345679012345679
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.30000000000000004,0.4,207,0.3538156788213555,0.41545893719806765
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.4,0.5,347,0.4535830832916128,0.42939481268011526
perp_0900,perp_basis_rank,opened_2025_2026,1,ALL,ALL,0.5,0.6000000000000001,342,0.5437896242816106,0.49415204678362573
