clock,h,origin,n_train,n_query,model_fit,last_target_maturity,n_positive
perp_0900,1,2023-07-01,0,165,False,,
perp_0900,1,2023-10-01,165,145,False,,
perp_0900,1,2024-01-01,305,220,False,,
perp_0900,1,2024-04-01,525,150,True,2024-03-29,269.0
perp_0900,1,2025-01-01,680,180,True,2024-06-12,343.0
perp_0900,1,2025-04-01,860,235,True,2025-03-29,412.0
perp_0900,1,2025-07-01,1095,265,True,2025-06-28,516.0
perp_0900,1,2025-10-01,1355,245,True,2025-09-27,677.0
perp_0900,1,2026-01-01,1600,205,True,2025-12-27,771.0
perp_0900,1,2026-04-01,1805,245,True,2026-03-28,882.0
perp_0900,1,2026-07-01,2050,185,True,2026-06-27,1002.0
perp_0900,3,2023-07-01,0,165,False,,
perp_0900,3,2023-10-01,165,145,False,,
perp_0900,3,2024-01-01,300,220,False,,
perp_0900,3,2024-04-01,515,150,True,2024-03-29,207.0
perp_0900,3,2025-01-01,680,180,True,2024-06-15,260.0
perp_0900,3,2025-04-01,850,235,True,2025-03-29,292.0
perp_0900,3,2025-07-01,1085,265,True,2025-06-28,345.0
perp_0900,3,2025-10-01,1345,245,True,2025-09-27,470.0
perp_0900,3,2026-01-01,1590,205,True,2025-12-27,529.0
perp_0900,3,2026-04-01,1795,245,True,2026-03-28,603.0
perp_0900,3,2026-07-01,2040,185,True,2026-06-27,682.0
perp_0900,5,2023-07-01,0,165,False,,
perp_0900,5,2023-10-01,165,145,False,,
perp_0900,5,2024-01-01,295,220,False,,
perp_0900,5,2024-04-01,510,150,True,2024-03-29,178.0
perp_0900,5,2025-01-01,680,180,True,2024-06-19,212.0
perp_0900,5,2025-04-01,840,235,True,2025-03-28,239.0
perp_0900,5,2025-07-01,1075,265,True,2025-06-27,277.0
perp_0900,5,2025-10-01,1335,245,True,2025-09-26,381.0
perp_0900,5,2026-01-01,1580,205,True,2025-12-26,433.0
perp_0900,5,2026-04-01,1785,245,True,2026-03-27,496.0
perp_0900,5,2026-07-01,2030,185,True,2026-06-26,551.0
perp_0900,10,2023-07-01,0,165,False,,
perp_0900,10,2023-10-01,165,145,False,,
perp_0900,10,2024-01-01,280,220,False,,
perp_0900,10,2024-04-01,490,150,False,,
perp_0900,10,2025-01-01,680,180,True,2024-06-26,150.0
perp_0900,10,2025-04-01,820,235,True,2025-03-28,158.0
perp_0900,10,2025-07-01,1055,265,True,2025-06-27,186.0
perp_0900,10,2025-10-01,1315,245,True,2025-09-26,268.0
perp_0900,10,2026-01-01,1560,205,True,2025-12-26,304.0
perp_0900,10,2026-04-01,1765,245,True,2026-03-27,354.0
perp_0900,10,2026-07-01,2010,185,True,2026-06-26,383.0
perp_0900,20,2023-07-01,0,165,False,,
perp_0900,20,2023-10-01,135,145,False,,
perp_0900,20,2024-01-01,245,220,False,,
perp_0900,20,2024-04-01,455,150,False,,
perp_0900,20,2025-01-01,680,180,True,2024-07-10,102.0
perp_0900,20,2025-04-01,780,235,True,2025-03-28,102.0
perp_0900,20,2025-07-01,1020,265,True,2025-06-28,114.0
perp_0900,20,2025-10-01,1275,245,True,2025-09-26,169.0
perp_0900,20,2026-01-01,1520,205,True,2025-12-26,195.0
perp_0900,20,2026-04-01,1730,245,True,2026-03-28,221.0
perp_0900,20,2026-07-01,1975,185,True,2026-06-27,255.0
perp_1000,1,2023-01-01,305,220,False,,
perp_1000,1,2023-04-01,520,240,True,2023-03-29,297.0
perp_1000,1,2023-07-01,760,255,True,2023-06-28,429.0
perp_1000,1,2023-10-01,1020,255,True,2023-09-28,580.0
perp_1000,1,2024-01-01,1280,225,True,2023-12-29,696.0
perp_1000,1,2024-04-01,1505,230,True,2024-03-29,825.0
perp_1000,1,2024-07-01,1735,250,True,2024-06-28,940.0
perp_1000,1,2024-10-01,1990,255,True,2024-09-28,1083.0
perp_1000,1,2025-01-01,2245,225,True,2024-12-29,1224.0
perp_1000,1,2025-04-01,2470,235,True,2025-03-29,1308.0
perp_1000,1,2025-07-01,2705,265,True,2025-06-28,1412.0
perp_1000,1,2025-10-01,2965,255,True,2025-09-27,1573.0
perp_1000,1,2026-01-01,3220,215,True,2025-12-27,1675.0
perp_1000,1,2026-04-01,3435,245,True,2026-03-28,1792.0
perp_1000,1,2026-07-01,3680,205,True,2026-06-27,1912.0
perp_1000,3,2023-01-01,295,220,False,,
perp_1000,3,2023-04-01,515,240,True,2023-03-29,212.0
perp_1000,3,2023-07-01,755,255,True,2023-06-28,307.0
perp_1000,3,2023-10-01,1010,255,True,2023-09-27,429.0
perp_1000,3,2024-01-01,1270,225,True,2023-12-29,519.0
perp_1000,3,2024-04-01,1495,230,True,2024-03-29,618.0
perp_1000,3,2024-07-01,1725,250,True,2024-06-28,684.0
perp_1000,3,2024-10-01,1980,255,True,2024-09-28,789.0
perp_1000,3,2025-01-01,2235,225,True,2024-12-29,891.0
perp_1000,3,2025-04-01,2460,235,True,2025-03-29,934.0
perp_1000,3,2025-07-01,2695,265,True,2025-06-28,987.0
