period,clock,candidate,h,block_dates,n_dates,mean_brier_delta,ci_low,ci_high,probability_candidate_better
screen_2024,perp_0900,perp_basis_rank,1,20,248,-0.01834586133436096,-0.03498923356011726,-0.004894102548681036,0.995
screen_2024,perp_0900,perp_basis_rank,1,50,248,-0.01834586133436096,-0.03640882912715883,-0.003231080408503798,0.993
screen_2024,perp_0900,perp_open_rank,1,20,248,0.005508241880046513,-0.0006303920928491235,0.013626878550846083,0.046
screen_2024,perp_0900,perp_open_rank,1,50,248,0.005508241880046513,-0.00012864733488686072,0.014880592811752174,0.036
screen_2024,perp_0900,perp_hybrid_hgb,1,20,248,0.00018754908329365267,-0.003489459763396099,0.00307488745158421,0.415
screen_2024,perp_0900,perp_hybrid_hgb,1,50,248,0.00018754908329365267,-0.0015315407860939639,0.0019701586923363073,0.388
screen_2024,perp_0900,perp_basis_rank,3,20,248,-0.013999896764654313,-0.028917353020722375,-0.002203214422663189,0.993
screen_2024,perp_0900,perp_basis_rank,3,50,248,-0.013999896764654313,-0.03034259458099427,-3.8582050869998925e-05,0.975
screen_2024,perp_0900,perp_open_rank,3,20,248,0.0005815446918255971,-0.007456313852473989,0.009105655145648596,0.436
screen_2024,perp_0900,perp_open_rank,3,50,248,0.0005815446918255971,-0.005831434439643338,0.00784531814952877,0.482
screen_2024,perp_0900,perp_hybrid_hgb,3,20,248,0.0026748042371228667,-6.971781196219764e-05,0.007271632960315184,0.043
screen_2024,perp_0900,perp_hybrid_hgb,3,50,248,0.0026748042371228667,-2.3760030781879225e-05,0.0075050934411766265,0.035
screen_2024,perp_0900,perp_basis_rank,5,20,248,-0.010172492488543525,-0.027018370569331516,0.0016322136261330215,0.943
screen_2024,perp_0900,perp_basis_rank,5,50,248,-0.010172492488543525,-0.026005112653178137,0.0019758780177986032,0.924
screen_2024,perp_0900,perp_open_rank,5,20,248,-0.0003768173060361979,-0.012380179240316019,0.011711013681136261,0.528
screen_2024,perp_0900,perp_open_rank,5,50,248,-0.0003768173060361979,-0.010211262499674944,0.009879858758963007,0.516
screen_2024,perp_0900,perp_hybrid_hgb,5,20,248,0.008494705396864696,1.7650120250922672e-05,0.020030096207142425,0.006
screen_2024,perp_0900,perp_hybrid_hgb,5,50,248,0.008494705396864696,0.0,0.02256188537043712,0.015
screen_2024,perp_0900,perp_basis_rank,10,20,248,0.0012840265552442162,-0.009083264697038946,0.014694129189531403,0.472
screen_2024,perp_0900,perp_basis_rank,10,50,248,0.0012840265552442162,-0.007396786449390219,0.011640710504441924,0.458
screen_2024,perp_0900,perp_open_rank,10,20,248,0.003996236682907577,-0.006510765045283149,0.018387821335639435,0.288
screen_2024,perp_0900,perp_open_rank,10,50,248,0.003996236682907577,-0.004154968666328024,0.016772519120846055,0.264
screen_2024,perp_0900,perp_hybrid_hgb,10,20,248,0.0,0.0,0.0,0.0
screen_2024,perp_0900,perp_hybrid_hgb,10,50,248,0.0,0.0,0.0,0.0
screen_2024,perp_0900,perp_basis_rank,20,20,248,4.810525412454277e-05,-0.010062213308971063,0.012742393036806299,0.525
screen_2024,perp_0900,perp_basis_rank,20,50,248,4.810525412454277e-05,-0.007816223507738794,0.008767285484222025,0.539
screen_2024,perp_0900,perp_open_rank,20,20,248,0.0008542550346971274,-0.009525951203777236,0.012339362596783837,0.465
screen_2024,perp_0900,perp_open_rank,20,50,248,0.0008542550346971274,-0.00653550901381781,0.009846127104352531,0.468
screen_2024,perp_0900,perp_hybrid_hgb,20,20,248,0.0,0.0,0.0,0.0
screen_2024,perp_0900,perp_hybrid_hgb,20,50,248,0.0,0.0,0.0,0.0
screen_2024,perp_1000,perp_basis_rank,1,20,248,0.01636393277095553,-0.014214677895594224,0.0442000445217532,0.148
screen_2024,perp_1000,perp_basis_rank,1,50,248,0.01636393277095553,-0.015733323739118878,0.04013118568801098,0.118
screen_2024,perp_1000,perp_open_rank,1,20,248,0.05155862822948184,0.02999021578853745,0.07392730349891198,0.0
screen_2024,perp_1000,perp_open_rank,1,50,248,0.05155862822948184,0.029786096087160298,0.0758736791393129,0.0
screen_2024,perp_1000,perp_hybrid_hgb,1,20,248,0.017723143534306752,-0.0009216882120049451,0.03923929388446949,0.033
screen_2024,perp_1000,perp_hybrid_hgb,1,50,248,0.017723143534306752,-0.0062685064060293266,0.03963434887498959,0.062
screen_2024,perp_1000,perp_basis_rank,3,20,248,0.007925222949740247,-0.0061346637395492355,0.02350723956920779,0.167
screen_2024,perp_1000,perp_basis_rank,3,50,248,0.007925222949740247,-0.006405553396190011,0.019937127897391726,0.135
screen_2024,perp_1000,perp_open_rank,3,20,248,0.02578125848006924,0.01609828250330603,0.03509065375409054,0.0
screen_2024,perp_1000,perp_open_rank,3,50,248,0.02578125848006924,0.018695184838123786,0.03424629435590276,0.0
