period,clock,candidate,h,block_dates,n_dates,mean_brier_delta,ci_low,ci_high,probability_candidate_better
screen_2024,perp_1000,perp_hybrid_hgb,3,20,248,0.011276871880443198,-0.005768639450756089,0.027799059118695128,0.112
screen_2024,perp_1000,perp_hybrid_hgb,3,50,248,0.011276871880443198,-0.00480266244202911,0.029712466157351333,0.108
screen_2024,perp_1000,perp_basis_rank,5,20,248,0.005409335459157468,-0.010597963325053417,0.020264580220662597,0.253
screen_2024,perp_1000,perp_basis_rank,5,50,248,0.005409335459157468,-0.011053957668422511,0.021649826728888013,0.236
screen_2024,perp_1000,perp_open_rank,5,20,248,0.014311824523190707,0.005961995859027828,0.021959178164333914,0.001
screen_2024,perp_1000,perp_open_rank,5,50,248,0.014311824523190707,0.008098747185302575,0.021788814420402366,0.0
screen_2024,perp_1000,perp_hybrid_hgb,5,20,248,0.0033694838919877913,-0.018912179851403726,0.02284289582279599,0.361
screen_2024,perp_1000,perp_hybrid_hgb,5,50,248,0.0033694838919877913,-0.01754755199934516,0.026025500230980433,0.378
screen_2024,perp_1000,perp_basis_rank,10,20,248,0.004116677289226792,-0.008699530182390123,0.016939275992180248,0.27
screen_2024,perp_1000,perp_basis_rank,10,50,248,0.004116677289226792,-0.00901061963519392,0.016845715619343723,0.285
screen_2024,perp_1000,perp_open_rank,10,20,248,0.006680801544978248,0.0013394748298147026,0.012133365675626936,0.011
screen_2024,perp_1000,perp_open_rank,10,50,248,0.006680801544978248,0.0025613056714584924,0.010413335997154138,0.0
screen_2024,perp_1000,perp_hybrid_hgb,10,20,248,-0.000930957679953487,-0.0177457389194701,0.017974681743888898,0.531
screen_2024,perp_1000,perp_hybrid_hgb,10,50,248,-0.000930957679953487,-0.0231947741950518,0.02149416605958795,0.536
screen_2024,perp_1000,perp_basis_rank,20,20,248,0.006560668116543188,-0.004153429124028649,0.017252966006278733,0.092
screen_2024,perp_1000,perp_basis_rank,20,50,248,0.006560668116543188,-0.004552648692440594,0.018433520080931964,0.14
screen_2024,perp_1000,perp_open_rank,20,20,248,0.0040955356027849174,-0.0005557739299448323,0.008271029964635114,0.048
screen_2024,perp_1000,perp_open_rank,20,50,248,0.0040955356027849174,0.0006273974957821445,0.0074422124740350665,0.008
screen_2024,perp_1000,perp_hybrid_hgb,20,20,248,-0.0013326106589407148,-0.02121136769805768,0.020069925758419555,0.594
screen_2024,perp_1000,perp_hybrid_hgb,20,50,248,-0.0013326106589407148,-0.024796311968614326,0.02669668446571401,0.573
opened_2025_2026,perp_0900,perp_basis_rank,1,20,408,-0.04256497421823878,-0.05660709989752216,-0.027981495457810982,1.0
opened_2025_2026,perp_0900,perp_basis_rank,1,50,408,-0.04256497421823878,-0.05714864263654902,-0.02847568981823983,1.0
opened_2025_2026,perp_0900,perp_open_rank,1,20,408,0.008181751074496582,0.0021387865182209303,0.01471472725840867,0.005
opened_2025_2026,perp_0900,perp_open_rank,1,50,408,0.008181751074496582,0.003187529528540816,0.013045996956862907,0.0
opened_2025_2026,perp_0900,perp_hybrid_hgb,1,20,408,-0.03463775268423125,-0.054316159902170445,-0.015667971463538048,1.0
opened_2025_2026,perp_0900,perp_hybrid_hgb,1,50,408,-0.03463775268423125,-0.05497141647398833,-0.012980690237366747,1.0
opened_2025_2026,perp_0900,perp_basis_rank,3,20,406,-0.02742639732896872,-0.04128791647078133,-0.014641553930765612,1.0
opened_2025_2026,perp_0900,perp_basis_rank,3,50,406,-0.02742639732896872,-0.03952872487322851,-0.015759067615698327,1.0
opened_2025_2026,perp_0900,perp_open_rank,3,20,406,0.006990618308270526,0.0012289779986374616,0.01358122815627291,0.007
opened_2025_2026,perp_0900,perp_open_rank,3,50,406,0.006990618308270526,0.0016809279463877583,0.013071533489625633,0.006
opened_2025_2026,perp_0900,perp_hybrid_hgb,3,20,406,-0.029243935363288787,-0.041383936298658386,-0.01765985452609975,1.0
opened_2025_2026,perp_0900,perp_hybrid_hgb,3,50,406,-0.029243935363288787,-0.04169625441335316,-0.017474996196293363,1.0
opened_2025_2026,perp_0900,perp_basis_rank,5,20,404,-0.018522986810011608,-0.028520655057937903,-0.007795624412148767,1.0
opened_2025_2026,perp_0900,perp_basis_rank,5,50,404,-0.018522986810011608,-0.029088081779075518,-0.007923611411538922,1.0
opened_2025_2026,perp_0900,perp_open_rank,5,20,404,0.003453085920389073,-0.0019620729484238182,0.008604652246299844,0.077
opened_2025_2026,perp_0900,perp_open_rank,5,50,404,0.003453085920389073,-0.001723795888421797,0.00899330541793118,0.103
opened_2025_2026,perp_0900,perp_hybrid_hgb,5,20,404,-0.011320854650367758,-0.019857448586875322,-0.00254723544850164,0.995
opened_2025_2026,perp_0900,perp_hybrid_hgb,5,50,404,-0.011320854650367758,-0.019621302293958014,-0.0016909035824096736,0.989
opened_2025_2026,perp_0900,perp_basis_rank,10,20,399,-0.009722043051468237,-0.016882013981465313,-0.0028589544587991514,0.997
opened_2025_2026,perp_0900,perp_basis_rank,10,50,399,-0.009722043051468237,-0.017417771063321638,-0.0022290211418881027,0.99
opened_2025_2026,perp_0900,perp_open_rank,10,20,399,0.0006962752649481517,-0.003969568287792221,0.005373989873651041,0.404
opened_2025_2026,perp_0900,perp_open_rank,10,50,399,0.0006962752649481517,-0.004314023517171139,0.005927934933675156,0.423
opened_2025_2026,perp_0900,perp_hybrid_hgb,10,20,399,0.007438499269260782,-0.007184673475043348,0.025346880119790072,0.165
opened_2025_2026,perp_0900,perp_hybrid_hgb,10,50,399,0.007438499269260782,-0.009619456862288366,0.029013860688851822,0.237
opened_2025_2026,perp_0900,perp_basis_rank,20,20,389,-0.0007010476831235133,-0.005560528434223384,0.004716023504544593,0.606
opened_2025_2026,perp_0900,perp_basis_rank,20,50,389,-0.0007010476831235133,-0.00603063272849978,0.005645542321717852,0.594
opened_2025_2026,perp_0900,perp_open_rank,20,20,389,-0.0006186810013505713,-0.005403717955657828,0.004559309318233662,0.615
opened_2025_2026,perp_0900,perp_open_rank,20,50,389,-0.0006186810013505713,-0.006388468537095304,0.004983395662282378,0.594
opened_2025_2026,perp_0900,perp_hybrid_hgb,20,20,389,0.02076504539368747,0.0036234274008079244,0.04298160482822659,0.003
opened_2025_2026,perp_0900,perp_hybrid_hgb,20,50,389,0.02076504539368747,0.0009117997925158868,0.04813703128655313,0.015
opened_2025_2026,perp_1000,perp_basis_rank,1,20,408,0.010143363147474532,0.00010173223599485241,0.020842709663331547,0.023
opened_2025_2026,perp_1000,perp_basis_rank,1,50,408,0.010143363147474532,-0.0023305725875811677,0.02223368436597284,0.048
opened_2025_2026,perp_1000,perp_open_rank,1,20,408,0.052126723937219434,0.03668678431031978,0.06847496584742702,0.0
opened_2025_2026,perp_1000,perp_open_rank,1,50,408,0.052126723937219434,0.03513584357895896,0.07266011249296399,0.0
opened_2025_2026,perp_1000,perp_hybrid_hgb,1,20,408,-0.0003609083230822414,-0.009364302027492798,0.009102412444583697,0.496
opened_2025_2026,perp_1000,perp_hybrid_hgb,1,50,408,-0.0003609083230822414,-0.009109292592353673,0.009716364774124872,0.535
opened_2025_2026,perp_1000,perp_basis_rank,3,20,406,0.00874053217984236,0.0012859690434283992,0.016634322501918472,0.012
opened_2025_2026,perp_1000,perp_basis_rank,3,50,406,0.00874053217984236,0.0004109337282209091,0.017092228532937372,0.019
opened_2025_2026,perp_1000,perp_open_rank,3,20,406,0.03290806770827992,0.023022099144193266,0.04441153794246492,0.0
opened_2025_2026,perp_1000,perp_open_rank,3,50,406,0.03290806770827992,0.0232148197414081,0.044088435955644316,0.0
opened_2025_2026,perp_1000,perp_hybrid_hgb,3,20,406,-0.0060251898737271065,-0.014423455366150868,0.0021998455923495524,0.92
opened_2025_2026,perp_1000,perp_hybrid_hgb,3,50,406,-0.0060251898737271065,-0.013401265571335098,0.0007949079579014132,0.949
opened_2025_2026,perp_1000,perp_basis_rank,5,20,404,0.0059239765155805115,0.0008653367613431379,0.010880849066454668,0.015
opened_2025_2026,perp_1000,perp_basis_rank,5,50,404,0.0059239765155805115,-0.0002516276168746792,0.012462289466093863,0.033
opened_2025_2026,perp_1000,perp_open_rank,5,20,404,0.022037484913647785,0.014412601067891113,0.030757276037540842,0.0
opened_2025_2026,perp_1000,perp_open_rank,5,50,404,0.022037484913647785,0.014043133854287891,0.03138623777554774,0.0
opened_2025_2026,perp_1000,perp_hybrid_hgb,5,20,404,0.0002944295816709826,-0.00862766781701815,0.010311727022426038,0.45
opened_2025_2026,perp_1000,perp_hybrid_hgb,5,50,404,0.0002944295816709826,-0.007532653610143013,0.008258080314353596,0.487
opened_2025_2026,perp_1000,perp_basis_rank,10,20,399,0.0041502893833002255,0.0008189074158901532,0.007511354033378771,0.008
opened_2025_2026,perp_1000,perp_basis_rank,10,50,399,0.0041502893833002255,0.00019631220998255925,0.007926675246183413,0.024
opened_2025_2026,perp_1000,perp_open_rank,10,20,399,0.012151428409009794,0.0073596283719275625,0.017387886928461608,0.0
opened_2025_2026,perp_1000,perp_open_rank,10,50,399,0.012151428409009794,0.006789529076331216,0.01810837199159213,0.0
opened_2025_2026,perp_1000,perp_hybrid_hgb,10,20,399,0.005173699185642134,-0.0013741197484436547,0.011763314568755004,0.068
opened_2025_2026,perp_1000,perp_hybrid_hgb,10,50,399,0.005173699185642134,-0.00042915852773758574,0.01067505970264843,0.031
opened_2025_2026,perp_1000,perp_basis_rank,20,20,389,0.003843273463730579,0.002290028510501052,0.005549441797051973,0.0
opened_2025_2026,perp_1000,perp_basis_rank,20,50,389,0.003843273463730579,0.0018815055504760607,0.006398238488278747,0.0
opened_2025_2026,perp_1000,perp_open_rank,20,20,389,0.006156748233069168,0.0036181218423298423,0.009167093126290481,0.0
opened_2025_2026,perp_1000,perp_open_rank,20,50,389,0.006156748233069168,0.0033548972557926556,0.009322921340753536,0.0
opened_2025_2026,perp_1000,perp_hybrid_hgb,20,20,389,0.0055313038016414256,-0.0012555057551303563,0.01287873295424028,0.064
opened_2025_2026,perp_1000,perp_hybrid_hgb,20,50,389,0.0055313038016414256,-0.0013866821808210079,0.013956319843712985,0.086
