clock,candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
perp_0900,perp_basis_rank,1,2023-07-01,0,0,0.5,165,True,0.0,[],,2022-02-24
perp_0900,perp_basis_rank,1,2023-10-01,165,86,0.5229010283550342,145,True,0.09166825073916152,[],2023-09-13,2022-02-24
perp_0900,perp_basis_rank,1,2024-01-01,305,145,0.4739201783384747,220,False,-0.11234309143403563,"[1.5253405442199248, -0.19285472289849398, -0.19164163754745603, 0.07008027608335557, -0.037590778093651925, 0.26767528794934276]",2023-12-29,2022-02-24
perp_0900,perp_basis_rank,1,2024-04-01,525,269,0.5149908395252717,150,False,0.20652309300286242,"[1.559166282228432, -0.05686698579071599, 0.004082448967544417, 0.09928673670293836, 0.03512509286792106, 0.093295997562258]",2024-03-29,2022-02-24
perp_0900,perp_basis_rank,1,2025-01-01,680,343,0.5050065062004716,180,False,0.2574103695242955,"[1.5768112603338282, -0.010611125026375352, -0.1091906637584056, 0.15009910614221444, 0.09757003745168837, 0.0933366576412392]",2024-06-12,2022-02-24
perp_0900,perp_basis_rank,1,2025-04-01,860,412,0.47118623535267695,235,False,0.1370112381464332,"[1.097941674514207, -0.007403347015065613, -0.12473809545191177, 0.018281198084266606, 0.07069117142247416, 0.15974854385556422]",2025-03-29,2022-02-24
perp_0900,perp_basis_rank,1,2025-07-01,1095,516,0.46396266555213916,265,False,-0.025227945724884796,"[0.8952563535539302, 0.17978987927800935, -0.128987013778704, -0.1323731297735501, -0.03194160478149874, 0.09067940975632546]",2025-06-28,2022-02-24
perp_0900,perp_basis_rank,1,2025-10-01,1355,677,0.5037775771179531,245,False,0.060902678465770466,"[0.8586398592259165, 0.18746908478232785, -0.10693210601731522, -0.0595353613337207, 0.011961565486073265, 0.025200924191766654]",2025-09-27,2022-02-24
perp_0900,perp_basis_rank,1,2026-01-01,1600,771,0.4789643172691331,205,False,-0.027235761117462946,"[0.8999391495470719, 0.1443752005987445, -0.07580811189517006, -0.12831275235130188, -0.023668016989747534, 0.05779134909264242]",2025-12-27,2022-02-24
perp_0900,perp_basis_rank,1,2026-04-01,1805,882,0.4891968935131519,245,False,0.01093444935611745,"[0.9260787449427382, 0.1060284804012612, -0.06323937500037939, -0.13032243815415312, 0.02494424125464857, 0.07309573242788656]",2026-03-28,2022-02-24
perp_0900,perp_basis_rank,1,2026-07-01,2050,1002,0.4900434630360084,185,False,-0.017765130769952894,"[0.8902050377298419, 0.10286806724584684, 0.0007433332722444415, -0.1891450693563366, 0.01573489494670835, 0.05288240653563414]",2026-06-27,2022-02-24
perp_0900,perp_open_rank,1,2023-07-01,0,0,0.5,165,True,0.0,[],,2022-02-24
