h,origin,currency,n_train,n_query,model_fit,last_target_maturity,intercept,coefficients
1,2023-01-01,TJS,0,0,False,,,[]
1,2023-01-01,UZS,0,7,False,,,[]
1,2023-01-01,KGS,0,0,False,,,[]
1,2023-01-01,AMD,97,42,False,,,[]
1,2023-01-01,KZT,157,44,True,2022-12-29,-0.46597088642665374,"[0.3648311545462657, 0.3901595296992479, 0.4386353471138817, 0.4474741914677242, 0.16522185554355143, 0.14135726121646003, -0.2937306938660526, 0.0461718536207165, -0.026406400308091393, 0.008497471560926577, 0.0461718536207165, 0.03277677588675804]"
1,2023-04-01,TJS,0,0,False,,,[]
1,2023-04-01,UZS,7,9,False,,,[]
1,2023-04-01,KGS,0,35,False,,,[]
1,2023-04-01,AMD,138,47,False,,,[]
1,2023-04-01,KZT,200,48,True,2023-03-29,-0.2930273430892399,"[0.35476154426953654, 0.34984563258753565, 0.496699385127926, 0.47800630531180993, 0.19457704426031971, 0.12631904311564882, -0.32649654703437, 0.05281122054066058, -0.02110175138505135, 0.006538422814865869, 0.05281122054066058, 0.1251914139699626]"
1,2023-07-01,TJS,0,0,False,,,[]
1,2023-07-01,UZS,16,5,False,,,[]
1,2023-07-01,KGS,32,27,False,,,[]
1,2023-07-01,AMD,185,50,True,2023-06-28,0.3859593244562555,"[0.43611703852164885, 0.6393428061878996, 0.10024817713128069, 0.08033074452876392, -0.03571870334974007, 0.035770124369608525, -0.0627741366563217, -0.013084777279799724, 0.06274280069662536, -0.05924632393922964, -0.013084777279799724, -0.010956603149198805]"
1,2023-07-01,KZT,248,52,True,2023-06-28,-0.182287285755459,"[0.358046754429157, 0.38737851420132435, 0.5402551936022986, 0.483032813463888, 0.2635188442237839, 0.09397831197842452, -0.3510933171098104, 0.0655013538235989, -0.02016567724466707, 0.005640878315116716, 0.0655013538235989, 0.06833340661576262]"
1,2023-10-01,TJS,0,0,False,,,[]
1,2023-10-01,UZS,21,1,False,,,[]
1,2023-10-01,KGS,60,17,False,,,[]
1,2023-10-01,AMD,236,50,True,2023-09-28,0.45515834032225916,"[0.4881416384605077, 0.7272731234078977, 0.11948691474225126, 0.09848148718235464, -0.030561664157406295, 0.0392700953396396, -0.08421370577446481, -0.010166263103254773, 0.05278702920764997, -0.06313505593079816, -0.010166263103254773, -0.0399909544310688]"
