h,period,block_dates,n_dates,point_brier_delta,ci_low,ci_high,p_improvement
1,screen_2023,20,247,-0.00536094901412463,-0.006958606654150789,-0.003814491245246038,1.0
1,screen_2023,50,247,-0.00536094901412463,-0.006987800969496973,-0.003912951203809967,1.0
1,validation_2024,20,248,-0.0055642411635142466,-0.009625509942486838,-0.0021746702570596926,0.9995
1,validation_2024,50,248,-0.0055642411635142466,-0.009886929033709241,-0.0021301562640117285,1.0
3,screen_2023,20,247,-0.005786983111904612,-0.007835551920233079,-0.003827698744142172,1.0
3,screen_2023,50,247,-0.005786983111904612,-0.007636319003259702,-0.0039678200710653805,1.0
3,validation_2024,20,248,-0.0057078456322530195,-0.009132474832867228,-0.0026153448363590267,1.0
3,validation_2024,50,248,-0.0057078456322530195,-0.008909545214009098,-0.0025324826662765014,1.0
5,screen_2023,20,247,-0.005166041640772824,-0.008084898051005525,-0.002345811931950242,1.0
5,screen_2023,50,247,-0.005166041640772824,-0.007883378263795263,-0.0021899996650603685,0.9995
5,validation_2024,20,248,-0.0035504086491941096,-0.006157805437379124,-0.0010473826577914998,0.9965
5,validation_2024,50,248,-0.0035504086491941096,-0.005915971007921599,-0.001203768177406421,0.998
10,screen_2023,20,247,-0.0008127289863942967,-0.0036590730532377633,0.0022431183664159394,0.7005
10,screen_2023,50,247,-0.0008127289863942967,-0.004019181461973611,0.003014743614939746,0.6755
10,validation_2024,20,248,-0.0027079138822032954,-0.00491625295404858,-0.0006239363574594139,0.9975
10,validation_2024,50,248,-0.0027079138822032954,-0.004850937274194915,-0.0007340430168203771,0.9965
20,screen_2023,20,247,0.0036348163926346426,0.00012301788328660822,0.00763927060130608,0.0205
20,screen_2023,50,247,0.0036348163926346426,-0.0006928926475079889,0.00832671096835188,0.054
20,validation_2024,20,248,-0.002025090247486845,-0.003502670556301819,-0.0006110858273342946,0.9985
20,validation_2024,50,248,-0.002025090247486845,-0.003059823957982331,-0.0009307016859180139,0.9995
3,open_2025,20,247,0.005177186311924263,-0.0006110029427729667,0.011470497567463659,0.0415
3,open_2025,50,247,0.005177186311924263,0.00011567733384296506,0.010745708511048321,0.023
3,open_2026,20,159,-6.603817323729984e-06,-0.0012634432403760972,0.001401248275518839,0.5055
3,open_2026,50,159,-6.603817323729984e-06,-0.001111471637495067,0.0010884286376210718,0.5035
3,open_2025_2026,20,406,0.0031470813105685218,-0.00040259629836093667,0.007296057780894868,0.045
3,open_2025_2026,50,406,0.0031470813105685218,-0.00018842316475859257,0.007030036428585534,0.0365
