h,period,slice,group,n,brier_candidate,brier_baseline,brier_delta,logloss_candidate,logloss_baseline,logloss_delta,auc_candidate,auc_baseline,auc_delta,ap_candidate,ap_baseline,ece_candidate,ece_baseline,ece_delta
1,screen_2023,all,ALL,1235,0.17063348656692748,0.17599443558105213,-0.00536094901412465,0.5192797145858313,0.5307287580024627,-0.011449043416631333,0.8509304336685671,0.8316811863429633,0.019249247325603847,0.8749817326097001,0.8599751854714235,0.12923112831652864,0.11968321619090806,0.009547912125620575
1,screen_2023,active_local,ALL,295,0.14799189906346416,0.17043519408869776,-0.022443295025233595,0.4669553083231314,0.5148860494063167,-0.047930741083185235,0.8954708644020988,0.8351054036638128,0.06036546073828597,0.8922681151430513,0.836323810419024,0.1156820355824928,0.08928938023656777,0.02639265534592504
1,screen_2023,active_currency,TJS,0,,,,,,,,,,,,,,
1,screen_2023,active_currency,UZS,0,,,,,,,,,,,,,,
1,screen_2023,active_currency,KGS,0,,,,,,,,,,,,,,
1,screen_2023,active_currency,AMD,100,0.1433484717897294,0.14122927945614422,0.0021191923335851792,0.4573131766548267,0.44879189958913374,0.008521277065692945,0.8972300281011643,0.8892011240465677,0.008028904054596553,0.8731555337937457,0.8684884053502891,0.12224968097572406,0.10901255928144953,0.013237121694274531
1,screen_2023,active_currency,KZT,195,0.1503731438192256,0.185412586207956,-0.03503944238873041,0.47189999122995424,0.5487804852100003,-0.0768804939800461,0.902374390502438,0.8096777612889547,0.0926966292134832,0.9160443527137375,0.8336250274811388,0.12221111061901954,0.09794884184291075,0.024262268776108792
1,validation_2024,all,ALL,1240,0.17835484845881927,0.18391908962233353,-0.005564241163514255,0.5340157188818083,0.545829573436336,-0.011813854554527659,0.8116277484770005,0.7984895827872204,0.013138165689780101,0.8262699053120196,0.8112649831599537,0.0625154383264118,0.07630047593070922,-0.013785037604297418
1,validation_2024,active_local,ALL,390,0.15580354715659483,0.1734949805995632,-0.017691433442968363,0.4845530923375399,0.5221150914339869,-0.03756199909644703,0.8571428571428572,0.8234229712595097,0.03371988588334751,0.8682840846514172,0.82392423159853,0.08510062437358025,0.09120538616444814,-0.006104761790867885
1,validation_2024,active_currency,TJS,0,,,,,,,,,,,,,,
1,validation_2024,active_currency,UZS,0,,,,,,,,,,,,,,
1,validation_2024,active_currency,KGS,0,,,,,,,,,,,,,,
1,validation_2024,active_currency,AMD,195,0.15973465427228284,0.16468055447005844,-0.0049459001977756045,0.48910919852636053,0.5036461629839822,-0.014536964457621704,0.8487700534759358,0.8388235294117647,0.00994652406417107,0.8667158200980378,0.8487279722007313,0.0767996758068456,0.11120483824436402,-0.03440516243751841
1,validation_2024,active_currency,KZT,195,0.15187244004090678,0.18230940672906792,-0.03043696668816115,0.4799969861487194,0.5405840198839915,-0.06058703373527213,0.868083315800547,0.8092257521565328,0.05885756364401418,0.8764909899721931,0.7999062997380616,0.12063164315064771,0.08382092786714997,0.03681071528349775
3,screen_2023,all,ALL,1235,0.1959481892727853,0.20173517238468988,-0.005786983111904592,0.5671293260952252,0.5802564018928114,-0.013127075797586207,0.8230154674842186,0.8026165916179648,0.020398875866253774,0.7695681672892342,0.7478611290809697,0.15760936635620532,0.149400619697841,0.008208746658364324
3,screen_2023,active_local,ALL,295,0.15334898142092476,0.17757584292330506,-0.024226861502380292,0.47126757936654884,0.5262233034683086,-0.05495572410175975,0.8826380728554641,0.8116431649040345,0.0709949079514296,0.8100957028472267,0.7178730519631801,0.11450655272919746,0.08485178577219685,0.029654766957000617
3,screen_2023,active_currency,TJS,0,,,,,,,,,,,,,,
3,screen_2023,active_currency,UZS,0,,,,,,,,,,,,,,
3,screen_2023,active_currency,KGS,0,,,,,,,,,,,,,,
3,screen_2023,active_currency,AMD,100,0.14826369845291096,0.1496301722472021,-0.0013664737942911398,0.462605849735405,0.46222870397245325,0.00037714576295172497,0.8729946524064172,0.8607397504456328,0.012254901960784381,0.7814452887056804,0.7513994792521189,0.10814251117261187,0.09818714402237601,0.009955367150235858
3,screen_2023,active_currency,KZT,195,0.15595681884041898,0.19190695609053735,-0.035950137250118364,0.4757094919979047,0.5590410467995165,-0.0833315548016118,0.9030376403257759,0.795674664318732,0.10736297600704392,0.8573488649952492,0.7421792041483174,0.13552261485119244,0.1080493645593379,0.02747325029185453
3,validation_2024,all,ALL,1240,0.1894942658558352,0.19520211148808822,-0.005707845632253017,0.5560552154135645,0.5674265304213153,-0.011371315007750793,0.7741933283121022,0.7585538308718385,0.015639497440263717,0.6559122284786014,0.6410760742589644,0.04943436984329457,0.05724329180390435,-0.007808921960609776
3,validation_2024,active_local,ALL,390,0.16873423429568496,0.18688225630592534,-0.018148022010240378,0.5095070084149188,0.5456619586959727,-0.036154950281053866,0.8251728675009098,0.7756361803980852,0.04953668710282455,0.6944190953820014,0.6417812252411214,0.0652168958649872,0.07010656316287674,-0.004889667297889533
3,validation_2024,active_currency,TJS,0,,,,,,,,,,,,,,
3,validation_2024,active_currency,UZS,0,,,,,,,,,,,,,,
3,validation_2024,active_currency,KGS,0,,,,,,,,,,,,,,
3,validation_2024,active_currency,AMD,195,0.17711529240119017,0.17991054418768898,-0.002795251786498809,0.5263266301973912,0.532650644619402,-0.006324014422010804,0.8122826086956522,0.8040217391304348,0.008260869565217321,0.7216251572302286,0.7060231305036024,0.06398037187043389,0.08344956176410659,-0.019469189893672703
3,validation_2024,active_currency,KZT,195,0.16035317619017975,0.1938539684241617,-0.033500792233981946,0.4926873866324462,0.5586732727725432,-0.06598588614009698,0.8425839552238805,0.7488922574626866,0.0936916977611939,0.6859258516559102,0.5749272632073521,0.09787146878323849,0.0957752664111941,0.0020962023720443868
5,screen_2023,all,ALL,1235,0.2001691825990717,0.20533522423984457,-0.0051660416407728615,0.5746094105087134,0.5863073158031527,-0.01169790529443926,0.791530045503212,0.7769812856887937,0.014548759814418388,0.6619487741010083,0.6393459807516878,0.142378485719393,0.14634368713945914,-0.00396520142006615
5,screen_2023,active_local,ALL,295,0.1552651855978038,0.17689251246680188,-0.02162732686899807,0.4733793126311585,0.5223518992027939,-0.04897258657163539,0.8509473684210527,0.7852894736842105,0.06565789473684214,0.714189003816613,0.6087233731457435,0.11276519038936465,0.08841355089071493,0.024351639498649727
5,screen_2023,active_currency,TJS,0,,,,,,,,,,,,,,
5,screen_2023,active_currency,UZS,0,,,,,,,,,,,,,,
5,screen_2023,active_currency,KGS,0,,,,,,,,,,,,,,
