h,period,slice,group,n,brier_candidate,brier_baseline,brier_delta,logloss_candidate,logloss_baseline,logloss_delta,auc_candidate,auc_baseline,auc_delta,ap_candidate,ap_baseline,ece_candidate,ece_baseline,ece_delta
5,screen_2023,active_currency,AMD,100,0.14953306344332085,0.14887493751180428,0.0006581259315165677,0.4646734979251596,0.45905816242127195,0.005615335503887653,0.8356164383561644,0.8333333333333333,0.0022831050228311334,0.6698914193217971,0.6246234429695336,0.12401312698829604,0.12415771394959098,-0.00014458696129493465
5,screen_2023,active_currency,KZT,195,0.15820473542061556,0.19126049962321093,-0.03305576420259537,0.4778438329932092,0.5548102257574206,-0.07696639276421136,0.8756368689207967,0.7838119499768412,0.0918249189439555,0.7737178232648744,0.6547299288564701,0.14728688608938623,0.12478051227287568,0.02250637381651055
5,validation_2024,all,ALL,1240,0.19175251545954125,0.19530292410873534,-0.0035504086491940923,0.5734285701733876,0.5861116093575448,-0.012683039184157252,0.7482826984962165,0.734608240140233,0.013674458355983576,0.5427100629458865,0.5284987933453184,0.0597710114604003,0.06587134781187408,-0.0061003363514737785
5,validation_2024,active_local,ALL,390,0.17402529063262145,0.1853137694146745,-0.011288478782053052,0.5258873872137116,0.5662129476966731,-0.04032556048296143,0.787397462287628,0.7469507511751513,0.04044671111247666,0.54373917713417,0.5032646223440435,0.0647925669265852,0.07737431231781351,-0.012581745391228319
5,validation_2024,active_currency,TJS,0,,,,,,,,,,,,,,
5,validation_2024,active_currency,UZS,0,,,,,,,,,,,,,,
5,validation_2024,active_currency,KGS,0,,,,,,,,,,,,,,
5,validation_2024,active_currency,AMD,195,0.18578898082781514,0.18734366132340163,-0.0015546804955864912,0.5527434540902239,0.5728160930765855,-0.02007263898636169,0.7767484946734599,0.7718272348309402,0.004921259842519676,0.5786751106546957,0.5678602874829486,0.08102996772260752,0.101647100864045,-0.020617133141437483
5,validation_2024,active_currency,KZT,195,0.16226160043742774,0.1832838775059474,-0.021022277068519668,0.4990313203371994,0.5596098023167605,-0.060578481979561116,0.797634865798565,0.7155195322880681,0.08211533351049694,0.518203703526299,0.4309477504315753,0.08271153113912726,0.0897260020366226,-0.007014470897495351
10,screen_2023,all,ALL,1235,0.19700604675645964,0.19781877574285392,-0.0008127289863942844,0.5709127785952186,0.5735817412694899,-0.0026689626742713024,0.6981566820276498,0.694345735129773,0.0038109468978767547,0.42248600937178826,0.42101395592629215,0.08577893540155526,0.08729909118572655,-0.0015201557841712926
10,screen_2023,active_local,ALL,295,0.16472130525126458,0.16812374694006785,-0.0034024416888032705,0.4939871425983703,0.505160596505913,-0.011173453907542763,0.7315555555555555,0.6950158730158731,0.03653968253968243,0.38860543280208887,0.3600266325568243,0.05944033802171626,0.0406365622934701,0.01880377572824616
10,screen_2023,active_currency,TJS,0,,,,,,,,,,,,,,
10,screen_2023,active_currency,UZS,0,,,,,,,,,,,,,,
10,screen_2023,active_currency,KGS,0,,,,,,,,,,,,,,
10,screen_2023,active_currency,AMD,100,0.1560854093520991,0.14130193343928135,0.014783475912817756,0.4779629755021004,0.44135501043924497,0.03660796506285541,0.7168021680216802,0.7506775067750677,-0.03387533875338755,0.32376898349391137,0.34319554512553085,0.14971470219053035,0.10664363348549812,0.04307106870503223
10,screen_2023,active_currency,KZT,195,0.16914996981493924,0.18187852309431732,-0.01272855327937808,0.502204664186201,0.537881409873435,-0.035676745687234,0.7711135018827326,0.7011161915008068,0.0699973103819258,0.4790947210509322,0.4239596672415872,0.07014346854252472,0.08260950528063411,-0.012466036738109393
10,validation_2024,all,ALL,1240,0.1776229563330938,0.18033087021529712,-0.0027079138822033166,0.5324085303587328,0.542833687249741,-0.010425156891008203,0.7387212330306274,0.7259223275303698,0.01279890550025764,0.4396814707623232,0.4264308691061002,0.07145019812802557,0.07806395731619001,-0.006613759188164439
10,validation_2024,active_local,ALL,390,0.15951862623284385,0.16812840370446455,-0.0086097774716207,0.4805695932567083,0.5137162459358114,-0.03314665267910316,0.7920394185071289,0.7476761252446185,0.04436329326251043,0.46414714587044803,0.4235702550706909,0.09511390512918948,0.09323683879262208,0.0018770663365673956
10,validation_2024,active_currency,TJS,0,,,,,,,,,,,,,,
10,validation_2024,active_currency,UZS,0,,,,,,,,,,,,,,
10,validation_2024,active_currency,KGS,0,,,,,,,,,,,,,,
10,validation_2024,active_currency,AMD,195,0.17445694300632772,0.1774377005092316,-0.0029807575029038857,0.5183509957678974,0.5358201074483797,-0.017469111680482263,0.7710688591983555,0.7622687564234326,0.008800102774922935,0.49970886345204574,0.4768627492540285,0.06657132600858832,0.0879332663450085,-0.02136194033642018
10,validation_2024,active_currency,KZT,195,0.14458030945935996,0.15881910689969758,-0.014238797440337625,0.4427881907455191,0.4916123844232433,-0.04882419367772417,0.817615935262994,0.7230003112356054,0.09461562402738866,0.45169162442203536,0.3664875378655876,0.12365648424979074,0.09854041124023566,0.02511607300955508
20,screen_2023,all,ALL,1235,0.19183385001882167,0.188199033626187,0.00363481639263466,0.5769631569469849,0.5690356199042386,0.007927537042746291,0.5662438561452712,0.5751940537401379,-0.008950197594866705,0.276519753783693,0.2849449957131552,0.0779912197664804,0.06970929127827971,0.008281928488200682
20,screen_2023,active_local,ALL,251,0.14134515180111873,0.12346069664213953,0.0178844551589792,0.43908139492619735,0.4000753859708514,0.03900600895534595,0.7018779342723005,0.714665184086978,-0.012787249814677493,0.2477907875302955,0.24728911059278946,0.10888852033453,0.05450960767823433,0.05437891265629567
20,screen_2023,active_currency,TJS,0,,,,,,,,,,,,,,
20,screen_2023,active_currency,UZS,0,,,,,,,,,,,,,,
20,screen_2023,active_currency,KGS,0,,,,,,,,,,,,,,
20,screen_2023,active_currency,AMD,100,0.16837628848551892,0.13025294557734216,0.03812334290817676,0.5060397710433611,0.4203020302161914,0.08573774082716967,0.5898039215686275,0.6831372549019608,-0.09333333333333327,0.2333889192216233,0.23402233748672097,0.1687445885111064,0.09038843708360686,0.07835615142749955
20,screen_2023,active_currency,KZT,151,0.12344373677833716,0.1189625185393563,0.004481218238980858,0.39473809948436706,0.3866802573315533,0.008057842152813743,0.7703804347826086,0.7376019021739131,0.032778532608695565,0.3047455590981023,0.3113715242799364,0.09144369259952674,0.03923355143528194,0.0522101411642448
20,validation_2024,all,ALL,1240,0.1408338761723697,0.14285896641985654,-0.0020250902474868437,0.44368076907382087,0.45280138081284954,-0.009120611739028672,0.7337916942787718,0.7193590593192978,0.014432634959474,0.3466686605552932,0.3357545742793411,0.036900394553936226,0.039377161598121685,-0.0024767670441854586
20,validation_2024,active_local,ALL,390,0.13445520063797547,0.1408939491171644,-0.006438748479188933,0.4162384708877696,0.4452373389810914,-0.028998868093321806,0.788060212110845,0.7458518645227505,0.04220834758809444,0.3817377964112005,0.35483772786454754,0.07113598396607133,0.06310481014345781,0.008031173822613522
20,validation_2024,active_currency,TJS,0,,,,,,,,,,,,,,
20,validation_2024,active_currency,UZS,0,,,,,,,,,,,,,,
20,validation_2024,active_currency,KGS,0,,,,,,,,,,,,,,
20,validation_2024,active_currency,AMD,195,0.14714841444247467,0.1487620603288376,-0.0016136458863629244,0.4519622479886935,0.46457305782420905,-0.012610809835515546,0.7630662020905923,0.7604529616724739,0.00261324041811839,0.404496799491898,0.40149522310158314,0.07285062998212571,0.07328387159952643,-0.00043324161740071476
20,validation_2024,active_currency,KZT,195,0.12176198683347621,0.1330258379054912,-0.011263851072014983,0.3805146937868457,0.4259016201379737,-0.04538692635112801,0.8163112607557053,0.7275533108866442,0.08875794986906105,0.38405229869957935,0.3151949644951926,0.06942133795001695,0.10720615096511574,-0.037784813015098784
3,open_2025,all,ALL,1235,0.1684709891049109,0.16329380279298664,0.0051771863119242645,0.5039874425723408,0.49083322370056043,0.013154218871780421,0.7747241237060242,0.7870386484639879,-0.012314524757963685,0.5718651836993123,0.6057228210933512,0.06562591150092317,0.0685305536828358,-0.002904642181912623
3,open_2025,active_local,ALL,380,0.16692426443481823,0.15009840892106438,0.016825855513753846,0.4999522279652225,0.457201016631936,0.042751211333286465,0.7922222222222222,0.8235016835016835,-0.03127946127946135,0.5739240822237863,0.6667684170884154,0.06091737598143778,0.05765799675463489,0.0032593792268028887
3,open_2025,active_currency,TJS,0,,,,,,,,,,,,,,
3,open_2025,active_currency,UZS,0,,,,,,,,,,,,,,
3,open_2025,active_currency,KGS,0,,,,,,,,,,,,,,
3,open_2025,active_currency,AMD,189,0.13982599464208972,0.14132749018575766,-0.0015014955436679356,0.433212849331809,0.4386083115424607,-0.005395462210651736,0.8533573806881243,0.8538429522752498,-0.0004855715871254773,0.6991089084270704,0.7015961524224139,0.09247602076271412,0.09730583157106543,-0.004829810808351306
3,open_2025,active_currency,KZT,191,0.19373878271139247,0.1587774855753731,0.034961297136019365,0.5659927649375531,0.4755990337100034,0.09039373122754973,0.7416863053155276,0.806166535742341,-0.06448023042681339,0.5279166889280803,0.6478216636153176,0.0920891774226202,0.06271004644081715,0.029379130981803045
3,open_2026,all,ALL,795,0.15831875933578632,0.15832536315311005,-6.603817323730388e-06,0.4821909471288697,0.4827677017734622,-0.0005767546445925031,0.8485975601749112,0.8467460244507767,0.0018515357241344343,0.793053611296843,0.7894983058165389,0.07864878507343485,0.074589279893253,0.0040595051801818605
3,open_2026,active_local,ALL,230,0.15216209618002907,0.15218492241816975,-2.2826238140677413e-05,0.4712158139591023,0.47320937892628095,-0.0019935649671786737,0.8625187761878409,0.8548501857854376,0.007668590402403308,0.7984976219468478,0.787617188846216,0.0785465895039771,0.06237724642316158,0.016169343080815517
3,open_2026,active_currency,TJS,0,,,,,,,,,,,,,,
3,open_2026,active_currency,UZS,0,,,,,,,,,,,,,,
3,open_2026,active_currency,KGS,0,,,,,,,,,,,,,,
3,open_2026,active_currency,AMD,120,0.12175025273177495,0.12100224670787216,0.0007480060239027919,0.3962199464248519,0.3931793320420702,0.0030406143827817478,0.9192583732057416,0.9168660287081339,0.0023923444976076125,0.8385076050891898,0.8316188238001863,0.10393885810354472,0.09745355221385209,0.006485305889692636
3,open_2026,active_currency,KZT,110,0.18533865266903354,0.1862023868294035,-0.0008637341603699444,0.55302948763283,0.5605148846181472,-0.00748539698531725,0.8098615332657886,0.800405268490375,0.009456264775413614,0.7735885865108005,0.7585779276053092,0.11092370125598126,0.11025496732408181,0.0006687339318994512
3,open_2025_2026,all,ALL,2030,0.16449511587020446,0.16134803455963598,0.0031470813105684836,0.4954513766228041,0.4876745587094062,0.007776817913397904,0.8053776521717232,0.811672676266697,-0.0062950240949738445,0.6651333222459971,0.6873347177536318,0.04566312461072381,0.04695210807052093,-0.0012889834597971175
3,open_2025_2026,active_local,ALL,610,0.1613582009944879,0.150885127124891,0.010473073869596894,0.4891171866186527,0.46323695651341046,0.025880230105242263,0.8187181452152441,0.8351275407802066,-0.01640939556496246,0.6518283794852697,0.7173202811211044,0.05072657007317969,0.036326531414980046,0.014400038658199645
3,open_2025_2026,active_currency,TJS,0,,,,,,,,,,,,,,
3,open_2025_2026,active_currency,UZS,0,,,,,,,,,,,,,,
3,open_2025_2026,active_currency,KGS,0,,,,,,,,,,,,,,
3,open_2025_2026,active_currency,AMD,309,0.13280628904585098,0.13343419174774387,-0.0006279027018928907,0.4188466734456121,0.42096598940638674,-0.002119315960774637,0.8822213577125073,0.8808840692472283,0.0013372884652790296,0.7605217518573885,0.7566076743466944,0.07704772240661666,0.086954451962039,-0.00990672955542235
3,open_2025_2026,active_currency,KZT,301,0.19066896774574638,0.16879987473797559,0.02186909300777079,0.5612553546268572,0.5066314044737769,0.0546239501530803,0.7617629832096837,0.8004441624365481,-0.038681179226864426,0.5885015351410184,0.6884992543397951,0.08652534856398691,0.03116526370795666,0.05536008485603025
