candidate,h,period,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
hold_1630,1,screen_2024,1240,0.5435483870967742,0.18516374193549598,0.5512797343383555,0.05819353629032255,0.8017688815258307,0.8134787480850997,0.18391908962233353,0.545829573436336,0.07630047593070922,0.7984895827872204,0.8112649831599537,0.24839491531858202,0.6899352168983877,0.00812443075359015,0.46695143177695525,0.5217961472065561
hold_1630,1,opened_2025_2026,2040,0.49950980392156863,0.15668235294117897,0.46916126579930906,0.048745100490196036,0.8500652153644899,0.8559022510939902,0.15899002607459722,0.4797134229240525,0.052104585258441416,0.8504314210221271,0.8583795714288843,0.2518641570756579,0.696883465161447,0.019913821336263515,0.41682277664626743,0.4514718622417193
hold_1630,3,screen_2024,1240,0.3919354838709677,0.21847341935485085,0.6448170793486573,0.16083870564516128,0.7648835838491013,0.6454705756975428,0.19520211148808822,0.5674265304213153,0.05724329180390435,0.7585538308718385,0.6410760742589644,0.2392830501191843,0.6716352845980416,0.005865781489780619,0.46238852321227797,0.3828325200904403
hold_1630,3,opened_2025_2026,2030,0.3315270935960591,0.19862589162561822,0.5822863434080751,0.18504433251231528,0.8124243781350566,0.6862275493415503,0.16134803455963598,0.4876745587094062,0.04695210807052093,0.811672676266697,0.6873347177536318,0.2249653726783782,0.6424938526252169,0.03071348430813725,0.3875786878011872,0.27858170182458397
hold_1630,5,screen_2024,1240,0.3379032258064516,0.24010566935485084,0.7495428404346235,0.20680644758064515,0.7393538934706206,0.5354605590459729,0.19530292410873534,0.5861116093575448,0.06587134781187408,0.734608240140233,0.5284987933453184,0.22527923301046798,0.6431770591489561,0.012036064942313796,0.40239070462414134,0.29314021128860046
hold_1630,5,opened_2025_2026,2020,0.26782178217821784,0.2259939405940619,0.6651089431918884,0.24824752227722774,0.7926335299241756,0.5700373861879118,0.15720364877185555,0.4792824281803928,0.05684053868178092,0.7871913505028502,0.5626818311431458,0.19991255683675516,0.59012054291258,0.08966328780792437,0.3781711677596018,0.219138379319801
hold_1630,10,screen_2024,1240,0.2693548387096774,0.26014437903227017,0.815745085574015,0.26109677016129035,0.7320937595008659,0.43298360134279434,0.18033087021529712,0.542833687249741,0.07806395731619001,0.7259223275303698,0.4264308691061002,0.19794789495387147,0.5856248884310514,0.01570740499026213,0.41595451481143675,0.2361482226126602
hold_1630,10,opened_2025_2026,1995,0.2025062656641604,0.25546446115288474,0.7527103928689673,0.31513784210526313,0.778422562557953,0.4456376596736859,0.14030862859806584,0.4379820323040287,0.05565969041417982,0.7610125956027407,0.4268086283050895,0.16533788060745003,0.5145697019324745,0.030088295101817597,0.3323373742151085,0.15463966009602934
hold_1630,20,screen_2024,1240,0.18870967741935485,0.28787341129033467,0.8905180103502923,0.3417419314516129,0.725633379211908,0.3318854316627804,0.14285896641985654,0.45280138081284954,0.039377161598121685,0.7193590593192978,0.3357545742793411,0.15325877439466618,0.4848847799921054,0.044957698164569085,0.49973449898897215,0.2108858022520902
hold_1630,20,opened_2025_2026,1945,0.15115681233933162,0.2797554755784087,0.8320940697104241,0.3618817455012854,0.7496425584164617,0.3123827435686525,0.12049490791633163,0.39053055791802266,0.036014512614330856,0.7155218235083252,0.27961355091862383,0.13182237169831362,0.4368104590380246,0.035002560868110565,0.2803536920522297,0.10957379739670978
hold_1730,1,screen_2024,1240,0.5435483870967742,0.18516374193549598,0.5512797343383555,0.05819353629032255,0.8017688815258307,0.8134787480850997,0.18391908962233353,0.545829573436336,0.07630047593070922,0.7984895827872204,0.8112649831599537,0.24839491531858202,0.6899352168983877,0.00812443075359015,0.46695143177695525,0.5217961472065561
hold_1730,1,opened_2025_2026,2040,0.49950980392156863,0.15668235294117897,0.46916126579930906,0.048745100490196036,0.8500652153644899,0.8559022510939902,0.15899002607459722,0.4797134229240525,0.052104585258441416,0.8504314210221271,0.8583795714288843,0.2518641570756579,0.696883465161447,0.019913821336263515,0.41682277664626743,0.4514718622417193
hold_1730,3,screen_2024,1240,0.3919354838709677,0.21847341935485085,0.6448170793486573,0.16083870564516128,0.7648835838491013,0.6454705756975428,0.19520211148808822,0.5674265304213153,0.05724329180390435,0.7585538308718385,0.6410760742589644,0.2392830501191843,0.6716352845980416,0.005865781489780619,0.46238852321227797,0.3828325200904403
hold_1730,3,opened_2025_2026,2030,0.3315270935960591,0.19862589162561822,0.5822863434080751,0.18504433251231528,0.8124243781350566,0.6862275493415503,0.16134803455963598,0.4876745587094062,0.04695210807052093,0.811672676266697,0.6873347177536318,0.2249653726783782,0.6424938526252169,0.03071348430813725,0.3875786878011872,0.27858170182458397
hold_1730,5,screen_2024,1240,0.3379032258064516,0.24010566935485084,0.7495428404346235,0.20680644758064515,0.7393538934706206,0.5354605590459729,0.19530292410873534,0.5861116093575448,0.06587134781187408,0.734608240140233,0.5284987933453184,0.22527923301046798,0.6431770591489561,0.012036064942313796,0.40239070462414134,0.29314021128860046
hold_1730,5,opened_2025_2026,2020,0.26782178217821784,0.2259939405940619,0.6651089431918884,0.24824752227722774,0.7926335299241756,0.5700373861879118,0.15720364877185555,0.4792824281803928,0.05684053868178092,0.7871913505028502,0.5626818311431458,0.19991255683675516,0.59012054291258,0.08966328780792437,0.3781711677596018,0.219138379319801
hold_1730,10,screen_2024,1240,0.2693548387096774,0.26014437903227017,0.815745085574015,0.26109677016129035,0.7320937595008659,0.43298360134279434,0.18033087021529712,0.542833687249741,0.07806395731619001,0.7259223275303698,0.4264308691061002,0.19794789495387147,0.5856248884310514,0.01570740499026213,0.41595451481143675,0.2361482226126602
