candidate,period,h,currency,year,bin_left,bin_right,n,predicted,actual
hold_1630,screen_2024,1,ALL,ALL,0.0,0.1,61,0.0499363461840947,0.14754098360655737
hold_1630,screen_2024,1,ALL,ALL,0.1,0.2,98,0.1505466793840699,0.061224489795918366
hold_1630,screen_2024,1,ALL,ALL,0.2,0.30000000000000004,137,0.25759329744266635,0.17518248175182483
hold_1630,screen_2024,1,ALL,ALL,0.30000000000000004,0.4,135,0.3422537287147851,0.5185185185185185
hold_1630,screen_2024,1,ALL,ALL,0.4,0.5,9,0.4131220939219855,0.7777777777777778
hold_1630,screen_2024,1,ALL,ALL,0.5,0.6000000000000001,303,0.5663223404273634,0.5313531353135313
hold_1630,screen_2024,1,ALL,ALL,0.6000000000000001,0.7000000000000001,143,0.6474306366706349,0.7202797202797203
hold_1630,screen_2024,1,ALL,ALL,0.7000000000000001,0.8,157,0.7478070079309318,0.8152866242038217
hold_1630,screen_2024,1,ALL,ALL,0.8,0.9,117,0.8533120756714708,0.7777777777777778
hold_1630,screen_2024,1,ALL,ALL,0.9,1.0,80,0.9511537806227851,0.9375
hold_1630,opened_2025_2026,1,ALL,ALL,0.0,0.1,127,0.05719286534945944,0.007874015748031496
hold_1630,opened_2025_2026,1,ALL,ALL,0.1,0.2,180,0.1544710305066341,0.08333333333333333
hold_1630,opened_2025_2026,1,ALL,ALL,0.2,0.30000000000000004,247,0.2527419771201471,0.18218623481781376
hold_1630,opened_2025_2026,1,ALL,ALL,0.30000000000000004,0.4,219,0.3468153263510876,0.3150684931506849
hold_1630,opened_2025_2026,1,ALL,ALL,0.4,0.5,57,0.4222109154888643,0.40350877192982454
hold_1630,opened_2025_2026,1,ALL,ALL,0.5,0.6000000000000001,373,0.5727810609972118,0.5442359249329759
hold_1630,opened_2025_2026,1,ALL,ALL,0.6000000000000001,0.7000000000000001,340,0.6380028701983187,0.6
hold_1630,opened_2025_2026,1,ALL,ALL,0.7000000000000001,0.8,159,0.7434933045330655,0.8301886792452831
hold_1630,opened_2025_2026,1,ALL,ALL,0.8,0.9,174,0.8531958221187734,0.9482758620689655
hold_1630,opened_2025_2026,1,ALL,ALL,0.9,1.0,164,0.9397413147301779,0.9878048780487805
hold_1630,screen_2024,3,ALL,ALL,0.0,0.1,125,0.05952910960577335,0.032
hold_1630,screen_2024,3,ALL,ALL,0.1,0.2,223,0.1565908835492586,0.13452914798206278
hold_1630,screen_2024,3,ALL,ALL,0.2,0.30000000000000004,92,0.22543702803575844,0.3804347826086957
hold_1630,screen_2024,3,ALL,ALL,0.30000000000000004,0.4,301,0.3686243420587622,0.3920265780730897
hold_1630,screen_2024,3,ALL,ALL,0.4,0.5,155,0.44423193764789504,0.4967741935483871
hold_1630,screen_2024,3,ALL,ALL,0.5,0.6000000000000001,129,0.547069511635403,0.6434108527131783
hold_1630,screen_2024,3,ALL,ALL,0.6000000000000001,0.7000000000000001,97,0.647427217441333,0.5154639175257731
hold_1630,screen_2024,3,ALL,ALL,0.7000000000000001,0.8,53,0.7453017642691508,0.7358490566037735
hold_1630,screen_2024,3,ALL,ALL,0.8,0.9,45,0.8484769596181371,0.7777777777777778
hold_1630,screen_2024,3,ALL,ALL,0.9,1.0,20,0.9630965099556246,0.75
hold_1630,opened_2025_2026,3,ALL,ALL,0.0,0.1,214,0.05839329534056606,0.018691588785046728
hold_1630,opened_2025_2026,3,ALL,ALL,0.1,0.2,418,0.1510871103350196,0.0861244019138756
hold_1630,opened_2025_2026,3,ALL,ALL,0.2,0.30000000000000004,200,0.23330672895489576,0.165
hold_1630,opened_2025_2026,3,ALL,ALL,0.30000000000000004,0.4,464,0.36390052836878634,0.3728448275862069
hold_1630,opened_2025_2026,3,ALL,ALL,0.4,0.5,307,0.44039995878726773,0.3713355048859935
hold_1630,opened_2025_2026,3,ALL,ALL,0.5,0.6000000000000001,113,0.5480439376848852,0.584070796460177
hold_1630,opened_2025_2026,3,ALL,ALL,0.6000000000000001,0.7000000000000001,116,0.6486219518606539,0.7586206896551724
hold_1630,opened_2025_2026,3,ALL,ALL,0.7000000000000001,0.8,118,0.7510402529328747,0.7372881355932204
hold_1630,opened_2025_2026,3,ALL,ALL,0.8,0.9,63,0.8547052393504202,0.873015873015873
hold_1630,opened_2025_2026,3,ALL,ALL,0.9,1.0,17,0.9387820181229523,1.0
hold_1630,screen_2024,5,ALL,ALL,0.0,0.1,126,0.06429688476698944,0.023809523809523808
hold_1630,screen_2024,5,ALL,ALL,0.1,0.2,279,0.1526282622098399,0.13978494623655913
hold_1630,screen_2024,5,ALL,ALL,0.2,0.30000000000000004,145,0.26694217164555795,0.33793103448275863
hold_1630,screen_2024,5,ALL,ALL,0.30000000000000004,0.4,338,0.3351727172231838,0.39644970414201186
hold_1630,screen_2024,5,ALL,ALL,0.4,0.5,152,0.44936096337271125,0.5789473684210527
hold_1630,screen_2024,5,ALL,ALL,0.5,0.6000000000000001,105,0.5432771058293042,0.4095238095238095
hold_1630,screen_2024,5,ALL,ALL,0.6000000000000001,0.7000000000000001,42,0.6530976009604316,0.6666666666666666
hold_1630,screen_2024,5,ALL,ALL,0.7000000000000001,0.8,35,0.745627292464518,0.7142857142857143
hold_1630,screen_2024,5,ALL,ALL,0.8,0.9,8,0.8234103008428703,0.625
