hypothesis,subset,n,share,target_rate,lift,benefit_bps
hazard_freshness,control,560,0.27722772277227725,0.3517857142857143,1.3135067335621864,38.069734342397844
hazard_freshness,challenger,584,0.2891089108910891,0.4332191780821918,1.6175651381257437,60.649782091141205
hazard_freshness,intersection,249,0.12326732673267327,0.43373493975903615,1.6194909026122977,65.21770086605382
hazard_freshness,control_only,311,0.15396039603960396,0.2861736334405145,1.0685226239368564,16.333902624100936
hazard_freshness,challenger_only,335,0.16584158415841585,0.43283582089552236,1.616133748999917,57.25452306143001
hazard_freshness,neither,1125,0.556930693069307,0.1768888888888889,0.6604723762579585,-48.78938927605886
nested_target_increment,control,585,0.2896039603960396,0.42735042735042733,1.595652242602335,60.03036275495048
nested_target_increment,challenger,567,0.2806930693069307,0.4514991181657848,1.685819258216054,67.26353069783659
nested_target_increment,intersection,528,0.2613861386138614,0.45265151515151514,1.6901221083291322,66.33012119591557
nested_target_increment,control_only,57,0.02821782178217822,0.19298245614035087,0.7205629600804228,1.674705617589688
nested_target_increment,challenger_only,39,0.019306930693069307,0.4358974358974359,1.6275652874543816,79.9004593392288
nested_target_increment,neither,1396,0.691089108910891,0.19627507163323782,0.7328570142313131,-37.69529126369651
shadow_increment,control,480,0.2376237623762376,0.4395833333333333,1.6413277880468267,68.8103790884441
shadow_increment,challenger,567,0.2806930693069307,0.4514991181657848,1.685819258216054,67.26353069783659
shadow_increment,intersection,351,0.17376237623762375,0.4843304843304843,1.8084058749493128,92.99332495655715
shadow_increment,control_only,129,0.06386138613861386,0.3178294573643411,1.1867199701958762,3.010270563578338
shadow_increment,challenger_only,216,0.10693069306930693,0.39814814814814814,1.4866160060245086,25.452615027415646
shadow_increment,neither,1324,0.6554455445544555,0.18429003021148035,0.6881069519911096,-39.96638465756747
