candidate,quarter,n_train,first_train,last_resolved,n_features
rocket_expanding,2016-01-01,3340,2013-04-16,2015-12-31,189
rocket_expanding,2016-04-01,3620,2013-04-16,2016-03-31,189
rocket_expanding,2016-07-01,3925,2013-04-16,2016-06-30,189
rocket_expanding,2016-10-01,4255,2013-04-16,2016-09-30,189
rocket_expanding,2017-01-01,4580,2013-04-16,2016-12-31,189
rocket_expanding,2017-04-01,4860,2013-04-16,2017-03-31,189
rocket_expanding,2017-07-01,5165,2013-04-16,2017-06-30,189
rocket_expanding,2017-10-01,5495,2013-04-16,2017-09-30,189
rocket_expanding,2018-01-01,5815,2013-04-16,2017-12-30,189
rocket_expanding,2018-04-01,6095,2013-04-16,2018-03-31,189
rocket_expanding,2018-07-01,6400,2013-04-16,2018-06-30,189
rocket_expanding,2018-10-01,6725,2013-04-16,2018-09-29,189
rocket_expanding,2019-01-01,7050,2013-04-16,2018-12-30,189
rocket_expanding,2019-04-01,7335,2013-04-16,2019-03-30,189
rocket_expanding,2019-07-01,7630,2013-04-16,2019-06-29,189
rocket_expanding,2019-10-01,7955,2013-04-16,2019-09-28,189
rocket_expanding,2020-01-01,8280,2013-04-16,2019-12-31,189
rocket_expanding,2020-04-01,8560,2013-04-16,2020-03-28,189
rocket_expanding,2020-07-01,8840,2013-04-16,2020-06-30,189
rocket_expanding,2020-10-01,9170,2013-04-16,2020-09-30,189
rocket_expanding,2021-01-01,9495,2013-04-16,2020-12-31,189
rocket_expanding,2021-04-01,9775,2013-04-16,2021-03-31,189
rocket_expanding,2021-07-01,10085,2013-04-16,2021-06-30,189
rocket_expanding,2021-10-01,10415,2013-04-16,2021-09-30,189
rocket_expanding,2022-01-01,10735,2013-04-16,2021-12-31,189
rocket_expanding,2022-04-01,11015,2013-04-16,2022-03-31,189
rocket_expanding,2022-07-01,11315,2013-04-16,2022-06-30,189
rocket_expanding,2022-10-01,11645,2013-04-16,2022-09-30,189
rocket_expanding,2023-01-01,11970,2013-04-16,2022-12-31,189
rocket_expanding,2023-04-01,12250,2013-04-16,2023-03-31,189
rocket_expanding,2023-07-01,12555,2013-04-16,2023-06-30,189
rocket_expanding,2023-10-01,12885,2013-04-16,2023-09-30,189
