rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,predeclared_order
0.22,315,1.2457627118644068,20,0,0.473015873015873,0.21700404858299596,2.179755981994788,0.7897598357745913,13.900870093706178,2.179755981994788,2.179755981994788,1,1,1.225988700564972,1.2853107344632768,1.9581738655002732,0.7677419354838709,2.179755981994788,1.2457627118644068,1.2457627118644068,1.12,1.4000000000000001,4,primary_resolved2000,2017,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,311,1.2299435028248589,20,0,0.4533762057877814,0.28825910931174087,1.5728079049098596,0.7394047756004652,62.860345925518956,1.5728079049098596,1.5728079049098596,1,1,1.1468926553672316,1.305084745762712,1.4305019305019304,0.8169934640522876,1.5728079049098596,1.2299435028248589,1.2299435028248589,1.0818181818181818,1.6674157303370787,4,primary_resolved2000,2018,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,269,1.0608450704225352,20,0,0.4200743494423792,0.2105691056910569,1.9949476826800248,0.6788110016740295,25.778917616490485,1.9949476826800248,1.9949476826800248,1,1,1.0450704225352112,1.084507042253521,1.6565656565656566,0.696969696969697,1.9949476826800248,1.0608450704225352,1.0608450704225352,0.8590909090909091,1.240506329113924,4,primary_resolved2000,2019,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,284,1.0893150684931505,20,0,0.4507042253521127,0.2674897119341564,1.6849404117009752,0.717761452031115,71.8494122883309,1.6849404117009752,1.6849404117009752,1,1,1.0164383561643835,1.1506849315068493,1.5093167701863355,0.6344086021505376,1.6849404117009752,1.0893150684931505,1.0893150684931505,0.9833333333333334,1.2461538461538462,4,primary_resolved2000,2020,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,309,1.1884615384615385,20,0,0.4401294498381877,0.2314516129032258,1.9016045916353754,0.7527156129003951,48.13306562944289,1.9016045916353754,1.9016045916353754,1,1,1.1538461538461537,1.2307692307692308,1.7617486338797812,0.6875,1.9016045916353754,1.1884615384615385,1.1884615384615385,0.9123595505617977,1.5076923076923079,4,primary_resolved2000,2021,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,354,1.4,20,0,0.4293785310734463,0.2777327935222672,1.5460130783548285,0.6469998954097975,77.40413272366052,1.5460130783548285,1.5460130783548285,1,1,1.364406779661017,1.4435028248587571,1.47704475308642,0.8424068767908309,1.5460130783548285,1.4,1.4,1.2227848101265824,1.6333333333333333,4,primary_resolved2000,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,314,1.2418079096045198,20,0,0.5859872611464968,0.3781376518218624,1.5496665257300288,0.7641584136331192,96.71800017324824,1.5496665257300288,1.5496665257300288,1,1,1.225988700564972,1.265536723163842,1.3812499999999999,0.8025889967637541,1.5496665257300288,1.2418079096045198,1.2418079096045198,1.0675,1.4477272727272728,4,primary_resolved2000,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,315,1.2457627118644068,20,0,0.5492063492063493,0.3379032258064516,1.6253362124483846,0.6762228959967906,69.07768827646522,1.6253362124483846,1.6253362124483846,1,1,1.1271186440677967,1.305084745762712,1.539247900693684,0.8258064516129032,1.6253362124483846,1.2457627118644068,1.2457627118644068,0.9068181818181819,1.940909090909091,4,primary_resolved2000,2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,331,1.3053521126760563,20,0,0.4078549848942598,0.22186234817813766,1.8383244757095287,0.7406176656007657,41.709708520480184,1.8383244757095287,1.8383244757095287,1,1,1.2225352112676056,1.3408450704225352,1.6958208955223881,0.8496932515337423,1.8383244757095287,1.3053521126760563,1.3053521126760563,1.1384615384615384,1.6,4,primary_resolved2000,2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,213,1.3253333333333333,20,0,0.6291079812206573,0.3401273885350318,1.8496245889820824,0.7497867048428846,117.24327829018004,1.8496245889820824,1.8496245889820824,1,1,1.2755555555555553,1.4,1.410783055198973,0.8605769230769231,1.8496245889820824,1.3253333333333333,1.3253333333333333,1.011111111111111,1.5636363636363635,3,primary_resolved2000,2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1
