currency,formula,horizon,lift,symmetric_benefit_bps,future_benefit_bps,n_signals
TJS,direct_basis,1,0.7408088235294118,14.653334044127828,-34.87688963427668,64
TJS,direct_basis,3,0.7673267326732672,15.218849856377233,-38.929687562010855,64
TJS,direct_basis,5,0.8366477272727272,16.728755358696734,-27.273315837984125,64
TJS,direct_basis,10,0.7962328767123287,17.82468380710375,-5.623284090054257,64
TJS,direct_basis,20,0.842391304347826,17.128308829542092,42.229289234803474,64
TJS,negative_direct_basis,1,1.2519754170324846,-11.576237975356339,42.17142090881745,67
TJS,negative_direct_basis,3,1.2460469927589775,-16.019203417813298,47.80654706334149,67
TJS,negative_direct_basis,5,1.2618724559023067,-18.088686414132948,45.474190665092095,67
TJS,negative_direct_basis,10,1.1662236761398486,-19.328794960394156,43.845777451313765,67
TJS,negative_direct_basis,20,1.4484101232965607,-7.541575987169052,62.00679215038246,67
TJS,usd_basis,1,0.9443277310924372,2.585043459120294,0.3904418182169204,56
TJS,usd_basis,3,1.0523338048090523,8.573749647660822,9.705472469665056,56
TJS,usd_basis,5,1.107142857142857,16.971032742010483,26.26229337672449,56
TJS,usd_basis,10,1.091976516634051,19.322116231022413,53.24353027074353,56
TJS,usd_basis,20,0.9627329192546584,21.566951996393566,73.60865326579356,56
TJS,negative_usd_basis,1,1.1722689075630255,0.8717170369832449,7.201366423835131,56
TJS,negative_usd_basis,3,1.0523338048090523,8.538593682037616,17.013359362635924,56
TJS,negative_usd_basis,5,1.0064935064935066,10.731464533582212,25.45461491348015,56
TJS,negative_usd_basis,10,1.1526418786692758,26.078184359007473,47.025673892461214,56
TJS,negative_usd_basis,20,1.15527950310559,45.05942468594325,96.74266233690638,56
TJS,cny_basis,1,0.9899159663865547,3.597016150448188,8.848893183513946,70
TJS,cny_basis,3,1.0874115983026873,7.5764445680882755,18.857295645367767,70
TJS,cny_basis,5,1.2480519480519479,14.240851448991858,32.09138232106885,70
TJS,cny_basis,10,1.358904109589041,30.868029060891732,66.69385772854385,70
TJS,cny_basis,20,1.6944099378881987,59.96198736943669,120.88739096091626,70
TJS,negative_cny_basis,1,1.048529411764706,-0.7094582965279755,8.45719038893541,80
