candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
fresh_weighted_consensus,0.7762656505171475,0.8128682756090588,-21.007954572312233,-30.245988248267807
lower_quartile_consensus,0.7796407185628742,0.8390160827296895,1.9512258149660726,-17.144664282497857
median_cny_basis,0.7169431875314228,0.8104731705861736,-34.06389712386303,-25.689491954333473
median_consensus,0.7676849690449608,0.8074558431924924,-8.232756829468634,-20.194297559306904
median_consensus_change_1,0.8120331525631842,0.887431431943417,-23.096734012662242,-13.052470193844597
median_consensus_change_20,0.5672324545563981,0.6647827861280072,-27.109976487204634,-19.382994987836046
median_consensus_change_5,0.9855871131835523,1.0439547018999888,-29.648753717390694,-20.220510932042387
median_consensus_ex_cba,0.7660868738713048,0.8164282865921735,-7.907953724926052,-23.055217068971913
median_consensus_reversal_1,1.1147175815433572,1.1569821265329783,-7.840573185633287,27.67678497382174
median_consensus_reversal_20,1.2089868588384909,1.3183548129390035,-12.877668572903987,25.936683328556008
median_consensus_reversal_5,0.8468514778777309,0.8739693643542006,-26.673152831704602,-1.6958932267022828
median_usd_basis,0.9133107248834251,0.9890471128698219,14.477861485245054,-20.8958922695845
negative_dispersion,1.0592572610376765,1.173232665054631,6.018645072446898,11.644784145328721
negative_fresh_weighted_consensus,1.2475123921424638,1.3065623581786596,-18.17898367279366,39.628203093580666
negative_median_cny_basis,1.2097832928693462,1.3222782934020836,-9.906126534002633,29.383310384194633
negative_median_consensus,1.1958456973293767,1.2377383360922392,-18.813327435929732,36.90104851945482
negative_median_usd_basis,1.0306551076950576,1.1445718963920632,-32.60346928686221,32.57744065828665
negative_trimmed_consensus,1.2245919881305638,1.306238373329037,-18.086464133077136,35.65839096974088
positive_breadth,0.8604552762968604,0.9092999907619668,9.386820692549772,-12.270681503686827
signed_consensus_to_dispersion,0.8110548134500231,0.8416160005535653,-3.616159680335376,-16.703736626284634
trimmed_consensus,0.7757619090177853,0.8295864992664115,-16.880792066859566,-22.986412128764723
upper_quartile_consensus,0.8023952095808383,0.8361641570020824,-16.970050572499563,-30.14177830897867
