candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency
availability_router,1.6070113281432101,1.65256264706836,14.992506486230345,64.71342053415641,1.257627118644068
route_block_min_mean,1.5163262651229348,1.585876750243007,15.197016301639145,64.82036676487962,1.2971751412429378
route_lcb_half_std,1.6093664911962242,1.6372874272183615,17.487038084527512,67.52102841576864,1.305084745762712
route_lcb_quarter_range,1.5662456328943832,1.6121328055264805,16.113974199495907,66.22155905721254,1.3209039548022599
route_lower_half_mean,1.5334721433528926,1.5844994874464635,15.237267692925954,66.39249723363989,1.3367231638418078
route_median_close,1.584767866458007,1.6480294619735876,13.48269794043924,62.53453778912036,1.293220338983051
route_q25_close,1.5344676844441454,1.580908122600583,14.097635626737604,64.25333871552075,1.2536723163841808
route_trimmed_mean,1.583534089580166,1.671858656470219,13.899355109561032,62.478826045351454,1.2536723163841808
router75_block_min_mean_25,1.6277653169637587,1.6755043533924723,18.273901074672736,70.43279520180573,1.2418079096045198
router75_lcb_half_std_25,1.6059359190556493,1.6463949902514643,16.163943847187777,66.38454476388081,1.249717514124294
router75_lcb_quarter_range_25,1.6130450714547453,1.6573764478509028,16.166429554724353,66.52521049177156,1.289265536723164
router75_lower_half_mean_25,1.6146721687299403,1.6592883596926846,17.296378712279395,68.25627895030404,1.289265536723164
router75_q25_close_25,1.6238299442062063,1.6644562753457888,17.84276681692512,69.20283783047229,1.2813559322033898
