candidate,h,metric,mean_bps,ci_lo,ci_hi,n,bootstrap
quantile7y_r25,1,sym,25.544485305128752,20.37141743843108,31.861436404786847,1016,1000 paired circular20-date blocks
quantile7y_r25,1,forward,81.65547875673074,68.5935664077618,96.60556042541795,1016,1000 paired circular20-date blocks
quantile7y_r25,3,sym,42.01880105887991,33.208175104793284,52.428014297010634,1016,1000 paired circular20-date blocks
quantile7y_r25,3,forward,93.91528685647138,75.85094583511103,113.84387123795842,1016,1000 paired circular20-date blocks
quantile7y_r25,5,sym,50.67766573226268,38.76122976222087,64.26916780951835,1016,1000 paired circular20-date blocks
quantile7y_r25,5,forward,101.1215498676355,77.70490506509644,127.26523027538978,1016,1000 paired circular20-date blocks
quantile7y_r25,10,sym,56.40226097600134,39.75434049867198,75.3738946055265,1011,1000 paired circular20-date blocks
quantile7y_r25,10,forward,106.97069895869944,71.84074724761005,143.71529315741293,1011,1000 paired circular20-date blocks
quantile7y_r25,20,sym,65.65822952336586,34.344876588886436,97.79621750608594,990,1000 paired circular20-date blocks
quantile7y_r25,20,forward,105.85714171514876,48.06580831718209,159.293214265737,990,1000 paired circular20-date blocks
change_z_r25,1,sym,28.939462089802355,23.78580282707829,35.69824729441408,879,1000 paired circular20-date blocks
change_z_r25,1,forward,101.96876800117995,89.98509384550003,114.90073354716567,879,1000 paired circular20-date blocks
change_z_r25,3,sym,46.804159876738304,36.77026705423085,60.14744588089613,874,1000 paired circular20-date blocks
change_z_r25,3,forward,117.79272203361555,100.0954702620538,135.319090128656,874,1000 paired circular20-date blocks
change_z_r25,5,sym,53.94536294303215,40.62041303700707,70.47095721355879,869,1000 paired circular20-date blocks
change_z_r25,5,forward,121.69248071316429,100.17239020915856,142.6369037295826,869,1000 paired circular20-date blocks
change_z_r25,10,sym,55.31455330727385,34.23146539435452,77.23206931635637,864,1000 paired circular20-date blocks
change_z_r25,10,forward,123.46995367680262,90.67461689145208,153.68457430504938,864,1000 paired circular20-date blocks
change_z_r25,20,sym,63.516722363105835,24.7421558565574,102.70871366023947,829,1000 paired circular20-date blocks
change_z_r25,20,forward,116.87015662720063,60.932026160562394,169.6750763396453,829,1000 paired circular20-date blocks
sign_cd3,1,sym,26.56403232616659,21.334802323719625,32.030100571862135,967,1000 paired circular20-date blocks
sign_cd3,1,forward,63.21552328836044,55.415078973786,71.29421834656962,967,1000 paired circular20-date blocks
sign_cd3,3,sym,41.10111569663991,32.035457050051,50.670194098712535,962,1000 paired circular20-date blocks
sign_cd3,3,forward,69.97117307419252,58.55000377485476,81.07704343045174,962,1000 paired circular20-date blocks
sign_cd3,5,sym,44.424363611080274,34.44495292050289,54.55815309400358,957,1000 paired circular20-date blocks
sign_cd3,5,forward,71.48041241752762,55.59302319460247,87.41513765231424,957,1000 paired circular20-date blocks
sign_cd3,10,sym,46.841083218503854,31.852750692920843,61.345290816857975,951,1000 paired circular20-date blocks
sign_cd3,10,forward,72.94801765357498,42.85934996536024,101.35301815800841,951,1000 paired circular20-date blocks
sign_cd3,20,sym,55.00354473092315,25.315782098595168,84.72161653941498,931,1000 paired circular20-date blocks
sign_cd3,20,forward,74.11017150510715,16.435136776624407,128.66674910032268,931,1000 paired circular20-date blocks
stale20_z_r35,1,sym,-0.7614927320883512,-4.166726736080345,2.508619767794154,1164,1000 paired circular20-date blocks
stale20_z_r35,1,forward,2.738409833905565,-9.920752015440877,14.701203254720618,1164,1000 paired circular20-date blocks
stale20_z_r35,3,sym,-1.9432533423282647,-9.849276783623559,5.948140133457872,1154,1000 paired circular20-date blocks
stale20_z_r35,3,forward,2.313827570275621,-19.00384111360541,21.63378986495785,1154,1000 paired circular20-date blocks
stale20_z_r35,5,sym,-1.5764287529136791,-12.290839116107762,9.379868151294348,1149,1000 paired circular20-date blocks
stale20_z_r35,5,forward,1.152936531175496,-28.293495163237232,29.636615004137102,1149,1000 paired circular20-date blocks
stale20_z_r35,10,sym,-1.7959268767433005,-19.5467522268679,15.684820362690896,1141,1000 paired circular20-date blocks
stale20_z_r35,10,forward,-1.2390247416426237,-44.18138340080537,41.861405799289706,1141,1000 paired circular20-date blocks
stale20_z_r35,20,sym,5.985669852461237,-26.880101557047066,38.50961810204179,1121,1000 paired circular20-date blocks
stale20_z_r35,20,forward,4.948938579532636,-66.04169309291062,74.0028452802625,1121,1000 paired circular20-date blocks
