candidate,slice_kind,slice,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
quantile7y_r25,year,2024,1,1240,453,2024-01-09,2024-12-28,1.0,0.5443548387096774,1.8370370370370372,1.8382995434686564,1.7864788732394365,1.7154929577464788,1.8535211267605634,19.048537611046505,68.86638971024708
quantile7y_r25,year,2024,3,1240,453,2024-01-09,2024-12-28,0.7328918322295805,0.38870967741935486,1.8854478671466386,1.8883970551134148,1.7864788732394365,1.7154929577464788,1.8535211267605634,34.328064273628804,80.9942736152293
quantile7y_r25,year,2024,5,1240,453,2024-01-09,2024-12-28,0.6070640176600441,0.3346774193548387,1.8138780286709755,1.8178910331591858,1.7864788732394365,1.7154929577464788,1.8535211267605634,40.765069799199495,84.37862184966386
quantile7y_r25,year,2024,10,1240,453,2024-01-09,2024-12-28,0.48123620309050774,0.2693548387096774,1.786625424647394,1.7917412341751175,1.7864788732394365,1.7154929577464788,1.8535211267605634,41.14141879645925,88.36214391895182
quantile7y_r25,year,2024,20,1240,453,2024-01-09,2024-12-28,0.3355408388520971,0.18870967741935485,1.7780796588743608,1.781053626269785,1.7864788732394365,1.7154929577464788,1.8535211267605634,44.20526683931692,95.88727473103707
change_z_r25,year,2024,1,1240,330,2024-01-09,2024-12-28,1.0,0.5443548387096774,1.8370370370370372,1.835389100695223,1.3014084507042254,1.2225352112676056,1.380281690140845,24.569205723461405,97.48763594785147
change_z_r25,year,2024,3,1240,330,2024-01-09,2024-12-28,0.8121212121212121,0.38870967741935486,2.0892744876147367,2.085734011171782,1.3014084507042254,1.2225352112676056,1.380281690140845,45.63512579506227,118.15302445008798
change_z_r25,year,2024,5,1240,330,2024-01-09,2024-12-28,0.7121212121212122,0.3346774193548387,2.127783862723622,2.123132969034608,1.3014084507042254,1.2225352112676056,1.380281690140845,52.29278145269481,119.65508641604649
change_z_r25,year,2024,10,1240,330,2024-01-09,2024-12-28,0.5484848484848485,0.2693548387096774,2.036291054255126,2.030028943560058,1.3014084507042254,1.2225352112676056,1.380281690140845,48.661381882406985,117.1720265584047
change_z_r25,year,2024,20,1240,330,2024-01-09,2024-12-28,0.40606060606060607,0.18870967741935485,2.1517741517741515,2.1453841187863136,1.3014084507042254,1.2225352112676056,1.380281690140845,40.84545990436485,119.11258326731839
sign_cd3,year,2024,1,1240,365,2024-01-09,2024-12-28,1.0,0.5443548387096774,1.8370370370370372,1.8344682230869,1.4394366197183097,1.3408450704225352,1.4985915492957746,23.275794532373173,54.891199375963375
sign_cd3,year,2024,3,1240,365,2024-01-09,2024-12-28,0.7178082191780822,0.38870967741935486,1.8466435514124937,1.8416711544457358,1.4394366197183097,1.3408450704225352,1.4985915492957746,40.29324818349362,71.32925377265767
sign_cd3,year,2024,5,1240,365,2024-01-09,2024-12-28,0.6301369863013698,0.3346774193548387,1.8828189470209606,1.8756987832949685,1.4394366197183097,1.3408450704225352,1.4985915492957746,41.903310236669846,75.48254123622307
sign_cd3,year,2024,10,1240,365,2024-01-09,2024-12-28,0.5123287671232877,0.2693548387096774,1.9020588959068165,1.8931297709923665,1.4394366197183097,1.3408450704225352,1.4985915492957746,41.034339330734184,81.81822587645743
sign_cd3,year,2024,20,1240,365,2024-01-09,2024-12-28,0.36712328767123287,0.18870967741935485,1.945439644069781,1.9370482629983676,1.4394366197183097,1.3408450704225352,1.4985915492957746,42.03283842349089,101.08472230777978
stale20_z_r35,year,2024,1,1240,465,2024-01-09,2024-12-28,0.567741935483871,0.5443548387096774,1.042962962962963,1.0420333911604145,1.8338028169014085,1.7549295774647886,1.912676056338028,0.027914561403907686,5.663315799200338
stale20_z_r35,year,2024,3,1240,465,2024-01-09,2024-12-28,0.4129032258064516,0.38870967741935486,1.062240663900415,1.0602774499543521,1.8338028169014085,1.7549295774647886,1.912676056338028,3.7648642032329183,9.292849069082289
stale20_z_r35,year,2024,5,1240,465,2024-01-09,2024-12-28,0.35053763440860214,0.3346774193548387,1.0473895582329318,1.0446827755523969,1.8338028169014085,1.7549295774647886,1.912676056338028,3.5235133058513317,7.923329008025631
stale20_z_r35,year,2024,10,1240,465,2024-01-09,2024-12-28,0.2817204301075269,0.2693548387096774,1.0459081836327346,1.042217374566919,1.8338028169014085,1.7549295774647886,1.912676056338028,3.195138925002008,11.92265683909544
stale20_z_r35,year,2024,20,1240,465,2024-01-09,2024-12-28,0.2172043010752688,0.18870967741935485,1.1509971509971508,1.1480955218407665,1.8338028169014085,1.7549295774647886,1.912676056338028,5.508250983357819,31.32709280691938
quantile7y_r25,year,2025,1,1235,324,2025-01-09,2025-12-30,1.0,0.4647773279352227,2.151567944250871,2.1507121741467348,1.2741573033707865,1.2191011235955056,1.3370786516853934,34.33150940726168,90.42161024354152
quantile7y_r25,year,2025,3,1235,324,2025-01-09,2025-12-30,0.7469135802469136,0.28582995951417006,2.6131395796173886,2.6129568106312293,1.2741573033707865,1.2191011235955056,1.3370786516853934,52.87830018055916,93.58594361610587
quantile7y_r25,year,2025,5,1235,324,2025-01-09,2025-12-30,0.6327160493827161,0.2251012145748988,2.8108069100275337,2.811493614658523,1.2741573033707865,1.2191011235955056,1.3370786516853934,62.39577726589607,93.614126027833
quantile7y_r25,year,2025,10,1235,324,2025-01-09,2025-12-30,0.4506172839506173,0.14736842105263157,3.0577601410934747,3.0586938083121287,1.2741573033707865,1.2191011235955056,1.3370786516853934,67.72333680985506,72.96284891788525
quantile7y_r25,year,2025,20,1235,324,2025-01-09,2025-12-30,0.28703703703703703,0.09635627530364373,2.978913787737317,2.9847972972972974,1.2741573033707865,1.2191011235955056,1.3370786516853934,69.38065384639822,35.69487815388436
change_z_r25,year,2025,1,1235,283,2025-01-09,2025-12-30,1.0,0.4647773279352227,2.151567944250871,2.15093236506862,1.1129213483146068,1.0617977528089888,1.1797752808988764,36.49907805510253,108.75253693897986
change_z_r25,year,2025,3,1235,283,2025-01-09,2025-12-30,0.7879858657243817,0.28582995951417006,2.756834402746774,2.7587398577581888,1.1129213483146068,1.0617977528089888,1.1797752808988764,57.389124989798304,108.94434944734982
change_z_r25,year,2025,5,1235,283,2025-01-09,2025-12-30,0.6113074204946997,0.2251012145748988,2.715700231334367,2.720506780416375,1.1129213483146068,1.0617977528089888,1.1797752808988764,67.96912087738852,105.65284953980485
change_z_r25,year,2025,10,1235,283,2025-01-09,2025-12-30,0.4169611307420495,0.14736842105263157,2.8293791014639074,2.836593673965937,1.1129213483146068,1.0617977528089888,1.1797752808988764,75.20480678981025,86.04219670280754
change_z_r25,year,2025,20,1235,283,2025-01-09,2025-12-30,0.2508833922261484,0.09635627530364373,2.6037057932713723,2.6127830750893923,1.1129213483146068,1.0617977528089888,1.1797752808988764,76.53225008968367,41.45836198361074
sign_cd3,year,2025,1,1235,356,2025-01-09,2025-12-30,1.0,0.4647773279352227,2.151567944250871,2.146724933473304,1.4000000000000001,1.3370786516853934,1.5140449438202248,31.25413439265433,67.41971310806768
sign_cd3,year,2025,3,1235,356,2025-01-09,2025-12-30,0.6207865168539326,0.28582995951417006,2.17187350797339,2.1639181796559104,1.4000000000000001,1.3370786516853934,1.5140449438202248,46.113475243007734,60.538014271947596
sign_cd3,year,2025,5,1235,356,2025-01-09,2025-12-30,0.5028089887640449,0.2251012145748988,2.2337018026028614,2.22097754558698,1.4000000000000001,1.3370786516853934,1.5140449438202248,50.2757024690201,54.43071795414686
sign_cd3,year,2025,10,1235,356,2025-01-09,2025-12-30,0.32865168539325845,0.14736842105263157,2.2301364365971112,2.212278955829442,1.4000000000000001,1.3370786516853934,1.5140449438202248,52.737942658803085,32.35221326427189
sign_cd3,year,2025,20,1235,356,2025-01-09,2025-12-30,0.2050561797752809,0.09635627530364373,2.1281040506090076,2.109875965363913,1.4000000000000001,1.3370786516853934,1.5140449438202248,52.8067916308847,-10.016588406655645
stale20_z_r35,year,2025,1,1235,377,2025-01-09,2025-12-30,0.4535809018567639,0.4647773279352227,0.9759101285594136,0.9755855314824226,1.4825842696629212,1.4353932584269664,1.5926966292134832,-2.957300299891151,-11.182623199913204
stale20_z_r35,year,2025,3,1235,377,2025-01-09,2025-12-30,0.29973474801061006,0.28582995951417006,1.048647064569698,1.0484579842981105,1.4825842696629212,1.4353932584269664,1.5926966292134832,-11.845798725709852,-21.679039048988702
stale20_z_r35,year,2025,5,1235,377,2025-01-09,2025-12-30,0.2519893899204244,0.2251012145748988,1.1194492681716697,1.120689655172414,1.4825842696629212,1.4353932584269664,1.5926966292134832,-11.94501527861534,-29.582582157854183
stale20_z_r35,year,2025,10,1235,377,2025-01-09,2025-12-30,0.15384615384615385,0.14736842105263157,1.043956043956044,1.0463044113350861,1.4825842696629212,1.4353932584269664,1.5926966292134832,-12.848243484026636,-49.642401627175694
stale20_z_r35,year,2025,20,1235,377,2025-01-09,2025-12-30,0.11140583554376658,0.09635627530364373,1.156186612576065,1.1574249693183087,1.4825842696629212,1.4353932584269664,1.5926966292134832,-1.7317834739890698,-72.66583445299406
quantile7y_r25,year,2026,1,810,239,2026-01-12,2026-09-01,1.0,0.554320987654321,1.8040089086859687,1.8151047770849937,1.4360515021459228,1.1716738197424894,1.6223175965665237,25.944771900644188,94.01209271627225
quantile7y_r25,year,2026,3,800,239,2026-01-12,2026-08-28,0.8368200836820083,0.405,2.066222428844465,2.0734789088317243,1.4611353711790394,1.1921397379912664,1.650655021834061,41.87414017308356,118.85221659773119
quantile7y_r25,year,2026,5,790,239,2026-01-12,2026-08-26,0.7154811715481172,0.3379746835443038,2.116966762258474,2.1336176261549396,1.4740088105726872,1.2026431718061674,1.6651982378854624,53.580334438456845,143.03348173473668
quantile7y_r25,year,2026,10,765,234,2026-01-12,2026-08-19,0.6410256410256411,0.2901960784313726,2.208939708939709,2.2292374939290918,1.4890909090909092,1.2090909090909092,1.6863636363636365,70.270350451061,190.0827453101074
quantile7y_r25,year,2026,20,715,213,2026-01-12,2026-08-05,0.5305164319248826,0.24475524475524477,2.167538564721663,2.1812904967602593,1.4475728155339807,1.1893203883495147,1.6310679611650487,105.62126527553345,233.78635832384472
