period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
retrospective_2025,primary75_shared_xgb_conservative,1.353629812737576,0.05298675331167208,0.08297925518620344,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary75_shared_hist_minimum,1.3058530595538576,0.10372406898275431,0.11822044488877781,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary80_shared_xgb_conservative,1.3835697126489883,0.03349162709322669,0.05498625343664084,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary75_shared_extra_geomean,1.396830764207924,0.03624093976505874,0.04598850287428143,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary75_shared_extra_conservative,1.396830764207924,0.03624093976505874,0.04598850287428143,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary67_shared_xgb_conservative,1.2520275750202758,0.13771557110722318,0.16020994751312173,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary80_shared_extra_conservative,1.4302007299270072,0.023744063984004,0.04223944013996501,8,1.4394278314104072,1.3901536493402693
retrospective_2025,primary80_shared_extra_geomean,1.4394278314104072,0.023744063984004,0.03824043989002749,8,1.4394278314104072,1.3901536493402693
retrospective_2025_2026,primary75_shared_xgb_conservative,1.383913581712425,0.01274681329667583,0.021994501374656337,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary75_shared_hist_minimum,1.3645437741556041,0.02274431392151962,0.025743564108972758,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary80_shared_xgb_conservative,1.3763374124694738,0.005748562859285179,0.025743564108972758,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary75_shared_extra_geomean,1.4053515766211266,0.0024993751562109472,0.01274681329667583,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary75_shared_extra_conservative,1.4027634521706271,0.0024993751562109472,0.01274681329667583,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary67_shared_xgb_conservative,1.354691472537152,0.025243689077730568,0.03499125218695326,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary80_shared_extra_conservative,1.409639743602836,0.00024993751562109475,0.01274681329667583,8,1.4148509811022922,1.3354561031882024
retrospective_2025_2026,primary80_shared_extra_geomean,1.4148509811022922,0.00024993751562109475,0.0094976255936016,8,1.4148509811022922,1.3354561031882024
