rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,shock_quarter_lift_min,shock_quarter_rate_min,shock_quarter_benefit_min,predeclared_order
0.22,354,1.4,20,0,0.4293785310734463,0.2777327935222672,1.5460130783548285,0.6469998954097975,77.40413272366052,1.5460130783548285,1.5460130783548285,1,1,1.364406779661017,1.4435028248587571,1.47704475308642,0.8424068767908309,1.5460130783548285,1.4,1.4,1.2227848101265824,1.6333333333333333,4,cny_expanding,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1346495119787043,1.0675,-48.97397067127202,1
0.22,314,1.2418079096045198,20,0,0.5859872611464968,0.3781376518218624,1.5496665257300288,0.7641584136331192,96.71800017324824,1.5496665257300288,1.5496665257300288,1,1,1.225988700564972,1.265536723163842,1.3812499999999999,0.8025889967637541,1.5496665257300288,1.2418079096045198,1.2418079096045198,1.0675,1.4477272727272728,4,cny_expanding,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1346495119787043,1.0675,-48.97397067127202,1
0.22,668,1.3025069637883009,20,0,0.5029940119760479,0.32793522267206476,1.5338212463960967,0.70166034508404,86.48280694397572,1.5460130783548285,1.5478398020424287,2,2,1.277158774373259,1.3259052924791086,1.4137900669249734,0.8174962292609351,1.5478398020424287,1.2418079096045198,1.4,1.0675,1.6333333333333333,8,cny_expanding,2022_2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1346495119787043,1.0675,-48.97397067127202,1
0.22,343,1.356497175141243,20,0,0.4577259475218659,0.2777327935222672,1.6480803066749399,0.6621180823386369,117.64688283112291,1.6480803066749399,1.6480803066749399,1,1,1.3248587570621468,1.384180790960452,1.5200000000000002,0.8106508875739645,1.6480803066749399,1.356497175141243,1.356497175141243,1.2227848101265824,1.4461538461538461,4,cny75_anchor25,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2537993920972643,1.1295454545454544,-4.806651927648483,2
0.22,318,1.257627118644068,20,0,0.6194968553459119,0.3781376518218624,1.6382839750582465,0.7597530781584583,100.42846894084093,1.6382839750582465,1.6382839750582465,1,1,1.1864406779661016,1.3248587570621468,1.5516129032258064,0.7987220447284346,1.6382839750582465,1.257627118644068,1.257627118644068,1.1295454545454544,1.3825,4,cny75_anchor25,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2537993920972643,1.1295454545454544,-4.806651927648483,2
0.22,661,1.288857938718663,20,0,0.5355521936459909,0.32793522267206476,1.633103602846417,0.7065863453815261,109.36328885667562,1.6382839750582465,1.6431821408665932,2,2,1.2381615598885793,1.3259052924791086,1.5580746903140283,0.7987804878048781,1.6431821408665932,1.257627118644068,1.356497175141243,1.1295454545454544,1.4461538461538461,8,cny75_anchor25,2022_2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2537993920972643,1.1295454545454544,-4.806651927648483,2
0.22,340,1.344632768361582,20,0,0.4470588235294118,0.2777327935222672,1.6096724404047333,0.6770189177528795,85.43508341895907,1.6096724404047333,1.6096724404047333,1,1,1.305084745762712,1.423728813559322,1.496969696969697,0.8149253731343283,1.6096724404047333,1.344632768361582,1.344632768361582,1.1846153846153846,1.6333333333333333,4,cny75_global_extra25,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0723039215686276,1.1846153846153846,-40.29946536475293,3
0.22,364,1.4395480225988702,20,0,0.5714285714285714,0.3781376518218624,1.5111654940348729,0.7316579117594575,93.91035899901918,1.5111654940348729,1.5111654940348729,1,1,1.384180790960452,1.5225988700564972,1.4213333333333331,0.8662952646239555,1.5111654940348729,1.4395480225988702,1.4395480225988702,1.276923076923077,1.68,4,cny75_global_extra25,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0723039215686276,1.1846153846153846,-40.29946536475293,3
0.22,704,1.3727019498607245,20,0,0.5113636363636364,0.32793522267206476,1.5593434343434345,0.7011590807675145,89.81718613364923,1.5111654940348729,1.5604189672198032,2,2,1.3356545961002786,1.4331476323119778,1.468980406533871,0.8354792560801144,1.5604189672198032,1.344632768361582,1.4395480225988702,1.1846153846153846,1.68,8,cny75_global_extra25,2022_2023,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0723039215686276,1.1846153846153846,-40.29946536475293,3
0.22,341,1.348587570621469,20,0,0.4222873900293255,0.2777327935222672,1.5204808358198747,0.6561548065734942,77.0174280270253,1.5204808358198747,1.5204808358198747,1,1,1.305084745762712,1.4039548022598871,1.3411764705882354,0.8184523809523809,1.5204808358198747,1.348587570621469,1.348587570621469,1.1518987341772151,1.6644444444444442,4,cny75_regime_soft25,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0183428209993675,1.0923076923076922,-17.062580529432644,4
