candidate,h,mean_bps,ci_lo,ci_hi
cny_hist50_urgent_cap2,1,17.539238241098772,13.117951362152692,23.5005752269621
cny_hist50_urgent_cap2,3,28.133505868105072,17.47263649880346,39.69312025316438
cny_hist50_urgent_cap2,5,37.39815377911974,20.33831153492624,53.666421984377074
cny_hist50_urgent_cap2,10,52.08009486431181,19.32659741779922,80.21722999955274
cny_hist50_urgent_cap2,20,70.94636029450108,7.37906754563444,121.84282736519403
cny50_hazard_hist_h5_urgent_cap2,1,17.937269012857666,13.296043186810865,23.07226714341727
cny50_hazard_hist_h5_urgent_cap2,3,28.596982879543308,18.485621623783775,38.957301821061996
cny50_hazard_hist_h5_urgent_cap2,5,36.93394079163143,20.32605745709251,54.42561867520486
cny50_hazard_hist_h5_urgent_cap2,10,48.576546396895026,17.929594560054742,80.90549492587002
cny50_hazard_hist_h5_urgent_cap2,20,65.64579605593755,2.6322055544005574,117.1077320331458
equal_rolling365_h5_urgent_cap2,1,17.46227236713188,11.337467574316005,24.91741065082336
equal_rolling365_h5_urgent_cap2,3,25.284649917043975,16.894857550627645,34.9601602303005
equal_rolling365_h5_urgent_cap2,5,31.720323929876397,16.758461063947188,46.98266961984416
equal_rolling365_h5_urgent_cap2,10,38.81875808208922,9.104770713279002,72.73058310878127
equal_rolling365_h5_urgent_cap2,20,45.95292841967802,-21.76125665954332,114.36390704546889
ap4_w25_stack_local_residual_urgent_cap2,1,16.482778880662252,10.643110301530852,21.909884118388657
ap4_w25_stack_local_residual_urgent_cap2,3,26.23917352836983,17.713907427939528,34.12435686001529
ap4_w25_stack_local_residual_urgent_cap2,5,33.88974078800712,19.59324603124855,47.65165789775899
ap4_w25_stack_local_residual_urgent_cap2,10,45.630057705943486,15.678931007742406,71.45203508227894
ap4_w25_stack_local_residual_urgent_cap2,20,64.05886971422902,2.5437395368842326,114.01785887087574
path_global64_h5_urgent_cap2,1,5.590936030957239,-0.8826754656942399,11.853896983244805
path_global64_h5_urgent_cap2,3,6.0445824973030815,-2.069612934124662,15.467225300604664
path_global64_h5_urgent_cap2,5,12.108212007013131,-1.7788600031318305,26.92802563884018
path_global64_h5_urgent_cap2,10,27.634285440988926,-0.5398655721718981,55.100556419857966
path_global64_h5_urgent_cap2,20,43.278964785296736,-8.451244702748191,89.99136807469736
path_global64_mean_urgent_cap2,1,7.628548364002912,1.5595348833109088,13.751311660776546
path_global64_mean_urgent_cap2,3,10.379663308399948,2.763137382587988,19.00521093120946
path_global64_mean_urgent_cap2,5,15.93520631913521,1.7374203185352812,30.150798476295627
path_global64_mean_urgent_cap2,10,29.014386519364166,-2.5514240130175945,57.07741709564576
path_global64_mean_urgent_cap2,20,43.765450637865634,-13.666570249816916,91.14798301973151
path_global64_forward25_urgent_cap2,1,7.202861811217208,1.5482596283564352,13.274920797922272
path_global64_forward25_urgent_cap2,3,10.997348545005014,2.2633912037548987,19.87610337312869
path_global64_forward25_urgent_cap2,5,17.118691862329854,1.3985289325198857,32.447099850104664
path_global64_forward25_urgent_cap2,10,32.14644964354591,-4.9985610206284266,62.56555262815323
path_global64_forward25_urgent_cap2,20,49.625255501893896,-13.83976236292699,104.49896988128329
path_global64_symmetric25_urgent_cap2,1,7.5758219393759845,2.8786294071001035,12.636369914564597
path_global64_symmetric25_urgent_cap2,3,12.078426878319666,5.1486524872328205,18.592912183156084
path_global64_symmetric25_urgent_cap2,5,18.460153448626176,6.48167584592297,30.390759429277768
path_global64_symmetric25_urgent_cap2,10,37.15255183603737,9.501253943457865,63.275720162508044
path_global64_symmetric25_urgent_cap2,20,55.1231119574433,1.4387387759361205,99.81162951735594
cny50_path_global64_urgent_cap2,1,14.978436317297035,10.613113934219449,19.858530756202686
