model,rows,clips,effective_min,effective_mean,scenario_min,scenario_max
forest,5170,0,3.006580895066109,359.7051658358331,190,2260
global128,5170,0,94.6081800545989,116.74207116385593,128,128
global64,5170,0,48.92089228141442,58.79236726144382,64,64
local32,5170,0,23.893593742205592,29.133271950961937,32,32
recent128,5170,0,99.08213329577214,116.54200636720643,128,128
ridge_empirical,5170,0,190.00000000000003,1206.407156673114,190,2260
ridge_gaussian,5170,0,256.0,256.0,256,256
ridge_local,5170,0,38.0,241.28143133462282,38,452
shrink,5170,0,35.480771282109636,59.8514614716343,160,160
unconditional,5170,0,475.0,3011.3007736943905,475,5645
wide128,5170,0,99.8031314042776,120.67860137558692,128,128
