scenario,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,dates
calendar_assumed_replay,currency,AMD,11640,0.13402061855670103,0.18884282813914532,0.11373660865661543,0.3827226185123969,0.05599147926308307,0.12015930151477353,0.4046649431793099,0.05519458443053082,-0.006422692858158094,-0.021942324666912982,0.706181891025641,0.23830088946879188,0.16837142602767596,0.0007968948325522557,582
calendar_assumed_replay,currency,KGS,11640,0.1254295532646048,0.17821587979118175,0.1100367165008451,0.3750777157982402,0.05278632652657691,0.11483856752686064,0.3913793250725352,0.057810437498612914,-0.004801851026015547,-0.016301609274295026,0.6412378892267944,0.19242564378749638,0.10692985171031022,-0.0050241109720360055,582
calendar_assumed_replay,currency,KZT,11640,0.12027491408934708,0.1441096329640242,0.10171180630030754,0.35090045378032353,0.03508773313130684,0.10445121020726333,0.362480378360019,0.030776608210355574,-0.0027394039069557896,-0.011579924579695478,0.6662308872767857,0.22961755916335047,0.10445835658482139,0.00431112492095127,582
calendar_assumed_replay,currency,TJS,11640,0.15807560137457044,0.18172174586818016,0.12762678949273212,0.41610488338991314,0.027836675786595263,0.13187742180289475,0.4305467084419113,0.025714419398368715,-0.004250632310162622,-0.014441825051998147,0.666511174578527,0.26130291394544497,0.08595435891748004,0.0021222563882265476,582
calendar_assumed_replay,currency,UZS,11640,0.14776632302405499,0.16167808609981185,0.11882869368873318,0.3916803706084275,0.02257904808598897,0.12379920468573725,0.4105554604323312,0.019265939549843594,-0.004970510997004074,-0.018875089823903735,0.7077388585427606,0.279356458074167,0.12974059921230308,0.0033131085361453767,582
calendar_assumed_replay,year,2025,36500,0.08712328767123288,0.17472515024304702,0.08550265590485295,0.3149483156549512,0.0876080009371461,0.08924630277013235,0.3280116036585454,0.09413068131758498,-0.003743646865279393,-0.013063288003594242,0.6653467849403912,0.15076307313841308,0.09064194545742821,-0.006522680380438878,365
calendar_assumed_replay,year,2026,21700,0.22119815668202766,0.16450255982702577,0.16297427713702972,0.4982619358762097,0.06167155035559466,0.16911397067626785,0.5208862948719526,0.06637070263133919,-0.006139693539238128,-0.022624358995742888,0.7183800049309664,0.4150425139236952,0.10096902120315576,-0.0046991522757445295,217
calendar_assumed_replay,currency_year,AMD:2025,7300,0.0821917808219178,0.19149468344803117,0.08706703174093294,0.3222388131096314,0.10930290262611338,0.09256550716557027,0.3404474402068323,0.11975298680056254,-0.005498475424637328,-0.018208627097200947,0.6639231343283583,0.13146607032102184,0.13322810945273633,-0.010450084174449162,365
calendar_assumed_replay,currency_year,AMD:2026,4340,0.22119815668202766,0.1843823341864111,0.15859557443645003,0.48445805156313143,0.08284960261835307,0.16657282657218914,0.5126805587781775,0.06170076841651138,-0.007977252135739105,-0.0282225072150461,0.753678192800789,0.4429594011848025,0.14270247781065093,0.021148834201841694,217
calendar_assumed_replay,currency_year,KGS:2025,7300,0.0821917808219178,0.18582980472993896,0.08787603782789515,0.32479313732565745,0.10363802390802115,0.09271140331428733,0.34055969235007383,0.11381565183612846,-0.004835365486392185,-0.015766555024416373,0.5938139303482587,0.10776528019862958,0.10472288557213927,-0.010177627928107308,365
calendar_assumed_replay,currency_year,KGS:2026,4340,0.19815668202764977,0.16540904752092186,0.14731159076640604,0.45965776714613277,0.04309484388669062,0.15205706954340104,0.47685935246285044,0.04271237113286294,-0.0047454787769949935,-0.01720158531671767,0.7348645081529002,0.4115666416318487,0.10795008019246177,0.00038247275382767565,217
calendar_assumed_replay,currency_year,KZT:2025,7300,0.049315068493150684,0.14911993209496774,0.055082191111388595,0.2357769329066312,0.10003986936217737,0.05580953196706294,0.2395462666855373,0.10004287784821829,-0.0007273408556743438,-0.003769333778906092,0.6826546990073648,0.16639306935054968,0.07231348062760168,-3.0084860409146374e-06,365
calendar_assumed_replay,currency_year,KZT:2026,4340,0.23963133640552994,0.13568217129216073,0.1801441083461851,0.5445413990286999,0.10421205253189655,0.186267857938476,0.5692589532963592,0.11146491939038579,-0.006123749592290895,-0.024717554267659314,0.748129224941725,0.47153124154514625,0.11507663170163174,-0.007252866858489235,217
calendar_assumed_replay,currency_year,TJS:2025,7300,0.14246575342465753,0.18630686107978428,0.12076813930032133,0.4011469299819107,0.043914551293885794,0.1251748506388869,0.4158465592078505,0.048678490311534796,-0.004406711338565558,-0.014699629225939814,0.6315524391742444,0.21465877408929496,0.0968961968542641,-0.004763939017649002,365
calendar_assumed_replay,currency_year,TJS:2026,4340,0.18433179723502305,0.17400945530488296,0.13916322875646459,0.44126457460613855,0.05456612172085333,0.14315133182530423,0.45527276590934057,0.033601910408616646,-0.003988103068839649,-0.014008191303202022,0.7203285663841807,0.37505642751497187,0.0840635593220338,0.020964211312236684,217
calendar_assumed_replay,currency_year,UZS:2025,7300,0.07945205479452055,0.16087446986251303,0.07671987954372671,0.29078576495092495,0.08143978076259838,0.07997022076485433,0.30365805984243327,0.0888058184220555,-0.00325034122112762,-0.012872294891508318,0.6783464183087028,0.18046873362779534,0.08938346674876851,-0.00736603765945712,365
calendar_assumed_replay,currency_year,UZS:2026,4340,0.2626728110599078,0.16302979083075234,0.1896568833796427,0.5613878870369455,0.10034009988593152,0.19752076750196887,0.5903598439130353,0.11284218266784682,-0.007863884122326165,-0.028971956876089777,0.7324614857456141,0.4708846250998334,0.08646162280701764,-0.012502082781915294,217
no_same_day_receipt,currency,AMD,11640,0.13402061855670103,0.18758628182999623,0.11388521217284522,0.3824543429957974,0.053609695714309596,0.11903200910290426,0.39977420778853656,0.054104465407737355,-0.005146796930059039,-0.01731986479273917,0.7099673763736264,0.24179932845838822,0.13374255952380953,-0.0004947696934277587,582
no_same_day_receipt,currency,KGS,11640,0.1254295532646048,0.1750876012174517,0.1100237721141853,0.37443624390045466,0.04965804795284688,0.11308252617448206,0.384643831402018,0.053989410718367076,-0.0030587540602967506,-0.010207587501563364,0.6414837379228678,0.19288010471627598,0.06698152434265414,-0.004331362765520194,582
no_same_day_receipt,currency,KZT,11640,0.12027491408934708,0.14063464003995768,0.10176195114828634,0.35141778006156016,0.035429777539238407,0.10320603696945604,0.357655081734231,0.03533524719467519,-0.0014440858211696994,-0.006237301672670836,0.64699462890625,0.22784137061786836,0.06178034319196435,9.453034456321369e-05,582
no_same_day_receipt,currency,TJS,11640,0.15807560137457044,0.1771780412264812,0.127098145987255,0.41373149795785946,0.0309195686194843,0.129160371089895,0.42099576386148724,0.020782374792594954,-0.0020622251026400085,-0.007264265903627776,0.6742598436113576,0.2678633091472616,0.04974755989352264,0.010137193826889344,582
no_same_day_receipt,currency,UZS,11640,0.14776632302405499,0.15983335423972467,0.11962083608388266,0.39313190712358004,0.020809426901889472,0.12319711098425237,0.4066952719841142,0.02877540380763024,-0.0035762749003697136,-0.013563364860534166,0.7045924078675919,0.2695859908759235,0.08863401397224313,-0.007965976905740767,582
no_same_day_receipt,year,2025,36500,0.08712328767123288,0.1708028938804827,0.08574575584628356,0.3151289097707883,0.08368574457458183,0.08852198463711668,0.3244545718041556,0.0902030936735854,-0.002776228790833113,-0.009325662033367321,0.6585113149033198,0.13865159391026793,0.0615611244497799,-0.006517349099003561,365
no_same_day_receipt,year,2026,21700,0.22119815668202766,0.16345706107495014,0.16280638485648757,0.49725318985728656,0.06645257709604456,0.16633733239822865,0.5108508255279091,0.07289754626371776,-0.003530947541741075,-0.013597635670622499,0.7159081854043392,0.4093744127237876,0.05937096893491123,-0.0064449691676732035,217
no_same_day_receipt,currency_year,AMD:2025,7300,0.0821917808219178,0.18939385291827548,0.08772777004237416,0.3235638814034464,0.10720207209635768,0.0925196253396547,0.3388560258061152,0.11791385294949502,-0.004791855297280545,-0.015292144402668795,0.6639303482587064,0.12573632146404579,0.10448905472636816,-0.010711780853137343,365
no_same_day_receipt,currency_year,AMD:2026,4340,0.22119815668202766,0.18454589728058637,0.15788275308354538,0.4815097277018256,0.08252061335491456,0.1636265716539922,0.5022402742566647,0.0723224132318624,-0.0057438185704468125,-0.020730546554839135,0.7557599852071005,0.44649424659728054,0.10827446992110445,0.010198200123052156,217
no_same_day_receipt,currency_year,KGS:2025,7300,0.0821917808219178,0.18117081129416132,0.08804311503514224,0.32476719873938836,0.0989790304722435,0.09171383119123691,0.3363194500439807,0.10839607676542828,-0.0036707161560946694,-0.011552251304592365,0.5859089552238806,0.09976195570163654,0.07231368159203988,-0.00941704629318478,365
no_same_day_receipt,currency_year,KGS:2026,4340,0.19815668202764977,0.16485547366906922,0.1469958450812393,0.4579809511990222,0.051597577548028614,0.14902526197579302,0.4659267770042468,0.05582047509401805,-0.002029416894553715,-0.007945825805224571,0.730134155306068,0.40360893562460803,0.06258253140871428,-0.0042228975459894375,217
no_same_day_receipt,currency_year,KZT:2025,7300,0.049315068493150684,0.1452357665134697,0.05367184682684793,0.23141443589165858,0.0974448066970679,0.05418311243846368,0.2333293064507622,0.09866948510571152,-0.000511265611615748,-0.0019148705591036097,0.6788106388088376,0.1943815767724556,0.016502961895613177,-0.0012246784086436258,365
no_same_day_receipt,currency_year,KZT:2026,4340,0.23963133640552994,0.13289541809142363,0.18265083629724957,0.5532667230201505,0.11430729244840893,0.1856639515031529,0.5667744733400656,0.11690145832438913,-0.003013115205903333,-0.013507750319915135,0.7259625582750582,0.43601304563798404,0.08162529137529129,-0.0025941658759802005,217
no_same_day_receipt,currency_year,TJS:2025,7300,0.14246575342465753,0.17974671778956558,0.12091590263824753,0.40116653538782177,0.03743904542168274,0.12337170081523428,0.4095402509336903,0.042407652770546894,-0.0024557981769867537,-0.00837371554586852,0.6265441447530106,0.20860357865796317,0.06747450233472596,-0.004968607348864153,365
no_same_day_receipt,currency_year,TJS:2026,4340,0.18433179723502305,0.17285745622405815,0.13749685023788966,0.43486611241898304,0.05613874344098077,0.1388970745472736,0.44026425334833463,0.05182762765378113,-0.0014002243093839406,-0.005398140929351591,0.7403871822033898,0.3907855396958714,0.04432062146892657,0.004311115787199643,217
