currency,alpha,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta,ece_delta
AMD,0.0,226,0.3185840707964602,0.4819815701985921,0.24322464553312526,0.6788983762402373,0.16339749940213202,0.2099760114056654,0.609620551652655,0.0938012161594218,0.03324863412745985,0.06927782458758225,0.5671897546897546,0.3578942280250717,-0.11264430014430005,0.06959628324271022
AMD,0.25,226,0.3185840707964602,0.44268221848417694,0.22425590519631863,0.6396809192490266,0.12409814768771675,0.2099760114056654,0.609620551652655,0.0938012161594218,0.014279893790653225,0.03006036759637154,0.6382575757575758,0.4110183475058894,-0.04157647907647899,0.03029693152829495
AMD,0.5,226,0.3185840707964602,0.4042276972555285,0.2099760114056654,0.609620551652655,0.0938012161594218,0.2099760114056654,0.609620551652655,0.0938012161594218,0.0,0.0,0.6798340548340548,0.461070461340904,0.0,0.0
AMD,0.75,226,0.3185840707964602,0.3676156995319498,0.20048773937546488,0.5884232729330462,0.06673074377973733,0.2099760114056654,0.609620551652655,0.0938012161594218,-0.009488272030200529,-0.02119727871960886,0.7057178932178932,0.4851733188556967,0.025883838383838453,-0.027070472379684477
AMD,1.0,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.2099760114056654,0.609620551652655,0.0938012161594218,-0.01458529097050007,-0.034071903544325766,0.7217712842712843,0.49827532280580256,0.04193722943722944,-0.05462519918347118
KGS,0.0,226,0.27876106194690264,0.4473615871718947,0.22969491000467993,0.6494866366391218,0.1686005252249921,0.20305347568272175,0.5935659621261761,0.10715214928053886,0.026641434321958174,0.05592067451294569,0.5658291946635505,0.3155772836360677,-0.0678741844386016,0.06144837594445325
KGS,0.25,226,0.27876106194690264,0.4109495662420724,0.21426267953250294,0.6174365878200996,0.13218850429516973,0.20305347568272175,0.5935659621261761,0.10715214928053886,0.01120920384978119,0.02387062569392351,0.6150063297302562,0.3535539542956303,-0.01869704937189598,0.025036355014630876
KGS,0.5,226,0.27876106194690264,0.3758130804084356,0.20305347568272175,0.5935659621261761,0.10715214928053886,0.20305347568272175,0.5935659621261761,0.10715214928053886,0.0,0.0,0.633703379102152,0.3723861301290385,0.0,0.0
KGS,0.75,226,0.27876106194690264,0.34275059369769606,0.195957905012197,0.5775049728958599,0.06398953175079343,0.20305347568272175,0.5935659621261761,0.10715214928053886,-0.007095570670524742,-0.01606098923031618,0.6462654591488948,0.38232085667397797,0.01256208004674264,-0.04316261752974543
KGS,1.0,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.20305347568272175,0.5935659621261761,0.10715214928053886,-0.010561296050466545,-0.02487017255682955,0.6569773103515435,0.38984050970320694,0.023273931249391366,-0.0473796543448539
KZT,0.0,226,0.23893805309734514,0.44857346293531336,0.22275773437289614,0.6355699384397704,0.20963540983796836,0.1885759195607823,0.5631635538690679,0.13450529972401673,0.03418181481211385,0.07240638457070248,0.5859711455641687,0.29317594436534344,-0.08537898363479757,0.07513011011395163
KZT,0.25,226,0.23893805309734514,0.4102537416432042,0.20329169832924684,0.5949518397327748,0.17131568854585907,0.1885759195607823,0.5631635538690679,0.13450529972401673,0.014715778768464555,0.031788285863706855,0.6393733850129198,0.3301786748792937,-0.03197674418604657,0.036810388821842344
KZT,0.5,226,0.23893805309734514,0.37344335282136193,0.1885759195607823,0.5631635538690679,0.13450529972401673,0.1885759195607823,0.5631635538690679,0.13450529972401673,0.0,0.0,0.6713501291989665,0.3605426986916697,0.0,0.0
KZT,0.75,226,0.23893805309734514,0.339003576691248,0.17846927633577486,0.5397564180784676,0.1000655235939028,0.1885759195607823,0.5631635538690679,0.13450529972401673,-0.010106643225007428,-0.023407135790600275,0.6836240310077519,0.370128203387551,0.012273901808785515,-0.034439776130113925
KZT,1.0,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.0937281443161138,0.1885759195607823,0.5631635538690679,0.13450529972401673,-0.01615924571917607,-0.03908170742357964,0.6921296296296297,0.37776949341343113,0.020779500430663234,-0.04077715540790293
TJS,0.0,226,0.252212389380531,0.4317130012909588,0.21496484843016098,0.6180907603010117,0.17950061191042785,0.1935653708482406,0.5724842172945821,0.12974219480843902,0.021399477581920373,0.045606543006429634,0.6013702896293989,0.3069768134369241,-0.04567632097996466,0.04975841710198883
TJS,0.25,226,0.252212389380531,0.3994599123071492,0.20252868604254973,0.5920142015303712,0.14724752292661833,0.1935653708482406,0.5724842172945821,0.12974219480843902,0.008963315194309124,0.01952998423578911,0.6301256098826948,0.32880648944523355,-0.01692100072666869,0.017505328118179314
TJS,0.5,226,0.252212389380531,0.3684638665299349,0.1935653708482406,0.5724842172945821,0.12974219480843902,0.1935653708482406,0.5724842172945821,0.12974219480843902,0.0,0.0,0.6470466106093636,0.34295107767451893,0.0,0.0
TJS,0.75,226,0.252212389380531,0.33927400593446067,0.187870648860319,0.5591839934440234,0.08706161655392967,0.1935653708482406,0.5724842172945821,0.12974219480843902,-0.0056947219879215916,-0.013300223850558734,0.6532751998339043,0.34815652430674937,0.006228589224540615,-0.04268057825450934
TJS,1.0,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.1935653708482406,0.5724842172945821,0.12974219480843902,-0.00854605844372655,-0.020800988363051998,0.6552475864216755,0.3508160942774259,0.008200975812311828,-0.058941999666643735
UZS,0.0,226,0.24336283185840707,0.45101597148417355,0.22192004974788043,0.6336211173958399,0.2076531396257665,0.18827090023668525,0.562319541987894,0.1367167403278433,0.03364914951119519,0.0713015754079459,0.603030303030303,0.3117587008056903,-0.08952684742158423,0.0709363992979232
UZS,0.25,226,0.24336283185840707,0.4149465095358112,0.20299419052431597,0.594005146531363,0.17158367767740415,0.18827090023668525,0.562319541987894,0.1367167403278433,0.014723290287630725,0.031685604543469026,0.6561935140882509,0.3472056483160247,-0.036363636363636376,0.03486693734956084
UZS,0.5,226,0.24336283185840707,0.3800795721862504,0.18827090023668525,0.562319541987894,0.1367167403278433,0.18827090023668525,0.562319541987894,0.1367167403278433,0.0,0.0,0.6925571504518873,0.38578773010336914,0.0,0.0
UZS,0.75,226,0.24336283185840707,0.34718417529712575,0.17771636520004885,0.5382184062903834,0.10382134343871866,0.18827090023668525,0.562319541987894,0.1367167403278433,-0.010554535036636392,-0.0241011356975106,0.7095693779904306,0.3992762537800568,0.017012227538543367,-0.032895396889124656
UZS,1.0,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.07349435962765097,0.18827090023668525,0.562319541987894,0.1367167403278433,-0.017338182334630442,-0.04113974141444787,0.7208399787347156,0.4096647663517293,0.028282828282828354,-0.06322238070019234
