scenario,clock,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,00:15,brier,20,-0.005976950857053845,-0.010394458449069277,-0.002680826277419513
calendar_assumed_replay,00:15,logloss,20,-0.021174730944829735,-0.0373424689650441,-0.00942308509601057
calendar_assumed_replay,00:15,auc,20,0.18852220238538406,0.091324218687458,0.3012398136183046
calendar_assumed_replay,00:15,brier,50,-0.005927562867332923,-0.010950833176751216,-0.0018495218845208275
calendar_assumed_replay,00:15,logloss,50,-0.0210032895793259,-0.03892819389104072,-0.006900937842952302
calendar_assumed_replay,00:15,auc,50,0.18111739657880457,0.07418589361108566,0.2851593999552004
calendar_assumed_replay,06:00,brier,20,-0.006002541498219491,-0.010109997134261337,-0.002780944681905663
calendar_assumed_replay,06:00,logloss,20,-0.02126053436176537,-0.03605791675808378,-0.009522477430460634
calendar_assumed_replay,06:00,auc,20,0.18684339668183775,0.08974713121893008,0.2913758195719893
calendar_assumed_replay,06:00,brier,50,-0.00603540920604029,-0.011532465712120219,-0.0017266076555389786
calendar_assumed_replay,06:00,logloss,50,-0.021415936953106816,-0.04097368237552819,-0.006196298808618834
calendar_assumed_replay,06:00,auc,50,0.18353655256714851,0.0721742068636581,0.29723155293598086
calendar_assumed_replay,09:15,brier,20,-0.00594099361586049,-0.010327646766755065,-0.0024625577148294736
calendar_assumed_replay,09:15,logloss,20,-0.021035266968949643,-0.03662991635150567,-0.009041002702514421
calendar_assumed_replay,09:15,auc,20,0.18605113281706073,0.09110929854471482,0.2911499635539358
calendar_assumed_replay,09:15,brier,50,-0.006043211557543718,-0.0114967326476433,-0.0016499382821127655
calendar_assumed_replay,09:15,logloss,50,-0.021358321445288785,-0.04119438540724956,-0.006030409358967225
calendar_assumed_replay,09:15,auc,50,0.18427430954059093,0.06590835650511079,0.3013041061790085
calendar_assumed_replay,10:15,brier,20,-0.0026065260653463946,-0.0047759866728335435,-0.0009707201188749568
calendar_assumed_replay,10:15,logloss,20,-0.009348404283001894,-0.01720535562439593,-0.0035001709163418474
calendar_assumed_replay,10:15,auc,20,0.07069772511329424,0.02960639019598492,0.12272702214435162
calendar_assumed_replay,10:15,brier,50,-0.002546279404473283,-0.004712692995715245,-0.0004896124692606871
calendar_assumed_replay,10:15,logloss,50,-0.009137547557301768,-0.016799425462497946,-0.0019504031631981898
calendar_assumed_replay,10:15,auc,50,0.06854580528189297,0.01985213417054765,0.1133491941394107
calendar_assumed_replay,10:45,brier,20,-0.002559526242724937,-0.0048019658055537895,-0.0007594683850990943
calendar_assumed_replay,10:45,logloss,20,-0.009166159827869322,-0.01724650670510787,-0.0027063382763260445
calendar_assumed_replay,10:45,auc,20,0.06351191262179534,0.02335713302678686,0.10860522568550465
calendar_assumed_replay,10:45,brier,50,-0.0025524684208434534,-0.004997154131372748,-0.0006170291146729795
calendar_assumed_replay,10:45,logloss,50,-0.009133094276537622,-0.017771082689720386,-0.0022419207545674156
calendar_assumed_replay,10:45,auc,50,0.06281170082747124,0.018927414011264916,0.11006667558329407
calendar_assumed_replay,11:45,brier,20,-0.002593890804684395,-0.004621701050188074,-0.0008320682854958738
calendar_assumed_replay,11:45,logloss,20,-0.009315587091033816,-0.017031317167803556,-0.002914764219027316
calendar_assumed_replay,11:45,auc,20,0.0609199130403936,0.02506334028984085,0.10261385918798667
calendar_assumed_replay,11:45,brier,50,-0.002544837343912579,-0.005128858838443535,-0.0004903628237527925
calendar_assumed_replay,11:45,logloss,50,-0.00912314054700618,-0.01829008637112389,-0.0018272178171918863
calendar_assumed_replay,11:45,auc,50,0.05813605976978935,0.014598710423178876,0.10147354215264373
calendar_assumed_replay,12:45,brier,20,-0.0025060418290405013,-0.004940670306249419,-0.0007344979331697696
calendar_assumed_replay,12:45,logloss,20,-0.008992123287965425,-0.017645036157541243,-0.0026422746992031234
calendar_assumed_replay,12:45,auc,20,0.05745129293576073,0.02275720376928234,0.10265158119250829
calendar_assumed_replay,12:45,brier,50,-0.0025835188745712188,-0.005079577390025042,-0.000605726298075354
calendar_assumed_replay,12:45,logloss,50,-0.009270454931780341,-0.01817142077849487,-0.0022911519735567755
calendar_assumed_replay,12:45,auc,50,0.057506737647833046,0.01739284007739456,0.10054362219820216
calendar_assumed_replay,13:45,brier,20,-0.0025026626148192486,-0.004579233615097424,-0.0008132224287526219
calendar_assumed_replay,13:45,logloss,20,-0.008961932661478579,-0.01660780514391169,-0.0028880501009022454
calendar_assumed_replay,13:45,auc,20,0.05666725944916455,0.022168664982573506,0.09662605940256763
calendar_assumed_replay,13:45,brier,50,-0.0026042994512229657,-0.005065774716536976,-0.0004902992084085751
calendar_assumed_replay,13:45,logloss,50,-0.009350024798135336,-0.018205357235355057,-0.001822661052643297
calendar_assumed_replay,13:45,auc,50,0.0564919690680079,0.015320765840946628,0.09537910635548497
calendar_assumed_replay,14:45,brier,20,-0.0025576689355851236,-0.004635675241713124,-0.0008150958924627738
calendar_assumed_replay,14:45,logloss,20,-0.009166667868841426,-0.016842588955435743,-0.002905844340898879
calendar_assumed_replay,14:45,auc,20,0.05581106610186623,0.02114561927373937,0.09719166123382088
calendar_assumed_replay,14:45,brier,50,-0.0025426512286712034,-0.004803820313929802,-0.0005188386928534059
calendar_assumed_replay,14:45,logloss,50,-0.009105598140473412,-0.017010919138950333,-0.0018997540039854645
calendar_assumed_replay,14:45,auc,50,0.053456585257933176,0.0158682761265186,0.0895767410452411
