scenario,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,brier,20,-0.004541566426936546,-0.007091058784952607,-0.002521981667918904
calendar_assumed_replay,logloss,20,-0.016294502686971867,-0.025698031379315762,-0.008899939049256504
calendar_assumed_replay,auc,20,0.10795498624347469,0.06605726816454335,0.1550201341670515
calendar_assumed_replay,brier,50,-0.004653978134929906,-0.007744441011929578,-0.002131512246834948
calendar_assumed_replay,logloss,50,-0.01667950408448668,-0.027717393095905957,-0.008149652073808085
calendar_assumed_replay,auc,50,0.1083590861561404,0.06540172748915371,0.1541532068266076
no_same_day_receipt,brier,20,-0.003047585309090257,-0.005462888721072829,-0.0011549264152686087
no_same_day_receipt,logloss,20,-0.010882991000932974,-0.019685678044348683,-0.004155836774337358
no_same_day_receipt,auc,20,0.07325379302865047,0.03173205687268181,0.12250391233540728
no_same_day_receipt,brier,50,-0.0030519348041614662,-0.0056953581685775054,-0.000788590310125823
no_same_day_receipt,logloss,50,-0.010888080969067215,-0.020376211516538272,-0.002850143888714239
no_same_day_receipt,auc,50,0.07206479157817909,0.022208541847860457,0.11987110367607419
