n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,rate_target,rolling_window,cooldown_days,year_lift_median,year_lift_positive,years,quarters,passed_2025
684,1.6148397976391233,0.3654970760233918,0.26782178217821784,1.3647025759098916,0.5680219311894559,33.9803632660937,1.342932011832066,1.329074957672772,1.5459154929577466,1.8168888888888888,1.2766164316966455,1.4873524451939293,1.8414839797639124,0.0,4.225,0.946980854197349,macro_full_hist_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.2766164316966455,0.35,120.0,0.0,1.342932011832066,2.0,2.0,7.0,False
494,1.1662731871838112,0.32186234817813764,0.26782178217821784,1.2017780837704954,0.5231778478489362,-12.114329883967478,1.1948675924420202,1.1572795423160385,1.1673239436619718,1.232,1.1943543772649248,1.1450252951096123,1.1804384485666106,0.9704545454545455,1.4717948717948717,0.8548057259713702,macro_full_hist,weekly,0.0,0,0,40,0.9,0.0,4,2,1.1943543772649248,,,,,,,,False
410,0.9679595278246207,0.3195121951219512,0.26782178217821784,1.193003020603219,0.5355500731747859,-13.262125859264831,1.1916468123786874,1.1392790262172285,0.9859154929577465,0.9955555555555554,1.099375125982665,0.9679595278246207,0.9679595278246207,0.875,1.0769230769230769,0.782716049382716,macro_old_reset,weekly,0.0,0,0,20,0.9,0.0,4,1,1.099375125982665,,,,,,,,False
500,1.1804384485666106,0.316,0.26782178217821784,1.1798890942698705,0.5261048392841743,-8.301702441340483,1.1891833886687133,1.152025372542618,1.1635555555555555,1.2343661971830986,1.1014739712021813,1.1450252951096123,1.2158516020236088,0.9955555555555555,1.4923076923076921,0.7616161616161616,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1014739712021813,,,,,,,,False
703,1.6596964586846543,0.3157894736842105,0.26782178217821784,1.1791030255861463,0.5582330070150312,9.00507509655979,1.182770572549006,1.0144037800396295,1.6924444444444442,1.6997183098591548,1.0556635877491491,1.5935919055649241,1.7352445193929176,0.2863636363636364,3.5999999999999996,0.9097421203438395,macro_old_anchor,rolling,0.3,60,0,0,0.0,0.0,0,0,1.0556635877491491,0.3,60.0,0.0,1.182770572549006,2.0,2.0,7.0,False
405,0.9561551433389546,0.3111111111111111,0.26782178217821784,1.1616348326144998,0.5224092313960449,-19.344792210357898,1.1583479891997808,1.1392790262172285,0.9661971830985915,0.9955555555555554,1.0861296425370905,0.9443507588532885,0.9797639123102867,0.8272727272727273,1.0888888888888888,0.7825,macro_resolved_hist,weekly,0.0,0,0,40,0.85,0.0,4,1,1.0861296425370905,,,,,,,,False
648,1.5298482293423272,0.3132716049382716,0.26782178217821784,1.1697017411743227,0.5508017981875649,11.925057381171708,1.156518043048897,1.0211849908759123,1.5143661971830984,1.6426666666666665,1.077894188846229,1.4401349072512648,1.581787521079258,0.07954545454545454,3.2615384615384615,0.9129082426127527,macro_full_hist_anchor25,rolling,0.25,60,0,0,0.0,0.0,0,0,1.077894188846229,0.25,60.0,0.0,1.156518043048897,2.0,2.0,7.0,False
763,1.8013490725126475,0.30930537352555704,0.26782178217821784,1.1548925222211186,0.5448003409407616,-1.0307276272408912,1.1313720642996734,1.0118426932816922,1.7391549295774649,2.0035555555555558,1.0508203281312525,1.6290050590219225,1.888701517706577,0.4666666666666667,3.875,0.9300791556728232,macro_resolved_hist_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,1.0508203281312525,0.3,60.0,0.0,1.1313720642996734,2.0,2.0,7.0,False
530,1.2512647554806071,0.29245283018867924,0.26782178217821784,1.0919680535695602,0.5362611996165667,-21.627712494279336,1.1087016995567158,1.1070559610705595,1.1697777777777778,1.3487323943661973,1.0207968901846454,1.2276559865092749,1.2866779089376055,1.0,1.7051282051282053,0.8552380952380952,macro_compact_hist,weekly,0.0,0,0,60,0.8,0.0,4,2,1.0207968901846454,,,,,,,,False
413,0.9750421585160203,0.288135593220339,0.26782178217821784,1.0758482408596761,0.5204376989498075,-17.4074061880454,1.07625864688664,1.0657771535580525,0.9955555555555554,0.9977464788732394,1.0056755949417506,0.9679595278246207,0.9797639123102867,0.875,1.0888888888888888,0.7377450980392157,macro_tree_consensus,weekly,0.0,0,0,20,0.75,0.0,4,1,1.0056755949417506,,,,,,,,False
513,1.2111298482293424,0.2884990253411306,0.26782178217821784,1.0772052332515412,0.5619998525256237,15.485946144910496,1.0583455050131432,0.9680105814921863,1.1752112676056339,1.3377777777777777,0.9699048272314156,1.1568296795952784,1.2866779089376055,0.6461538461538462,1.65,0.8228346456692913,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,0.9699048272314156,,,,,,,,False
514,1.2134907251264757,0.2782101167315175,0.26782178217821784,1.0387882362248897,0.5468212398095831,-17.695675865079014,1.0551841572064198,1.013799835821889,1.151111111111111,1.2974647887323942,0.9820126397666505,1.2040472175379429,1.2276559865092749,1.025,1.5794871794871796,0.862475442043222,macro_compact_xgb,weekly,0.0,0,0,60,0.85,0.0,4,2,0.9820126397666505,,,,,,,,False
485,1.1450252951096123,0.27422680412371137,0.26782178217821784,1.0239152390571107,0.5312376974500681,-24.049084132456265,1.032061613773203,0.9817879598178796,1.1324444444444444,1.1949295774647888,0.8944936465152099,1.1332209106239461,1.1568296795952784,1.0181818181818183,1.6153846153846154,0.8666666666666667,macro_boost_consensus,weekly,0.0,0,0,60,0.9,0.0,4,2,0.8944936465152099,,,,,,,,False
622,1.4684654300168636,0.2717041800643087,0.26782178217821784,1.0144961991310602,0.5351782627768426,-10.82494150316148,1.022608314241422,0.9317414511778795,1.462222222222222,1.5261971830985916,0.9234285714285715,1.4283305227655987,1.5227655986509276,1.4,1.6545454545454545,0.8914100486223663,macro_resolved_extra,weekly,0.0,0,0,10,0.8,0.0,3,2,0.9234285714285715,,,,,,,,False
901,2.127150084317032,0.2619311875693674,0.26782178217821784,0.9780055432349761,0.5485959314569094,-15.521574943226778,1.0021583071693791,0.948905109489051,1.9413333333333331,2.3228169014084505,0.801545449798987,2.1129848229342327,2.136593591905565,0.7636363636363637,3.2666666666666666,0.9162946428571429,macro_only_logit,rolling,0.35,40,0,0,0.0,0.0,0,0,0.801545449798987,0.35,40.0,0.0,1.0021583071693791,1.0,2.0,7.0,False
413,0.9750421585160203,0.26150121065375304,0.26782178217821784,0.9764000841415548,0.5379215361330969,-21.436221494082687,0.9756057353841542,0.9495894107520879,0.9938028169014084,1.0017777777777779,0.9252215473464105,0.9679595278246207,0.9797639123102867,0.9,1.0888888888888888,0.7696078431372549,macro_compact_extra,weekly,0.0,0,0,20,0.75,0.0,4,1,0.9252215473464105,,,,,,,,False
408,0.9632377740303542,0.23529411764705882,0.26782178217821784,0.8785473523975209,0.5366630048029155,-29.85470655440446,0.8885476119793201,0.8281901144695891,0.8835555555555554,1.0490140845070424,0.8143519451723443,0.9325463743676223,1.003372681281619,0.55,1.2564102564102564,0.7344913151364765,macro_compact_cat,weekly,0.0,0,0,20,0.9,0.3,4,2,0.8143519451723443,,,,,,,,False
