n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,clears_1p30_gate,rate_target,rolling_window,cooldown_days,year_lift_median,year_lift_positive,years,quarters
250,0.9859154929577465,0.276,0.22186234817813766,1.244014598540146,0.483156991272777,-29.08147497802741,1.244014598540146,1.244014598540146,0.9859154929577465,0.9859154929577465,1.1828169014084509,0.9859154929577465,0.9859154929577465,0.875,1.0769230769230769,0.7877551020408163,macro_old_reset,weekly,0.0,0,0,20,0.9,0.0,4,1,1.1828169014084509,False,,,,,,,
392,1.5459154929577466,0.3010204081632653,0.22186234817813766,1.35678906599136,0.49326089763552255,4.46846380798216,1.35678906599136,1.35678906599136,1.5459154929577466,1.5459154929577466,1.181304347826087,1.2816901408450705,1.8140845070422535,0.0,3.8461538461538463,0.9689922480620154,macro_full_hist_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.181304347826087,False,0.35,120.0,0.0,1.35678906599136,1.0,1.0,4.0
313,1.2343661971830986,0.25559105431309903,0.22186234817813766,1.152025372542618,0.5027761531859302,-32.538686824765165,1.152025372542618,1.152025372542618,1.2343661971830986,1.2343661971830986,1.1016431924882628,1.1830985915492958,1.2816901408450705,1.0461538461538462,1.4923076923076921,0.7435064935064936,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1016431924882628,False,,,,,,,
245,0.9661971830985915,0.2612244897959184,0.22186234817813766,1.1774169521823328,0.4983024070121604,-41.93818942873305,1.1774169521823328,1.1774169521823328,0.9661971830985915,0.9661971830985915,1.0914112123722728,0.9464788732394366,1.0056338028169014,0.8272727272727273,1.0769230769230769,0.7875,macro_resolved_hist,weekly,0.0,0,0,40,0.85,0.0,4,1,1.0914112123722728,False,,,,,,,
296,1.1673239436619718,0.25675675675675674,0.22186234817813766,1.1572795423160385,0.47522729516850604,-40.24648002846705,1.1572795423160385,1.1572795423160385,1.1673239436619718,1.1673239436619718,1.0853735091023227,1.143661971830986,1.1830985915492958,0.9704545454545455,1.4717948717948717,0.865979381443299,macro_full_hist,weekly,0.0,0,0,40,0.9,0.0,4,2,1.0853735091023227,False,,,,,,,
342,1.3487323943661973,0.24561403508771928,0.22186234817813766,1.1070559610705595,0.5364014066855541,-45.086957473459705,1.1070559610705595,1.1070559610705595,1.3487323943661973,1.3487323943661973,0.9663536776212832,1.3211267605633803,1.4,1.1772727272727272,1.7051282051282053,0.887240356083086,macro_compact_hist,weekly,0.0,0,0,60,0.8,0.0,4,2,0.9663536776212832,False,,,,,,,
329,1.2974647887323942,0.22492401215805471,0.22186234817813766,1.013799835821889,0.5384540890343847,-43.69407818550789,1.013799835821889,1.013799835821889,1.2974647887323942,1.2974647887323942,0.9487836107554417,1.2619718309859154,1.3211267605633803,1.0818181818181818,1.5794871794871796,0.8580246913580247,macro_compact_xgb,weekly,0.0,0,0,60,0.85,0.0,4,2,0.9487836107554417,False,,,,,,,
431,1.6997183098591548,0.22505800464037123,0.22186234817813766,1.0144037800396295,0.49128037248304307,-27.72617504077114,1.0144037800396295,1.0144037800396295,1.6997183098591548,1.6997183098591548,0.9197021207706007,1.6169014084507043,1.8535211267605634,0.2863636363636364,3.5999999999999996,0.9154929577464789,macro_old_anchor,rolling,0.3,60,0,0,0.0,0.0,0,0,0.9197021207706007,False,0.3,60.0,0.0,1.0144037800396295,1.0,1.0,4.0
384,1.5143661971830984,0.2265625,0.22186234817813766,1.0211849908759123,0.47984155798780165,-24.71990234682038,1.0211849908759123,1.0211849908759123,1.5143661971830984,1.5143661971830984,0.9036034388147064,1.43943661971831,1.6169014084507043,0.07954545454545454,3.2615384615384615,0.9155672823218998,macro_full_hist_anchor25,rolling,0.25,60,0,0,0.0,0.0,0,0,0.9036034388147064,False,0.25,60.0,0.0,1.0211849908759123,1.0,1.0,4.0
253,0.9977464788732394,0.24110671936758893,0.22186234817813766,1.0867401402152275,0.5508822166690719,-38.6420039626497,1.0867401402152275,1.0867401402152275,0.9977464788732394,0.9977464788732394,0.896877269426289,0.9859154929577465,1.0056338028169014,0.9386363636363637,1.0769230769230769,0.7620967741935484,macro_tree_consensus,weekly,0.0,0,0,20,0.75,0.0,4,1,0.896877269426289,False,,,,,,,
252,0.9938028169014084,0.2222222222222222,0.22186234817813766,1.0016220600162205,0.558944833924516,-44.17472838724625,1.0016220600162205,1.0016220600162205,0.9938028169014084,0.9938028169014084,0.8867716100524716,0.9859154929577465,1.0056338028169014,0.9704545454545455,1.0769230769230769,0.7894736842105263,macro_compact_extra,weekly,0.0,0,0,20,0.75,0.0,4,1,0.8867716100524716,False,,,,,,,
266,1.0490140845070424,0.21052631578947367,0.22186234817813766,0.948905109489051,0.5184456580356532,-49.81463466422921,0.948905109489051,0.948905109489051,1.0490140845070424,1.0490140845070424,0.869718309859155,1.0056338028169014,1.084507042253521,0.9386363636363637,1.2564102564102564,0.7432950191570882,macro_compact_cat,weekly,0.0,0,0,20,0.9,0.3,4,2,0.869718309859155,False,,,,,,,
441,1.7391549295774649,0.22448979591836735,0.22186234817813766,1.0118426932816922,0.5027267824726372,-44.08011140300236,1.0118426932816922,1.0118426932816922,1.7391549295774649,1.7391549295774649,0.8616279069767442,1.5380281690140845,1.971830985915493,0.5727272727272728,3.3025641025641024,0.9220183486238532,macro_resolved_hist_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,0.8616279069767442,False,0.3,60.0,0.0,1.0118426932816922,1.0,1.0,4.0
387,1.5261971830985916,0.20671834625322996,0.22186234817813766,0.9317414511778795,0.5354177901668731,-32.022658021928315,0.9317414511778795,0.9317414511778795,1.5261971830985916,1.5261971830985916,0.834025974025974,1.4591549295774648,1.5971830985915492,1.4,1.6545454545454545,0.8979057591623036,macro_resolved_extra,weekly,0.0,0,0,10,0.8,0.0,3,2,0.834025974025974,False,,,,,,,
303,1.1949295774647888,0.21782178217821782,0.22186234817813766,0.9817879598178796,0.5296015403662547,-56.63753696994404,0.9817879598178796,0.9817879598178796,1.1949295774647888,1.1949295774647888,0.8248330297510625,1.1633802816901408,1.2225352112676056,1.0181818181818183,1.6153846153846154,0.8489932885906041,macro_boost_consensus,weekly,0.0,0,0,60,0.9,0.0,4,2,0.8248330297510625,False,,,,,,,
589,2.3228169014084505,0.21052631578947367,0.22186234817813766,0.948905109489051,0.49734157697653747,-30.69048066024537,0.948905109489051,0.948905109489051,2.3228169014084505,2.3228169014084505,0.8185584092792046,2.287323943661972,2.3464788732394366,1.4318181818181819,3.0,0.9058219178082192,macro_only_logit,rolling,0.35,40,0,0,0.0,0.0,0,0,0.8185584092792046,False,0.35,40.0,0.0,0.948905109489051,0.0,1.0,4.0
298,1.1752112676056339,0.21476510067114093,0.22186234817813766,0.9680105814921863,0.5162011894544157,-14.799247776352585,0.9680105814921863,0.9680105814921863,1.1752112676056339,1.1752112676056339,0.8110447761194031,1.084507042253521,1.3211267605633803,0.6461538461538462,1.6,0.8020477815699659,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,0.8110447761194031,False,,,,,,,
