n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,rate_target,rolling_window,cooldown_days,year_lift_median,year_lift_positive,years,quarters,passed_2025
272,1.6924444444444442,0.45955882352941174,0.3401273885350318,1.3511373650583829,0.591199947941521,67.20790160093344,1.3511373650583829,1.3511373650583829,1.6924444444444442,1.6924444444444442,1.2816326530612245,1.4933333333333332,1.9599999999999997,0.7155555555555555,3.15,0.9176029962546817,macro_old_anchor,rolling,0.3,60,0,0,0.0,0.0,0,0,1.2816326530612245,0.3,60.0,0.0,1.3511373650583829,1.0,1.0,3.0,False
292,1.8168888888888888,0.4520547945205479,0.3401273885350318,1.329074957672772,0.5924869492285223,73.59907760712015,1.329074957672772,1.329074957672772,1.8168888888888888,1.8168888888888888,1.2441509433962266,1.6488888888888886,1.9911111111111108,0.42,4.225,0.9337979094076655,macro_full_hist_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.2441509433962266,0.35,120.0,0.0,1.329074957672772,1.0,1.0,3.0,False
264,1.6426666666666665,0.4393939393939394,0.3401273885350318,1.2918510952218818,0.5863122351886397,65.22681698552384,1.2918510952218818,1.2918510952218818,1.6426666666666665,1.6426666666666665,1.2182860998650473,1.462222222222222,1.8044444444444443,0.5288888888888889,2.95,0.9266409266409267,macro_full_hist_anchor25,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2182860998650473,0.25,60.0,0.0,1.2918510952218818,1.0,1.0,3.0,False
322,2.0035555555555558,0.4254658385093168,0.3401273885350318,1.2509014353176544,0.5886765577776814,57.92821102217156,1.2509014353176544,1.2509014353176544,2.0035555555555558,2.0035555555555558,1.171641791044776,1.8666666666666665,2.1777777777777776,0.4666666666666667,3.875,0.9558359621451105,macro_resolved_hist_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,1.171641791044776,0.3,60.0,0.0,1.2509014353176544,1.0,1.0,3.0,False
198,1.232,0.41919191919191917,0.3401273885350318,1.2324556425680022,0.5710598238688127,29.941813766395516,1.2324556425680022,1.2324556425680022,1.232,1.232,1.159741458910434,1.182222222222222,1.2755555555555553,1.1,1.3222222222222222,0.8601036269430051,macro_full_hist,weekly,0.0,0,0,40,0.9,0.0,4,2,1.159741458910434,,,,,,,,False
215,1.3377777777777777,0.39069767441860465,0.3401273885350318,1.1486804285341,0.5777117406330889,57.462633533451886,1.1486804285341,1.1486804285341,1.3377777777777777,1.3377777777777777,1.114870509607352,1.3066666666666666,1.3688888888888888,1.1199999999999999,1.65,0.8714285714285714,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,1.114870509607352,,,,,,,,False
187,1.1635555555555555,0.41711229946524064,0.3401273885350318,1.2263414047948087,0.5625352479285064,32.26608425391046,1.2263414047948087,1.2263414047948087,1.1635555555555555,1.1635555555555555,1.1032432432432433,1.0888888888888888,1.2133333333333332,0.9955555555555555,1.325,0.8131868131868132,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1032432432432433,,,,,,,,False
160,0.9955555555555554,0.3875,0.3401273885350318,1.1392790262172285,0.5763524359029977,15.25134728027904,1.1392790262172285,1.1392790262172285,0.9955555555555554,0.9955555555555554,1.0630208333333333,0.9955555555555554,0.9955555555555554,0.875,1.0888888888888888,0.8,macro_resolved_hist,weekly,0.0,0,0,40,0.85,0.0,4,1,1.0630208333333333,,,,,,,,False
185,1.151111111111111,0.372972972972973,0.3401273885350318,1.0965684785909506,0.5895875811606148,28.539320693953975,1.0965684785909506,1.0965684785909506,1.151111111111111,1.151111111111111,1.0466666666666666,1.1199999999999999,1.182222222222222,1.025,1.291111111111111,0.8944444444444445,macro_compact_xgb,weekly,0.0,0,0,60,0.85,0.0,4,2,1.0466666666666666,,,,,,,,False
235,1.462222222222222,0.37872340425531914,0.3401273885350318,1.1134751773049645,0.6009139155206571,24.08363846604179,1.1134751773049645,1.1134751773049645,1.462222222222222,1.462222222222222,1.0221354166666667,1.3377777777777777,1.5555555555555554,1.45,1.5090909090909093,0.9,macro_resolved_extra,weekly,0.0,0,0,10,0.8,0.0,3,2,1.0221354166666667,,,,,,,,False
188,1.1697777777777778,0.3776595744680851,0.3401273885350318,1.1103474380428722,0.5633631223518863,21.048148052953046,1.1103474380428722,1.1103474380428722,1.1697777777777778,1.1697777777777778,1.0175925925925926,1.1199999999999999,1.2444444444444442,1.0,1.3066666666666666,0.819672131147541,macro_compact_hist,weekly,0.0,0,0,60,0.8,0.0,4,2,1.0175925925925926,,,,,,,,False
160,0.9955555555555554,0.3875,0.3401273885350318,1.1392790262172285,0.5723649010165864,11.455607138801701,1.1392790262172285,1.1392790262172285,0.9955555555555554,0.9955555555555554,0.9812500000000001,0.9955555555555554,0.9955555555555554,1.0,1.011111111111111,0.8,macro_old_reset,weekly,0.0,0,0,20,0.9,0.0,4,1,0.9812500000000001,,,,,,,,False
160,0.9955555555555554,0.3625,0.3401273885350318,1.0657771535580525,0.5674410365421602,16.169801543047676,1.0657771535580525,1.0657771535580525,0.9955555555555554,0.9955555555555554,0.98125,0.9955555555555554,0.9955555555555554,0.875,1.0888888888888888,0.7225806451612903,macro_tree_consensus,weekly,0.0,0,0,20,0.75,0.0,4,1,0.98125,,,,,,,,False
182,1.1324444444444444,0.36813186813186816,0.3401273885350318,1.0823352677285263,0.5783046288664265,30.20531811896567,1.0823352677285263,1.0823352677285263,1.1324444444444444,1.1324444444444444,0.9792099792099793,1.1199999999999999,1.151111111111111,1.025,1.2444444444444445,0.9209039548022598,macro_boost_consensus,weekly,0.0,0,0,60,0.9,0.0,4,2,0.9792099792099793,,,,,,,,False
161,1.0017777777777779,0.32298136645962733,0.3401273885350318,0.9495894107520879,0.5694474570879066,14.154484947390719,0.9495894107520879,0.9495894107520879,1.0017777777777779,1.0017777777777779,0.9181286549707602,0.9955555555555554,1.0266666666666666,0.9,1.0888888888888888,0.7628205128205128,macro_compact_extra,weekly,0.0,0,0,20,0.75,0.0,4,1,0.9181286549707602,,,,,,,,False
312,1.9413333333333331,0.358974358974359,0.3401273885350318,1.0554115048497072,0.5914638555087993,13.114596426401262,1.0554115048497072,1.0554115048497072,1.9413333333333331,1.9413333333333331,0.7432470064049012,1.9288888888888887,1.9599999999999997,0.7636363636363637,3.2666666666666666,0.9511400651465798,macro_only_logit,rolling,0.35,40,0,0,0.0,0.0,0,0,0.7432470064049012,0.35,40.0,0.0,1.0554115048497072,1.0,1.0,3.0,False
142,0.8835555555555554,0.28169014084507044,0.3401273885350318,0.8281901144695891,0.5749931311729064,7.535017933013726,0.8281901144695891,0.8281901144695891,0.8835555555555554,0.8835555555555554,0.714100064977258,0.84,0.9333333333333332,0.55,1.0577777777777777,0.7445255474452555,macro_compact_cat,weekly,0.0,0,0,20,0.9,0.3,4,2,0.714100064977258,,,,,,,,False
