n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,period,candidate,history,strong,late,late_weekday,weekly_cap
296,1.1706214689265537,0.34121621621621623,0.3379032258064516,1.0098045539572986,0.5678722903264254,6.78189163957456,1.0098045539572986,1.0098045539572986,1.1706214689265537,1.1706214689265537,0.9075500770416024,1.1073446327683616,1.265536723163842,0.8494382022471911,1.6704545454545454,0.7663230240549829,screen_2024,macro_full_hist_anchor50,20,0.9,0.3,4,2
291,1.1476056338028169,0.26804123711340205,0.22186234817813766,1.208142072390699,0.49326089763552255,-19.562405773832435,1.208142072390699,1.208142072390699,1.1476056338028169,1.1476056338028169,1.1016431924882628,1.1042253521126761,1.1830985915492958,1.0181818181818183,1.353846153846154,0.7412587412587412,confirmation_2025,macro_full_hist_anchor50,20,0.9,0.3,4,2
161,1.0017777777777779,0.4472049689440994,0.3401273885350318,1.3148161071951987,0.5924869492285223,57.298348610168,1.3148161071951987,1.3148161071951987,1.0017777777777779,1.0017777777777779,1.2211111111111113,0.9022222222222221,1.1199999999999999,0.9,1.1636363636363638,0.7564102564102564,audit_2026,macro_full_hist_anchor50,20,0.9,0.3,4,2
452,1.067116357504216,0.33185840707964603,0.26782178217821784,1.2391016308703973,0.5680219311894559,7.814986827548251,1.2614790897929489,1.208142072390699,1.0017777777777779,1.1476056338028169,1.1477272727272727,1.026981450252951,1.1332209106239461,0.9,1.353846153846154,0.738255033557047,combined_2025_2026,macro_full_hist_anchor50,20,0.9,0.3,4,2
