candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals,period
incumbent,1,1.6320081831250692,0.46343463332137547,1.6356200452647034,18.45935618673006,66.6909721255278,316,retrospective_2025
incumbent,3,2.036264528335886,0.2844001434940809,2.0371470876551543,34.24545115341266,70.17735775246841,316,retrospective_2025
incumbent,5,2.065574715958244,0.22214677394557478,2.0719428304409515,41.07254728398513,64.1844585857615,316,retrospective_2025
incumbent,10,2.164786532454009,0.14764515963716496,2.164989967566919,49.02196414868605,45.90956617704427,316,retrospective_2025
incumbent,20,2.132987910189983,0.09643570952698201,2.1024480517572797,62.98428476592117,10.081362220821005,316,retrospective_2025
futures,1,1.6290965585976431,0.4634676520935793,1.6341437000882764,12.526411398813561,61.972041364042354,298,retrospective_2025
futures,3,1.8642399923569315,0.2844061625410972,1.8749876746566922,16.603632287731706,54.900720744917855,298,retrospective_2025
futures,5,1.769254316150361,0.2219112572344646,1.7876346395241627,15.043323187095336,43.95105706976061,298,retrospective_2025
futures,10,1.6853849700322727,0.14733853218487625,1.701663401474462,14.568861224918875,14.46619112958185,298,retrospective_2025
futures,20,1.4971807160981112,0.09637801266201125,1.5000998240364016,22.83173209506115,-26.078793207772925,298,retrospective_2025
selected,1,1.6290965585976431,0.4634676520935793,1.6341437000882764,12.526411398813561,61.972041364042354,298,retrospective_2025
selected,3,1.8642399923569315,0.2844061625410972,1.8749876746566922,16.603632287731706,54.900720744917855,298,retrospective_2025
selected,5,1.769254316150361,0.2219112572344646,1.7876346395241627,15.043323187095336,43.95105706976061,298,retrospective_2025
selected,10,1.6853849700322727,0.14733853218487625,1.701663401474462,14.568861224918875,14.46619112958185,298,retrospective_2025
selected,20,1.4971807160981112,0.09637801266201125,1.5000998240364016,22.83173209506115,-26.078793207772925,298,retrospective_2025
best_online,1,1.6569433370906992,0.46307896009981414,1.6611141508679836,15.726099894115755,65.51378443153989,318,retrospective_2025
best_online,3,2.014880552193985,0.2840501107631197,2.020988392210777,27.55016839038847,64.93488898488484,318,retrospective_2025
best_online,5,2.0279611873456966,0.2217426730832888,2.0429831230899653,31.857536586210173,59.444197038668754,318,retrospective_2025
best_online,10,2.0709655112801455,0.14728948641560358,2.0899211744204034,39.27523720494635,39.029594307629225,318,retrospective_2025
best_online,20,1.9286659608258334,0.09619840602958776,1.9509326867626602,53.015472505516264,3.5678992466212067,318,retrospective_2025
best_online_stale20,1,1.465359477124183,0.46279491833030856,1.4668610272082143,6.855276360968341,44.76749476408391,348,retrospective_2025
best_online_stale20,3,1.6903249600458956,0.2839010656615013,1.6903107114532403,11.952340459594994,38.47908087819786,348,retrospective_2025
best_online_stale20,5,1.6723350653440403,0.2216599190283401,1.6822634883273058,13.44544338082425,26.569991769480374,348,retrospective_2025
best_online_stale20,10,1.775995575221239,0.14723812182977336,1.7779389386378839,18.059604203701802,12.304755504115912,348,retrospective_2025
best_online_stale20,20,1.6418902586415278,0.09625855088650007,1.6757530160860228,30.287447807489826,-12.553784714897324,348,retrospective_2025
matched_stale20,1,1.0833040041151147,0.46441773329645186,1.0824880977672575,-12.992572883626949,-4.407637211389657,322,retrospective_2025
matched_stale20,3,1.1210452101877146,0.2853370885407499,1.117109318988322,-25.85669991424148,-15.700550370495424,322,retrospective_2025
matched_stale20,5,1.0012385992568404,0.22332587321145675,1.0025039419761161,-31.872131373352875,-30.582911915876483,322,retrospective_2025
matched_stale20,10,1.002536783358701,0.14869112580783064,0.9719416682351465,-31.563024957116706,-41.14914668959868,322,retrospective_2025
matched_stale20,20,1.0227743271221532,0.09716599190283401,1.0120816864295126,-22.286399353571944,-54.00465324357838,322,retrospective_2025
incumbent,1,1.612046152217635,0.5495157490620365,1.6197286807965927,17.35559496507539,75.46700153640572,219,retrospective_2026
incumbent,3,1.7884643114635903,0.4033970276008493,1.792033386814498,27.082538428996706,97.80766158055724,219,retrospective_2026
incumbent,5,1.8030510798765853,0.33935375039990695,1.8096384650119777,33.91184360769942,115.74108977325565,219,retrospective_2026
incumbent,10,1.7482325630473778,0.29134899163797345,1.7550509902993494,44.1879314135016,149.0058434424759,214,retrospective_2026
incumbent,20,1.7154362416107383,0.2459286971830986,1.7220429717577428,82.34207651596454,193.49728753618788,192,retrospective_2026
futures,1,1.575943558563726,0.5497256732042631,1.5845387350157523,17.303901249807048,78.40359121788136,202,retrospective_2026
futures,3,1.7050550824283146,0.4035757078892603,1.7079002923577211,25.13030300816051,93.73116107007621,202,retrospective_2026
futures,5,1.6472609099350048,0.3395976540329192,1.6494209002866438,30.30002941963896,104.10735495410053,202,retrospective_2026
futures,10,1.5492441594136512,0.2916110072134651,1.5497147511214444,33.5327184613871,121.29410305711588,197,retrospective_2026
futures,20,1.556638246041413,0.2460293676955349,1.5606052313904608,63.0213321716131,143.92092088003133,188,retrospective_2026
selected,1,1.575943558563726,0.5497256732042631,1.5845387350157523,17.303901249807048,78.40359121788136,202,retrospective_2026
selected,3,1.7050550824283146,0.4035757078892603,1.7079002923577211,25.13030300816051,93.73116107007621,202,retrospective_2026
selected,5,1.6472609099350048,0.3395976540329192,1.6494209002866438,30.30002941963896,104.10735495410053,202,retrospective_2026
selected,10,1.5492441594136512,0.2916110072134651,1.5497147511214444,33.5327184613871,121.29410305711588,197,retrospective_2026
selected,20,1.556638246041413,0.2460293676955349,1.5606052313904608,63.0213321716131,143.92092088003133,188,retrospective_2026
best_online,1,1.624885004599816,0.5511297018094242,1.6375516518467095,21.953176113585915,82.77417632611576,201,retrospective_2026
best_online,3,1.8220026660393633,0.40412586747789714,1.8294257811474999,34.946922178700525,103.75627158936199,201,retrospective_2026
best_online,5,1.8413850879642562,0.34043159996197353,1.8493027467825285,45.65379435643402,122.06130904131143,201,retrospective_2026
best_online,10,1.7798186201354607,0.29239393125671326,1.785148134623866,57.45998265215809,153.23935063657333,196,retrospective_2026
best_online,20,1.7298141496173667,0.24640190872008005,1.7345501264431658,84.95785923310531,175.4934608823363,183,retrospective_2026
best_online_stale20,1,1.4398324851569126,0.5511599368900836,1.4423949941731977,6.590540867924461,62.768075480035485,218,retrospective_2026
best_online_stale20,3,1.5886094246892164,0.40425407584877,1.5873384630229022,11.664422120524339,89.6223528418312,218,retrospective_2026
best_online_stale20,5,1.561251607372482,0.34082276631800384,1.552321429683438,14.28194574053129,108.84681336084009,218,retrospective_2026
best_online_stale20,10,1.4639602319801157,0.2927479990298327,1.4503708365210675,8.136168957917045,135.58185784351102,217,retrospective_2026
best_online_stale20,20,1.19698314108252,0.24673429176092826,1.1869296540248646,23.45346882184116,163.80971911980194,193,retrospective_2026
matched_stale20,1,1.0973265769701206,0.5502223290469895,1.0960480783726378,-8.180840470236886,16.96593383411568,265,retrospective_2026
