rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,329,1.301129943502825,60,0,0.43465045592705165,0.3379032258064516,1.2863163850824442,0.5729784098209588,45.85841924141498,1.2863163850824442,1.2863163850824442,1,1,1.2457627118644068,1.364406779661017,1.1980676328502415,0.9320987654320988,1.2863163850824442,1.301129943502825,1.301129943502825,0.7078651685393259,2.115909090909091,4,primary80_target_panel_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1980676328502415,5
0.22,321,1.2659154929577465,60,0,0.32398753894080995,0.22186234817813766,1.460308797780658,0.6254130050054307,-5.6706669653412405,1.460308797780658,1.460308797780658,1,1,1.1042253521126761,1.4,1.3045774647887325,0.8639240506329114,1.460308797780658,1.2659154929577465,1.2659154929577465,0.49230769230769234,2.7461538461538466,4,primary80_target_panel_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3045774647887325,5
0.22,229,1.4248888888888886,60,0,0.462882096069869,0.3401273885350318,1.3609080352616,0.5632980492531054,78.66913347738156,1.3609080352616,1.3609080352616,1,1,1.3377777777777777,1.462222222222222,1.2847790507364976,0.9375,1.3609080352616,1.4248888888888886,1.4248888888888886,0.18666666666666665,2.4,3,primary80_target_panel_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2847790507364976,5
0.22,550,1.2984822934232716,60,0,0.38181818181818183,0.26782178217821784,1.4256427491177952,0.6103170824069317,29.445359037174256,1.3609080352616,1.410608416521129,2,2,1.2158516020236088,1.3693086003372683,1.329053999839525,0.8862385321100917,1.410608416521129,1.2659154929577465,1.4248888888888886,0.18666666666666665,2.7461538461538466,7,primary80_target_panel_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.329053999839525,5
0.22,325,1.2853107344632768,60,0,0.4369230769230769,0.3379032258064516,1.2930420414907289,0.5723679429300667,47.31548287243758,1.2930420414907289,1.2930420414907289,1,1,1.225988700564972,1.344632768361582,1.2156862745098038,0.928125,1.2930420414907289,1.2853107344632768,1.2853107344632768,0.6764044943820224,2.084090909090909,4,primary75_target_panel_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2156862745098038,4
0.22,325,1.2816901408450705,60,0,0.3169230769230769,0.22186234817813766,1.4284671532846716,0.6251642525653782,-12.341696544243607,1.4284671532846716,1.4284671532846716,1,1,1.1633802816901408,1.36056338028169,1.2382430174265935,0.884375,1.4284671532846716,1.2816901408450705,1.2816901408450705,0.46153846153846156,2.88974358974359,4,primary75_target_panel_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2382430174265935,4
0.22,230,1.431111111111111,60,0,0.4652173913043478,0.3401273885350318,1.3677739781794496,0.5645488988185617,79.69987458984285,1.3677739781794496,1.3677739781794496,1,1,1.3066666666666666,1.4933333333333332,1.2847790507364976,0.9377777777777778,1.3677739781794496,1.431111111111111,1.431111111111111,0.17111111111111113,2.4,3,primary75_target_panel_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2847790507364976,4
0.22,555,1.3102866779089377,60,0,0.3783783783783784,0.26782178217821784,1.4127991207473647,0.6094141142976408,25.8016572590715,1.3677739781794496,1.3981205657320606,2,2,1.2630691399662732,1.3575042158516022,1.2793697381632811,0.8981818181818182,1.3981205657320606,1.2816901408450705,1.431111111111111,0.17111111111111113,2.88974358974359,7,primary75_target_panel_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2793697381632811,4
0.22,324,1.2813559322033898,60,0,0.4351851851851852,0.3379032258064516,1.287898877397684,0.5705888679908953,46.87651723803836,1.287898877397684,1.287898877397684,1,1,1.2457627118644068,1.305084745762712,1.1777476255088195,0.9247648902821317,1.287898877397684,1.2813559322033898,1.2813559322033898,0.6449438202247191,2.0681818181818183,4,primary67_target_panel_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1777476255088195,8
0.22,329,1.2974647887323942,60,0,0.3100303951367781,0.22186234817813766,1.3973997737004413,0.6244521749698079,-15.637192225467748,1.3973997737004413,1.3973997737004413,1,1,1.1633802816901408,1.4197183098591548,1.1203151110050131,0.8919753086419753,1.3973997737004413,1.2974647887323942,1.2974647887323942,0.4,2.9615384615384617,4,primary67_target_panel_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1203151110050131,8
