candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,period
primary67_target_panel_xgb,318,1.2756507368131111,0.9821033375320916,1.6064080289043734,0.03499125218695326,-68.27275527045865,40.34802956028881,2025
primary75_target_panel_xgb,324,1.307673245021177,1.0293720317196717,1.6276508495644348,0.015996000999750064,-60.529591397616635,46.38709747215767,2025
primary80_target_panel_xgb,316,1.3550425020789059,1.062479954626894,1.6831977276299375,0.007248187953011747,-59.400708322125276,54.421384736170566,2025
primary75_target_panel_extra,325,1.4284671532846716,1.1216787210193357,1.8639406653543866,0.0022494376405898524,-63.623311683835546,62.28912018592295,2025
primary80_target_panel_extra,321,1.460308797780658,1.1457147379689587,1.8738154663089743,0.0012496875781054736,-56.150342884654,65.83167855892819,2025
primary80_target_panel_only_extra,348,1.4247210336437621,1.0975382451090654,1.8193953724232281,0.0032491877030742314,-58.23385748612795,61.88310172752352,2025
primary75_target_panel_only_extra,358,1.3723341353015535,1.031888763612638,1.7810179327436284,0.015996000999750064,-61.146078860140065,57.99206482367358,2025
primary67_target_panel_extra,329,1.3973997737004413,1.088188224530675,1.8416132634654454,0.005248687828042989,-66.29245272838841,57.76343140951579,2025
primary67_target_panel_xgb,545,1.3907646390476351,1.028031968851939,1.8119941143217202,0.015496125968507872,-33.330199353407494,81.29063212888647,2025_2026
primary75_target_panel_xgb,551,1.382396650687206,1.0258392597722308,1.791532113349187,0.017745563609097726,-28.29481182469731,82.87272961465783,2025_2026
primary80_target_panel_xgb,544,1.3864575405023376,1.0431070012729768,1.8008242786752644,0.014996250937265684,-26.804644226519223,84.26536364553333,2025_2026
primary75_target_panel_extra,555,1.4127991207473647,1.0644987988916503,1.8364958321045606,0.012496875781054736,-29.68632886507873,86.53485174079856,2025_2026
primary80_target_panel_extra,550,1.4256427491177952,1.0858027158799703,1.8449277906156634,0.010247438140464884,-23.97206011041293,88.20941380673771,2025_2026
primary80_target_panel_only_extra,573,1.38796682505734,1.0722214188702364,1.7652217811063673,0.009997500624843789,-26.737723355442107,80.75458554815353,2025_2026
primary75_target_panel_only_extra,584,1.3682171524067557,1.0405839912424444,1.7544297665006363,0.015246188452886777,-28.18070235159862,79.96142470842216,2025_2026
primary67_target_panel_extra,559,1.4026896458225178,1.0405012119237982,1.8360485469334875,0.014996250937265684,-32.01165577902162,85.69313816798822,2025_2026
