candidate,quarter,n_train,n_groups,last_resolved,n_features
rank_pair_fav_compact_quarter,2023-01-01,1050,20,2022-12-31,472
rank_pair_fav_compact_quarter,2023-04-01,1330,25,2023-03-31,472
rank_pair_fav_compact_quarter,2023-07-01,1635,30,2023-06-30,472
rank_pair_fav_compact_quarter,2023-10-01,1965,35,2023-09-30,472
rank_pair_fav_compact_quarter,2024-01-01,2285,40,2023-12-30,472
rank_pair_fav_compact_quarter,2024-04-01,2570,45,2024-03-30,472
rank_pair_fav_compact_quarter,2024-07-01,2870,50,2024-06-29,472
rank_pair_fav_compact_quarter,2024-10-01,3195,55,2024-09-28,472
rank_pair_fav_compact_quarter,2025-01-01,3525,60,2024-12-29,472
rank_pair_fav_compact_quarter,2025-04-01,3810,65,2025-03-29,472
rank_pair_fav_compact_quarter,2025-07-01,4105,70,2025-06-28,472
rank_pair_fav_compact_quarter,2025-10-01,4435,75,2025-09-30,472
rank_pair_fav_compact_quarter,2026-01-01,4760,80,2025-12-31,472
rank_pair_fav_compact_quarter,2026-04-01,5030,85,2026-03-31,472
rank_pair_fav_compact_quarter,2026-07-01,5340,90,2026-06-30,472
rank_pair_fav_full_month,2023-01-01,1050,55,2022-12-31,676
rank_pair_fav_full_month,2023-04-01,1330,70,2023-03-31,676
rank_pair_fav_full_month,2023-07-01,1635,85,2023-06-30,676
rank_pair_fav_full_month,2023-10-01,1965,100,2023-09-30,676
rank_pair_fav_full_month,2024-01-01,2285,115,2023-12-30,676
rank_pair_fav_full_month,2024-04-01,2570,130,2024-03-30,676
rank_pair_fav_full_month,2024-07-01,2870,145,2024-06-29,676
rank_pair_fav_full_month,2024-10-01,3195,160,2024-09-28,676
rank_pair_fav_full_month,2025-01-01,3525,175,2024-12-29,676
rank_pair_fav_full_month,2025-04-01,3810,190,2025-03-29,676
rank_pair_fav_full_month,2025-07-01,4105,205,2025-06-28,676
rank_pair_fav_full_month,2025-10-01,4435,220,2025-09-30,676
rank_pair_fav_full_month,2026-01-01,4760,235,2025-12-31,676
rank_pair_fav_full_month,2026-04-01,5030,250,2026-03-31,676
rank_pair_fav_full_month,2026-07-01,5340,265,2026-06-30,676
rank_pair_ordinal_compact_quarter,2023-01-01,1050,20,2022-12-31,472
rank_pair_ordinal_compact_quarter,2023-04-01,1330,25,2023-03-31,472
rank_pair_ordinal_compact_quarter,2023-07-01,1635,30,2023-06-30,472
rank_pair_ordinal_compact_quarter,2023-10-01,1965,35,2023-09-30,472
rank_pair_ordinal_compact_quarter,2024-01-01,2285,40,2023-12-30,472
rank_pair_ordinal_compact_quarter,2024-04-01,2570,45,2024-03-30,472
rank_pair_ordinal_compact_quarter,2024-07-01,2870,50,2024-06-29,472
rank_pair_ordinal_compact_quarter,2024-10-01,3195,55,2024-09-28,472
rank_pair_ordinal_compact_quarter,2025-01-01,3525,60,2024-12-29,472
rank_pair_ordinal_compact_quarter,2025-04-01,3810,65,2025-03-29,472
rank_pair_ordinal_compact_quarter,2025-07-01,4105,70,2025-06-28,472
rank_pair_ordinal_compact_quarter,2025-10-01,4435,75,2025-09-30,472
rank_pair_ordinal_compact_quarter,2026-01-01,4760,80,2025-12-31,472
rank_pair_ordinal_compact_quarter,2026-04-01,5030,85,2026-03-31,472
rank_pair_ordinal_compact_quarter,2026-07-01,5340,90,2026-06-30,472
rank_ndcg_ordinal_full_month,2023-01-01,1050,55,2022-12-31,676
rank_ndcg_ordinal_full_month,2023-04-01,1330,70,2023-03-31,676
rank_ndcg_ordinal_full_month,2023-07-01,1635,85,2023-06-30,676
rank_ndcg_ordinal_full_month,2023-10-01,1965,100,2023-09-30,676
rank_ndcg_ordinal_full_month,2024-01-01,2285,115,2023-12-30,676
rank_ndcg_ordinal_full_month,2024-04-01,2570,130,2024-03-30,676
rank_ndcg_ordinal_full_month,2024-07-01,2870,145,2024-06-29,676
rank_ndcg_ordinal_full_month,2024-10-01,3195,160,2024-09-28,676
rank_ndcg_ordinal_full_month,2025-01-01,3525,175,2024-12-29,676
rank_ndcg_ordinal_full_month,2025-04-01,3810,190,2025-03-29,676
rank_ndcg_ordinal_full_month,2025-07-01,4105,205,2025-06-28,676
rank_ndcg_ordinal_full_month,2025-10-01,4435,220,2025-09-30,676
rank_ndcg_ordinal_full_month,2026-01-01,4760,235,2025-12-31,676
rank_ndcg_ordinal_full_month,2026-04-01,5030,250,2026-03-31,676
rank_ndcg_ordinal_full_month,2026-07-01,5340,265,2026-06-30,676
rank_pair_benefit_compact_quarter,2023-01-01,1050,20,2022-12-31,472
rank_pair_benefit_compact_quarter,2023-04-01,1330,25,2023-03-31,472
rank_pair_benefit_compact_quarter,2023-07-01,1635,30,2023-06-30,472
rank_pair_benefit_compact_quarter,2023-10-01,1965,35,2023-09-30,472
rank_pair_benefit_compact_quarter,2024-01-01,2285,40,2023-12-30,472
rank_pair_benefit_compact_quarter,2024-04-01,2570,45,2024-03-30,472
rank_pair_benefit_compact_quarter,2024-07-01,2870,50,2024-06-29,472
rank_pair_benefit_compact_quarter,2024-10-01,3195,55,2024-09-28,472
rank_pair_benefit_compact_quarter,2025-01-01,3525,60,2024-12-29,472
rank_pair_benefit_compact_quarter,2025-04-01,3810,65,2025-03-29,472
rank_pair_benefit_compact_quarter,2025-07-01,4105,70,2025-06-28,472
rank_pair_benefit_compact_quarter,2025-10-01,4435,75,2025-09-30,472
rank_pair_benefit_compact_quarter,2026-01-01,4760,80,2025-12-31,472
rank_pair_benefit_compact_quarter,2026-04-01,5030,85,2026-03-31,472
rank_pair_benefit_compact_quarter,2026-07-01,5340,90,2026-06-30,472
