candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.424175824175824,1.4780910090963848,2.039553329844701,46.38983128414809
incumbent60_spot_basis_arithmetic40,1.4702881566248447,1.5219278840174617,4.92571910269266,51.94557301601299
incumbent60_spot_basis_lower_quartile40,1.4511805130298698,1.5109691883770364,5.389475600878474,54.53966791993713
incumbent60_spot_basis_maximum40,1.4800509622477034,1.5342078507029053,6.709866413799493,55.373946941696374
incumbent60_spot_basis_minimum40,1.4220765922588572,1.4970570610439848,0.1394322717722251,47.99397166267717
incumbent60_spot_cny_basis40,1.4731887865841118,1.5448829261689268,5.770199562540936,54.02271750245496
incumbent60_spot_usd_basis40,1.4708084196198534,1.5399656017408412,2.724211070913631,49.550210406765416
incumbent75_spot_basis_arithmetic25,1.3697566801015078,1.4556198714305637,2.368595712981403,50.600362794412696
incumbent75_spot_basis_lower_quartile25,1.4405119369923702,1.503432406752578,2.6557511074633755,51.22554058494788
incumbent75_spot_basis_maximum25,1.4394693200663349,1.502623413517711,2.443829820140376,50.329292901483754
incumbent75_spot_basis_minimum25,1.470054357183265,1.5304058506165312,1.9968359523042516,49.29631801902486
incumbent75_spot_cny_basis25,1.4050645383781653,1.4567546938943887,0.6749890913384329,48.098282035082484
incumbent75_spot_usd_basis25,1.4458870217039828,1.5171952012854564,2.43689873191325,48.438905270276024
incumbent90_spot_basis_arithmetic10,1.466320726474404,1.5162136800898818,2.675223852079807,48.661794902187886
incumbent90_spot_basis_lower_quartile10,1.4616532378394511,1.5215613632353975,2.465582761067642,48.72965516806783
incumbent90_spot_basis_maximum10,1.4487845932966976,1.4999918745169085,2.6859521019271444,48.80076984716078
incumbent90_spot_basis_minimum10,1.4627279936558288,1.5172838536168296,2.5047399148435985,48.682821254229815
incumbent90_spot_cny_basis10,1.4550878850408973,1.5058872428845382,2.2121824355532627,48.29994200651503
incumbent90_spot_usd_basis10,1.4390130921325306,1.4930361935197474,2.054408565508073,47.213297735210766
noon_consensus,1.565624159129013,1.7222082478709044,11.517488945235309,53.403549854213466
noon_consensus60_spot_basis_arithmetic40,1.5416379903647626,1.7250100478346078,13.122893179727726,54.03923373980331
noon_consensus60_spot_basis_lower_quartile40,1.5879639994626789,1.7738505019612851,12.96299087117027,55.87168651842865
noon_consensus60_spot_basis_maximum40,1.5389923157918317,1.6778564604223127,14.116018105974863,54.97297875535647
noon_consensus60_spot_basis_minimum40,1.5885245162163384,1.7457727641692375,11.977882532770142,56.11018490490313
noon_consensus60_spot_cny_basis40,1.5421515501465755,1.6888352710575762,12.14455777030786,52.453298285782644
noon_consensus60_spot_usd_basis40,1.5505440505440504,1.7017896840940439,12.323031333156345,53.90237710975256
noon_consensus75_spot_basis_arithmetic25,1.5346334023314088,1.7036616458569989,12.258272046900455,53.47090597356086
noon_consensus75_spot_basis_lower_quartile25,1.5765147334731264,1.7407391618320922,11.91753779647741,55.335436414905274
noon_consensus75_spot_basis_maximum25,1.5260546443351464,1.6645293802688017,12.309230019167378,52.195356236419485
noon_consensus75_spot_basis_minimum25,1.5785164859880345,1.730457710695018,12.103188251792483,55.40105104422862
noon_consensus75_spot_cny_basis25,1.5412615971944774,1.7038161599387565,11.187127136254745,52.04709366807769
noon_consensus75_spot_usd_basis25,1.548003021013817,1.7007046772375838,12.421885884457843,53.525173466864835
noon_consensus90_spot_basis_arithmetic10,1.552840562003665,1.7049884135242852,12.423368550146701,54.95639996313582
noon_consensus90_spot_basis_lower_quartile10,1.574831220338228,1.7207021868608794,12.292203635276564,55.491432380387565
noon_consensus90_spot_basis_maximum10,1.5225102319236015,1.6671060679046357,12.055050321197177,53.31006971972537
noon_consensus90_spot_basis_minimum10,1.572726454978861,1.727166868910081,12.208280050728353,55.498966816389824
noon_consensus90_spot_cny_basis10,1.5497318802975262,1.7085606979511319,11.844702087452399,54.4650978760576
noon_consensus90_spot_usd_basis10,1.5415738347740846,1.6907799485148884,12.440370405672855,53.6417766016943
spot_basis_arithmetic,1.6420047732696896,1.6936003942185938,15.808517859187704,64.73841342247137
spot_basis_lower_quartile,1.5567222095412008,1.619952505163064,14.371856368801692,57.41411549552138
spot_basis_maximum,1.6435212660731948,1.683802698525976,15.794377952238586,65.89034813734955
spot_basis_minimum,1.357404682941426,1.4732270046169502,5.39413111896723,32.38364910183151
spot_cny_basis,1.643098332139568,1.6865827351761549,15.843880874912237,66.64498579574371
spot_usd_basis,1.1524550697049436,1.2412982711694878,2.7025650611241927,16.327703188063726
