candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,period
stack25_benefit75,292,1.450979902009799,1.1293442966643996,1.9230624957112474,0.0024993751562109472,-47.392587845917625,74.77543776696189,2025
stack50_benefit50,318,1.5024330900243308,1.1872808281204588,1.8578088473549457,0.0004998750312421895,-45.953496137057336,74.5084000704983,2025
benefit_ranker_anchor25,294,1.3951164407368788,1.0401775485197504,1.958117861450841,0.012496875781054736,-46.531525096317836,77.33034085797826,2025
stack75_benefit25,379,1.4390058355642008,1.1059272589055351,1.7660245042410045,0.0034991252186953262,-50.055634576658676,53.346968628565854,2025
stack50_benefit25_baseload25,467,1.322269807280514,1.0197634961120223,1.6070984910194368,0.01849537615596101,-52.7456011656026,43.50864121436681,2025
stack_resolved_extra,297,1.4113765391137654,0.910990317466273,1.8877661686974307,0.05448637840539865,-49.413854248410544,54.56364740130328,2025
packet_e_cbr_anchor50,370,1.3521897810218977,0.8197138345768588,1.7986503872459347,0.07823044238940265,-40.03630205709784,36.93930484966081,2025
stack25_benefit75,498,1.3870639675151624,1.0623430107596508,1.7915528808238135,0.012246938265433641,-24.59179001764117,82.72547204270785,2025_2026
stack50_benefit50,544,1.4207757964553658,1.1033842935557483,1.7935109372190088,0.006748312921769558,-19.21961033867114,83.48615168397646,2025_2026
benefit_ranker_anchor25,488,1.3695797097057665,1.0409784308786116,1.7848059038963988,0.015246188452886777,-24.235978915723244,83.39148541166914,2025_2026
stack75_benefit25,621,1.3648608022955044,1.0484259016222988,1.6786470031616185,0.011747063234191453,-24.320705713994794,71.8677286075995,2025_2026
stack50_benefit25_baseload25,767,1.3241209118272936,1.0515663794847039,1.5975256253006778,0.011497125718570358,-21.654717085732386,69.17486115183817,2025_2026
stack_resolved_extra,479,1.4342881619516936,0.9989603559932013,1.82364057131499,0.02599350162459385,-22.137703981821208,79.24878136546172,2025_2026
packet_e_cbr_anchor50,677,1.3732979847484144,1.0720542074460435,1.676049507786812,0.011247188202949263,-9.078557790360318,70.8740537613153,2025_2026
